geometry,temperature_K,window_s,center_distance_nm,face_tilt_halfangle_deg,orientation_fraction,Udd_J,F_orient_J,orientation_entropy_cost_J,F_orient_eq_J,p_parallel_initial,p_parallel_mean,p_parallel_end,p_parallel_eq,face_sign_relaxation_s,fast_azimuth_Udd_J,slow_axial_Udd_J,UvdW_J,rotation_constraint_F_J,stage1_Udd_J,stage2_F_orient_J,stage3_F_with_rotation_J,free_Brownian_time_s,assembly_free_energy_J,Udd_kBT,F_orient_kBT,orientation_entropy_cost_kBT,F_orient_eq_kBT,fast_azimuth_Udd_kBT,slow_axial_Udd_kBT,UvdW_kBT,rotation_constraint_F_kBT,stage1_Udd_kBT,stage2_F_orient_kBT,stage3_F_with_rotation_kBT,assembly_free_energy_kBT
face,200.0,20,19.0,2,0.0018275189427127136,-1.2254636789887597e-20,-9.109656461307519e-21,3.1449803285800786e-21,-1.9956475117479386e-20,0.5,0.5183851558802417,0.5363139428875104,0.9999318300108158,265.2131031996492,-1.1767607740378503e-20,-4.870290495090939e-22,-4.8834370285786125e-21,3.481884117607438e-20,-1.2254636789887597e-20,-9.109656461307519e-21,2.5709184714766857e-20,4.082952141031122e-06,nan,-4.4379986476966975,-3.2990486580251455,1.1389499896715525,-7.227208043999374,-4.261621795394232,-0.1763768523024657,-1.7685295207466243,12.609592002049173,-4.4379986476966975,-3.2990486580251455,9.310543344024026,nan
tip,200.0,20,28.516660498395403,2,1.0,-6.248945875424534e-21,-3.558407013968465e-21,2.690538861456069e-21,-3.558407013968465e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-6.248945875424534e-21,-3.558407013968465e-21,-3.558407013968465e-21,4.082952141031122e-06,nan,-2.263046536601458,-1.2886718543121622,0.9743746822892961,-1.2886718543121622,nan,nan,-0.0888424280000102,-0.0,-2.263046536601458,-1.2886718543121622,-1.2886718543121622,nan
face,201.0,20,19.0,2,0.0018275189427127136,-1.2311379071684411e-20,-9.158078220124376e-21,3.153300851560035e-21,-1.9931223032764743e-20,0.5,0.5208324826797144,0.5410780274681835,0.9999284976982685,233.26145121726304,-1.17595195005986e-20,-5.518595710858109e-22,-4.8834370285786125e-21,3.499293538195475e-20,-1.2311379071684411e-20,-9.158078220124376e-21,2.5834857161830374e-20,3.99898164635452e-06,nan,-4.436365951641846,-3.3000841060670747,1.1362818455747714,-7.182152277359741,-4.237505125653341,-0.1988608259885057,-1.7597308664145515,12.609592002049173,-4.436365951641846,-3.3000841060670747,9.309507895982097,nan
tip,201.0,20,28.516660498395403,2,1.0,-6.2304465150242195e-21,-3.545000528007931e-21,2.6854459870162882e-21,-3.545000528007931e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-6.2304465150242195e-21,-3.545000528007931e-21,-3.545000528007931e-21,3.99898164635452e-06,nan,-2.2451214134370194,-1.2774295673486264,0.9676918460883929,-1.2774295673486264,nan,nan,-0.08840042587065693,-0.0,-2.2451214134370194,-1.2774295673486264,-1.2774295673486264,nan
face,202.0,20,19.0,2,0.0018275189427127136,-1.2375685838348021e-20,-9.213921487792925e-21,3.1617643505550957e-21,-1.9906011660331538e-20,0.5,0.5235657398561333,0.5463790109662715,0.9999250379362874,205.42020545741258,-1.1751421352483879e-20,-6.242644858641412e-22,-4.8834370285786125e-21,3.5167029587835126e-20,-1.2375685838348021e-20,-9.213921487792925e-21,2.59531081000422e-20,3.917065764442711e-06,nan,-4.437461764501361,-3.303770379860932,1.1336913846404288,-7.137557205333078,-4.213623682059539,-0.2238380824418215,-1.7510193274719053,12.609592002049173,-4.437461764501361,-3.303770379860932,9.30582162218824,nan
tip,202.0,20,28.516660498395403,2,1.0,-6.212035283144499e-21,-3.531685859956645e-21,2.6803494231878544e-21,-3.531685859956645e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-6.212035283144499e-21,-3.531685859956645e-21,-3.531685859956645e-21,3.917065764442711e-06,nan,-2.227405366357193,-1.266331512652528,0.961073853704665,-1.266331512652528,nan,nan,-0.08796280000001011,-0.0,-2.227405366357193,-1.266331512652528,-1.266331512652528,nan
face,203.0,20,19.0,2,0.0018275189427127136,-1.2448271773898441e-20,-9.277853256374288e-21,3.170418517524153e-21,-1.9880840864703314e-20,0.5,0.5266119077552722,0.5522622231216459,0.9999214473588056,181.12874322313283,-1.1743313261493187e-20,-7.049585124052551e-22,-4.8834370285786125e-21,3.5341123793715493e-20,-1.2448271773898441e-20,-9.277853256374288e-21,2.6063270537341204e-20,3.83715006427453e-06,nan,-4.441500760295486,-3.310306285126302,1.1311944751691838,-7.093415971287078,-4.189973976040184,-0.2515267842553017,-1.7423936164991372,12.609592002049173,-4.441500760295486,-3.310306285126302,9.299285716922869,nan
tip,203.0,20,28.516660498395403,2,1.0,-6.193711635314906e-21,-3.518462120331046e-21,2.6752495149838596e-21,-3.518462120331046e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-6.193711635314906e-21,-3.518462120331046e-21,-3.518462120331046e-21,3.83715006427453e-06,nan,-2.2098951113024263,-1.2553752413478358,0.9545198699545907,-1.2553752413478358,nan,nan,-0.08752948571429577,-0.0,-2.2098951113024263,-1.2553752413478358,-1.2553752413478358,nan
face,204.0,20,19.0,2,0.0018275189427127136,-1.2529889321918194e-20,-9.350567961385007e-21,3.179321360533187e-21,-1.9855710512347876e-20,0.5,0.5299993920934174,0.5587739347827873,0.9999177225605084,159.9070513838434,-1.1735195194096874e-20,-7.946941278213208e-22,-4.8834370285786125e-21,3.551521799959587e-20,-1.2529889321918194e-20,-9.350567961385007e-21,2.616465003821086e-20,3.75918151676907e-06,nan,-4.448706810191025,-3.3198964731636815,1.128810337027343,-7.049721853723507,-4.166552587785148,-0.28215422240587673,-1.73385247132022,12.609592002049173,-4.448706810191025,-3.3198964731636815,9.28969552888549,nan
tip,204.0,20,28.516660498395403,2,1.0,-6.1754750322600545e-21,-3.505328431080403e-21,2.6701466011796513e-21,-3.505328431080403e-21,nan,nan,nan,nan,nan,nan,nan,-2.453204187515722e-22,-0.0,-6.1754750322600545e-21,-3.505328431080403e-21,-3.505328431080403e-21,3.75918151676907e-06,nan,-2.1925874304509922,-1.2445583566348937,0.9480290738160988,-1.2445583566348937,nan,nan,-0.08710041960785314,-0.0,-2.1925874304509922,-1.2445583566348937,-1.2445583566348937,nan
