geometry,temperature_K,window_s,center_distance_nm,rotation_mobility,extra_contact_barrier_kBT,tau_B_free_s,tau_joint_s,hexane_viscosity_Pa_s,Udd_time_mean_J,Udd_end_J,Udd_eq_J,Udd_initial_J,Neel_only_Udd_time_mean_J,vdW_J,Brownian_max_transition_barrier_J,detailed_balance_relative_error,kBT_J,Udd_time_mean_kBT,Udd_end_kBT,Udd_eq_kBT,Udd_initial_kBT,Neel_only_Udd_time_mean_kBT,vdW_kBT,Brownian_max_transition_barrier_kBT,kBT_kBT
face,200.0,20.0,19.0,1.0,0.0,4.082952141031122e-06,0.05988960517478765,0.00104642206279509,-2.6271595653194752e-20,-2.6271601110671205e-20,-2.627160111067121e-20,0.0,-2.772815723139598e-22,-4.8834370285786125e-21,2.6490341049134006e-20,2.7736967769790222e-17,2.7612980000000003e-21,-9.514219636270605,-9.514221612687658,-9.51422161268766,0.0,-0.10041711264556008,-1.7685295207466243,9.59343795893598,1.0
face,201.0,20.0,19.0,1.0,0.0,3.99898164635452e-06,0.05592401276112439,0.0010300257243557134,-2.6266312184850647e-20,-2.62663175279616e-20,-2.6266317527961612e-20,0.0,-3.157693708531275e-22,-4.8834370285786125e-21,2.6490341049134006e-20,2.986852844840101e-17,2.7751044900000003e-21,-9.464981329351906,-9.464983254724796,-9.464983254724801,0.0,-0.11378647974913819,-1.7597308664145515,9.545709411876597,1.0
face,202.0,20.0,19.0,1.0,0.0,3.917065764442711e-06,0.052250056320529335,0.001013946021091491,-2.6260955267075237e-20,-2.6260960498637198e-20,-2.6260960498637186e-20,0.0,-3.5904274730400744e-22,-4.8834370285786125e-21,2.6490341049134006e-20,3.190088139126248e-17,2.7889109800000003e-21,-9.416204194181642,-9.416206070025654,-9.41620607002565,0.0,-0.12873940756044044,-1.7510193274719053,9.498453424689089,1.0
face,203.0,20.0,19.0,1.0,0.0,3.83715006427453e-06,0.04884429725333289,0.000998176692261181,-2.6255524883142174e-20,-2.625553000589672e-20,-2.6255530005896707e-20,0.0,-4.0761109455944733e-22,-4.8834370285786125e-21,2.6490341049134006e-20,2.863206476907569e-17,2.8027174700000003e-21,-9.367881409445873,-9.36788323722716,-9.367883237227156,0.0,-0.14543424334506586,-1.7423936164991372,9.451663013730029,1.0
face,204.0,20.0,19.0,1.0,0.0,3.75918151676907e-06,0.04568533181025614,0.0009827115646105378,-2.6250021027035617e-20,-2.6250026043651332e-20,-2.625002604365134e-20,0.0,-4.620244127959421e-22,-4.8834370285786125e-21,2.6490341049134006e-20,3.5683292235684734e-17,2.8165239600000003e-21,-9.320006291384653,-9.320008072521892,-9.320008072521896,0.0,-0.16404064703782675,-1.73385247132022,9.405331332290176,1.0
face,205.0,20.0,19.0,1.0,0.0,3.683108468787375e-06,0.04275360194376892,0.0009675445545252112,-2.62444437032751e-20,-2.6244448616349447e-20,-2.6244448616349465e-20,0.0,-5.228741901385238e-22,-4.8834370285786125e-21,2.6490341049134006e-20,3.744065837320466e-17,2.8303304500000003e-21,-9.272572290375173,-9.272574026241156,-9.272574026241163,0.0,-0.18473962647666237,-1.7253946543869505,9.359451667254614,1.0
face,206.0,20.0,19.0,1.0,0.0,3.608880616601097e-06,0.040031224852291776,0.0009526696698430478,-2.6238792926739653e-20,-2.6238797738800865e-20,-2.6238797738800865e-20,0.0,-5.907938065643662e-22,-4.8834370285786125e-21,2.6490341049134006e-20,3.6668852961754896e-17,2.8441369400000004e-21,-9.225572987614179,-9.225574679537358,-9.225574679537358,0.0,-0.20772340398081046,-1.7170189521811885,9.314017435860174,1.0
face,207.0,20.0,19.0,1.0,0.0,3.5364489789478584e-06,0.03750183926577962,0.0009380810113527656,-2.6233068722491515e-20,-2.623307343600044e-20,-2.6233073436000442e-20,0.0,-6.664583528041529e-22,-4.8834370285786125e-21,2.6490341049134006e-20,5.028260620208319e-17,2.8579434300000004e-21,-9.179002091896379,-9.179003741162377,-9.179003741162377,0.0,-0.23319508210285073,-1.7087241746344195,9.26902218254684,1.0
face,208.0,20.0,19.0,1.0,0.0,3.465765869781389e-06,0.03515046673691502,0.000923772774004105,-2.622727112559942e-20,-2.622727574295128e-20,-2.6227275742951278e-20,0.0,-7.505837484972528e-22,-4.8834370285786125e-21,2.6490341049134006e-20,2.3454680515165937e-17,2.8717499200000004e-21,-9.132853436485659,-9.132855044338706,-9.132855044338706,0.0,-0.2613680750088618,-1.7005091545640616,9.22445957589998,1.0
face,209.0,20.0,19.0,1.0,0.0,3.3967848708143046e-06,0.032963386381592415,0.0009097392478529262,-2.6221400180961635e-20,-2.6221404704487798e-20,-2.622140470448781e-20,0.0,-8.439250386489122e-22,-4.8834370285786125e-21,2.6490341049134006e-20,2.2977311482961416e-17,2.88555641e-21,-9.087120976076026,-9.087122543720362,-9.087122543720367,0.0,-0.29246527142018763,-1.6923727471259564,9.180323405680364,1.0
