temperature_K,face_equilibrium_Edd_over_kBT,face_Neel_penalty_over_kBT,face_Brownian_constraint_penalty_over_kBT,face_constrained_Emag_over_kBT,tip_Neel_only_Emag_over_kBT,tip_Neel_plus_Brownian_Emag_over_kBT,face_vdW_pair_over_kBT,tip_vdW_pair_over_kBT,face_pair_total_over_kBT,tip_pair_total_over_kBT,kBT_over_kBT
3.000000000000e+02,-6.090275571237e+00,7.612844464053e-01,3.255553525127e-06,-5.328987869277e+00,-1.106124291430e+00,-1.106127546984e+00,-1.179019680498e+00,-5.922828533335e-02,-6.508007549776e+00,-1.165355832317e+00,1.000000000000e+00
2.900000000000e+02,-6.330269015169e+00,7.912844073403e-01,3.972732994316e-03,-5.535011874835e+00,-1.143842391172e+00,-1.147815124166e+00,-1.219675531549e+00,-6.127064000001e-02,-6.754687406385e+00,-1.209085764166e+00,1.000000000000e+00
2.800000000000e+02,-6.586057513348e+00,8.245866737170e-01,1.469474025543e-01,-5.614523437076e+00,-1.091070974921e+00,-1.238018377476e+00,-1.263235371962e+00,-6.345887714287e-02,-6.877758809038e+00,-1.301477254619e+00,1.000000000000e+00
2.700000000000e+02,-6.859295093054e+00,9.142726633814e-01,8.478424116965e-01,-5.097180017978e+00,-8.842134816710e-01,-1.732055893367e+00,-1.310021867220e+00,-6.580920592594e-02,-6.407201885198e+00,-1.797865099293e+00,1.000000000000e+00
2.600000000000e+02,-7.151891448893e+00,1.325905220784e+00,1.916159035230e+00,-3.909827192880e+00,-5.640197597044e-01,-2.480178794935e+00,-1.360407323651e+00,-6.834032923078e-02,-5.270234516532e+00,-2.548519124165e+00,1.000000000000e+00
2.500000000000e+02,-7.466065240324e+00,2.486429686625e+00,2.773011130293e+00,-2.206624423405e+00,-2.832072653063e-01,-3.056218395598e+00,-1.414823616597e+00,-7.107394240002e-02,-3.621448040001e+00,-3.127292338000e+00,1.000000000000e+00
2.400000000000e+02,-7.804411227205e+00,4.338363362532e+00,3.291622331729e+00,-1.744255329427e-01,-1.184754525814e-01,-3.410097784309e+00,-1.473774600622e+00,-7.403535666668e-02,-1.648200133565e+00,-3.484133140978e+00,1.000000000000e+00
2.300000000000e+02,-8.169985499875e+00,6.227101825112e+00,3.602412884249e+00,1.659529209484e+00,-4.321796591077e-02,-3.645630850161e+00,-1.537851757171e+00,-7.725428521741e-02,1.216774523125e-01,-3.722885135378e+00,1.000000000000e+00
2.200000000000e+02,-8.566414583366e+00,7.694947653630e+00,3.826634555106e+00,2.955167625371e+00,-1.400119536757e-02,-3.840635750473e+00,-1.607754109770e+00,-8.076584363638e-02,1.347413515601e+00,-3.921401594112e+00,1.000000000000e+00
2.100000000000e+02,-8.998036353642e+00,8.680076217365e+00,4.028432684004e+00,3.710472547731e+00,-4.025494521917e-03,-4.032458178529e+00,-1.684313829283e+00,-8.461183619050e-02,2.026158718447e+00,-4.117070014719e+00,1.000000000000e+00
2.000000000000e+02,-9.470083808064e+00,9.372377816056e+00,4.235799772165e+00,4.138093780157e+00,-1.015218294472e-03,-4.236814990461e+00,-1.768529520747e+00,-8.884242800002e-02,2.369564259410e+00,-4.325657418460e+00,1.000000000000e+00
