temperature_K,face_equilibrium_Edd_J,face_Neel_limited_Edd_J,face_Neel_penalty_J,face_Brownian_constraint_penalty_J,face_constrained_Emag_J,tip_Neel_only_Emag_J,tip_Neel_plus_Brownian_Emag_J,tip_locked_aligned_Edd_J,face_vdW_pair_J,tip_vdW_pair_J,face_pair_total_J,tip_pair_total_J,kBT_J,blocked_fraction_20s,geometric_mean_tau_N_s,hexane_viscosity_Pa_s,tau_B_free_s,brownian_alignment_fraction_20s
3.000000000000e+02,-2.522559863146e-20,-2.207239880252e-20,3.153199828935e-21,1.348433015674e-26,-2.207238531819e-20,-4.581508190516e-21,-4.581521674846e-21,-1.167927901946e-20,-4.883437028579e-21,-2.453204187516e-22,-2.695582234677e-20,-4.826842093598e-21,4.141947000000e-21,1.154551589552e-06,1.462865325698e+00,2.918584449063e-04,7.591863773240e-07,1.000000000000e+00
2.900000000000e+02,-2.534565079802e-20,-2.217744132346e-20,3.168209474559e-21,1.590635452402e-23,-2.216153496894e-20,-4.579810075235e-21,-4.595716429759e-21,-1.168160897713e-20,-4.883437028579e-21,-2.453204187516e-22,-2.704497199752e-20,-4.841036848511e-21,4.003882100000e-21,1.361657846549e-03,3.030738209042e+00,3.233016624267e-04,8.699761305439e-07,1.000000000000e+00
2.800000000000e+02,-2.546049441529e-20,-2.227279306914e-20,3.187701346146e-21,5.680717962897e-22,-2.170472127285e-20,-4.217880941271e-21,-4.785952737561e-21,-1.168390135955e-20,-4.883437028579e-21,-2.453204187516e-22,-2.658815830143e-20,-5.031273156313e-21,3.865817200000e-21,4.862004383708e-02,6.614370349309e+00,3.599147492257e-04,1.003087942774e-06,1.000000000000e+00
2.700000000000e+02,-2.556975305951e-20,-2.216157103577e-20,3.408182023747e-21,3.160546500239e-21,-1.900102453553e-20,-3.296128839990e-21,-6.456675340229e-21,-1.168615291109e-20,-4.883437028579e-21,-2.453204187516e-22,-2.388446156411e-20,-6.701995758980e-21,3.727752300000e-21,2.704522629717e-01,1.529449933254e+01,4.027816243335e-04,1.164134826954e-06,1.000000000000e+00
2.600000000000e+02,-2.567305462026e-20,-2.091346935562e-20,4.759585264641e-21,6.878411945162e-21,-1.403505741046e-20,-2.024654624762e-21,-8.903066569924e-21,-1.168836012066e-20,-4.883437028579e-21,-2.453204187516e-22,-1.891849443904e-20,-9.148386988675e-21,3.589687400000e-21,5.884839168332e-01,3.772121025625e+01,4.532525831332e-04,1.360392838775e-06,1.000000000000e+00
2.500000000000e+02,-2.577003876997e-20,-1.718782211894e-20,8.582216651024e-21,9.571387610069e-21,-7.616434508873e-21,-9.775245690948e-22,-1.054891217916e-20,-1.169051922636e-20,-4.883437028579e-21,-2.453204187516e-22,-1.249987153745e-20,-1.079423259792e-20,3.451622500000e-21,8.187307530780e-01,1.000000000000e+02,5.130150242606e-04,1.601354456225e-06,1.000000000000e+00
2.400000000000e+02,-2.586036613543e-20,-1.148494924395e-20,1.437541689148e-20,1.090698019363e-20,-5.779690503162e-22,-3.925752363146e-22,-1.129955542994e-20,-1.169262622326e-20,-4.883437028579e-21,-2.453204187516e-22,-5.461406078895e-21,-1.154487584870e-20,3.313557600000e-21,9.328084200564e-01,2.875404271182e+02,5.841816063873e-04,1.899476977593e-06,1.000000000000e+00
2.300000000000e+02,-2.594372931396e-20,-6.169612926165e-21,1.977411638780e-20,1.143943581632e-20,5.269822890152e-21,-1.372383352585e-22,-1.157667415158e-20,-1.169467687343e-20,-4.883437028579e-21,-2.453204187516e-22,3.863858615731e-22,-1.182199457033e-20,3.175492700000e-21,9.781745951708e-01,9.063265221083e+02,6.693974404040e-04,2.271190738731e-06,1.000000000000e+00
2.200000000000e+02,-2.601986580184e-20,-2.647017879160e-21,2.337284792268e-20,1.162312617812e-20,8.976108298961e-21,-4.252762004268e-23,-1.166565379816e-20,-1.169666671654e-20,-4.883437028579e-21,-2.453204187516e-22,4.092671270383e-21,-1.191097421692e-20,3.037427800000e-21,9.937126926670e-01,3.171001476339e+03,7.719646627044e-04,2.738243951333e-06,1.000000000000e+00
2.100000000000e+02,-2.608857277660e-20,-9.218818227985e-22,2.516669095380e-20,1.167988826915e-20,1.075800644636e-20,-1.167136947100e-23,-1.169155963863e-20,-1.169859107853e-20,-4.883437028579e-21,-2.453204187516e-22,5.874569417777e-21,-1.193688005738e-20,2.899362900000e-21,9.984012767646e-01,1.249998002243e+04,8.959748187631e-04,3.329460803942e-06,1.000000000000e+00
2.000000000000e+02,-2.614972347904e-20,-2.697953603244e-22,2.587992811872e-20,1.169630543928e-20,1.142651007896e-20,-2.803320246088e-24,-1.169910875953e-20,-1.170044507436e-20,-4.883437028579e-21,-2.453204187516e-22,6.543073050381e-21,-1.194442917828e-20,2.761298000000e-21,9.996461984948e-01,5.651887140593e+04,1.046422062795e-03,4.082952141031e-06,1.000000000000e+00
