assembly,temperature_K,regime,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_lifetime_rotation_blocked_s,pair_lifetime_direct_escape_s,p_bound_eq,contact_barrier_kBT
dimer,200.0,"Neel blocked, Brownian only",0.00033474330335844994,0.0,0.0003347433035862927,0.0007294039776114266,0.0007294039834622619,0.9053040119981218,0.0
dimer,205.0,"Neel blocked, Brownian only",0.00023757295608738,0.0,0.00023757295638638957,0.0004987192773320251,0.0004987192833757575,0.8789640895563227,0.0
dimer,210.0,"Neel blocked, Brownian only",0.00017122527172473722,0.0,0.00017122527210790934,0.0003462536956070779,0.0003462537018058327,0.8482667484282417,0.0
dimer,215.0,"Neel blocked, Brownian only",0.00012515854272560775,0.0,0.00012515854320571502,0.00024388788604804134,0.00024388789236592015,0.8133495699491294,0.0
dimer,220.0,"Neel blocked, Brownian only",9.267474045169551e-05,0.0,9.2674741040704e-05,0.00017413277777564805,0.0001741327841791436,0.7745840090596814,0.0
dimer,225.0,"Neel blocked, Brownian only",6.943966705426601e-05,0.0,6.943966776279188e-05,0.00012593000691819077,0.00012593001337644352,0.732564914516917,0.0
dimer,230.0,"Neel blocked, Brownian only",5.25999812014344e-05,0.0,5.2599982038287504e-05,9.217748181538104e-05,9.217748830031e-05,0.6880712792838455,0.0
dimer,235.0,"Neel blocked, Brownian only",4.024649742077879e-05,0.0,4.024649839261974e-05,6.824617751989865e-05,6.824618400623299e-05,0.6420034174781306,0.0
dimer,240.0,"Neel blocked, Brownian only",3.10821362570291e-05,0.0,3.1082137368160105e-05,5.10765071600623e-05,5.1076513625297144e-05,0.5953071118895138,0.0
dimer,245.0,Neel crossover,2.4212987885318228e-05,0.0,2.4212989137608658e-05,3.861923622034461e-05,3.861924264464125e-05,0.5488976983718749,0.0
dimer,250.0,Neel crossover,1.9014704583863457e-05,0.0,1.901470597679939e-05,2.948446585087643e-05,2.9484472216924198e-05,0.503595871357096,0.0
dimer,255.0,Neel crossover,1.5045738735511613e-05,0.0,1.504574026634827e-05,2.2718161416128278e-05,2.271816770898085e-05,0.46008297989187846,0.0
dimer,260.0,Neel crossover,1.1990169778705284e-05,0.0,1.1990171442699408e-05,1.7657985408840078e-05,1.765799161573741e-05,0.4188784344896556,0.0
dimer,265.0,Neel crossover,9.619500895678266e-06,0.0,9.619502686372543e-06,1.3839111940436252e-05,1.3839118050620385e-05,0.3803372929900234,0.0
dimer,270.0,Neel crossover,7.76679204930459e-06,0.0,7.766793958840431e-06,1.0931951160039417e-05,1.093195716457011e-05,0.3446632070141434,0.0
dimer,275.0,Neel crossover,6.30892567550657e-06,0.0,6.308927694943419e-06,8.700498261529656e-06,8.700504153104541e-06,0.31193090106628757,0.0
dimer,280.0,Neel crossover,5.1543039600295054e-06,0.0,5.154306079653859e-06,6.974170411855839e-06,6.974176184638242e-06,0.28211280918785386,0.0
dimer,285.0,Neel crossover,4.234218912895165e-06,0.0,4.234221122506646e-06,5.628563922895409e-06,5.628569572351922e-06,0.255105752835749,0.0
dimer,290.0,Neel crossover,3.4967353236898857e-06,0.0,3.4967376128564494e-06,4.5721744373497886e-06,4.572179960098866e-06,0.23075501715686242,0.0
dimer,295.0,Neel crossover,2.902312241613289e-06,0.0,2.902314599891095e-06,3.737144383694989e-06,3.7371497773672004e-06,0.2088744877944496,0.0
dimer,300.0,fast Neel and Brownian,2.42063996262852e-06,0.0,2.420642379745063e-06,3.0727571946073916e-06,3.072762457717523e-06,0.18926247740014465,0.0
dimer,200.0,"Neel blocked, Brownian only",0.0007154412243171037,0.0,0.0007154412298369513,0.0007294039776114266,0.0007294039834622619,0.9053040119981218,5.0
dimer,205.0,"Neel blocked, Brownian only",0.0004905584932900771,0.0,0.000490558499040821,0.0004987192773320251,0.0004987192833757575,0.8789640895563227,5.0
dimer,210.0,"Neel blocked, Brownian only",0.0003413774710391119,0.0,0.00034137747697868704,0.0003462536956070779,0.0003462537018058327,0.8482667484282417,5.0
dimer,215.0,"Neel blocked, Brownian only",0.00024091297101041742,0.0,0.00024091297709905482,0.00024388788604804134,0.00024388789236592015,0.8133495699491294,5.0
dimer,220.0,"Neel blocked, Brownian only",0.00017228186326540416,0.0,0.00017228186946607998,0.00017413277777564805,0.0001741327841791436,0.7745840090596814,5.0
dimer,225.0,"Neel blocked, Brownian only",0.00012475690943080652,0.0,0.0001247569157095044,0.00012593000691819077,0.00012593001337644352,0.732564914516917,5.0
dimer,230.0,"Neel blocked, Brownian only",9.142088463967024e-05,0.0,9.142089096549942e-05,9.217748181538104e-05,9.217748830031e-05,0.6880712792838455,5.0
dimer,235.0,"Neel blocked, Brownian only",6.775009334139339e-05,0.0,6.77500996865987e-05,6.824617751989865e-05,6.824618400623299e-05,0.6420034174781306,5.0
dimer,240.0,"Neel blocked, Brownian only",5.074612868596636e-05,0.0,5.0746135025855424e-05,5.10765071600623e-05,5.1076513625297144e-05,0.5953071118895138,5.0
dimer,245.0,Neel crossover,3.839594785468449e-05,0.0,3.8395954167499306e-05,3.861923622034461e-05,3.861924264464125e-05,0.5488976983718749,5.0
dimer,250.0,Neel crossover,2.933143623108723e-05,0.0,2.9331442497836574e-05,2.948446585087643e-05,2.9484472216924198e-05,0.503595871357096,5.0
dimer,255.0,Neel crossover,2.2611889126988307e-05,0.0,2.261189533125662e-05,2.2718161416128278e-05,2.271816770898085e-05,0.46008297989187846,5.0
dimer,260.0,Neel crossover,1.7583254354747724e-05,0.0,1.758326048249164e-05,1.7657985408840078e-05,1.765799161573741e-05,0.4188784344896556,5.0
dimer,265.0,Neel crossover,1.3785932978218675e-05,0.0,1.378593901755955e-05,1.3839111940436252e-05,1.3839118050620385e-05,0.3803372929900234,5.0
dimer,270.0,Neel crossover,1.0893679642711807e-05,0.0,1.0893685583730788e-05,1.0931951160039417e-05,1.093195716457011e-05,0.3446632070141434,5.0
dimer,275.0,Neel crossover,8.672658542202059e-06,0.0,8.672664376741919e-06,8.700498261529656e-06,8.700504153104541e-06,0.31193090106628757,5.0
dimer,280.0,Neel crossover,6.953711654233768e-06,0.0,6.953717375710662e-06,6.974170411855839e-06,6.974176184638242e-06,0.28211280918785386,5.0
dimer,285.0,Neel crossover,5.613382753886632e-06,0.0,5.613388357113556e-06,5.628563922895409e-06,5.628569572351922e-06,0.255105752835749,5.0
dimer,290.0,Neel crossover,4.5608049101709844e-06,0.0,4.560810391194126e-06,4.5721744373497886e-06,4.572179960098866e-06,0.23075501715686242,5.0
dimer,295.0,Neel crossover,3.728554191760292e-06,0.0,3.728559547708614e-06,3.737144383694989e-06,3.7371497773672004e-06,0.2088744877944496,5.0
dimer,300.0,fast Neel and Brownian,3.066212187785695e-06,0.0,3.066217416733786e-06,3.0727571946073916e-06,3.072762457717523e-06,0.18926247740014465,5.0
dimer,200.0,"Neel blocked, Brownian only",0.0007293071117936395,0.0,0.0007293071176421447,0.0007294039776114266,0.0007294039834622619,0.9053040119981218,10.0
dimer,205.0,"Neel blocked, Brownian only",0.0004986629032110995,0.0,0.0004986629092527833,0.0004987192773320251,0.0004987192833757575,0.8789640895563227,10.0
dimer,210.0,"Neel blocked, Brownian only",0.0003462201282173817,0.0,0.0003462201344143332,0.0003462536956070779,0.0003462537018058327,0.8482667484282417,10.0
dimer,215.0,"Neel blocked, Brownian only",0.00024386746581442123,0.0,0.0002438674721307122,0.00024388788604804134,0.00024388789236592015,0.8133495699491294,10.0
dimer,220.0,"Neel blocked, Brownian only",0.000174120103108204,0.0,0.0001741201095102995,0.00017413277777564805,0.0001741327841791436,0.7745840090596814,10.0
dimer,225.0,"Neel blocked, Brownian only",0.0001259219898017303,0.0,0.0001259219962587472,0.00012593000691819077,0.00012593001337644352,0.732564914516917,10.0
dimer,230.0,"Neel blocked, Brownian only",9.217231979361903e-05,0.0,9.217232627745567e-05,9.217748181538104e-05,9.217748830031e-05,0.6880712792838455,10.0
dimer,235.0,"Neel blocked, Brownian only",6.824279770359181e-05,0.0,6.824280418895935e-05,6.824617751989865e-05,6.824618400623299e-05,0.6420034174781306,10.0
dimer,240.0,"Neel blocked, Brownian only",5.1074259019502535e-05,0.0,5.10742654838802e-05,5.10765071600623e-05,5.1076513625297144e-05,0.5953071118895138,10.0
dimer,245.0,Neel crossover,3.861771837628507e-05,0.0,3.8617724799820564e-05,3.861923622034461e-05,3.861924264464125e-05,0.5488976983718749,10.0
dimer,250.0,Neel crossover,2.948342653299134e-05,0.0,2.9483432898362077e-05,2.948446585087643e-05,2.9484472216924198e-05,0.503595871357096,10.0
dimer,255.0,Neel crossover,2.2717440214121414e-05,0.0,2.271744650637065e-05,2.2718161416128278e-05,2.271816770898085e-05,0.46008297989187846,10.0
dimer,260.0,Neel crossover,1.7657478598177996e-05,0.0,1.7657484804536797e-05,1.7657985408840078e-05,1.765799161573741e-05,0.4188784344896556,10.0
dimer,265.0,Neel crossover,1.3838751503621463e-05,0.0,1.3838757613324019e-05,1.3839111940436252e-05,1.3839118050620385e-05,0.3803372929900234,10.0
dimer,270.0,Neel crossover,1.0931691896822741e-05,0.0,1.0931697900922031e-05,1.0931951160039417e-05,1.093195716457011e-05,0.3446632070141434,10.0
