channel,inherit,temperature_K,freeze_temperature_K,window_s,blocked,kBT_J,U_pair_J,U_pair_equilibrium_J,vdW_pair_J,repulsive_weight,U_per_NC_J,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,vdW_pair_kBT,U_per_NC_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,dispersed,200.0,266.9491585330256,20.0,True,2.7612980000000003e-21,-4.883437028578612e-21,-3.115503813924983e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.346511441774948e-20,2.6271601110671217e-20,-1.768529520746624,-11.282751133434285,-1.7685295207466243,-0.884264760373312,-5.305588562239872,-33.84825340030286,9.514221612687662
face,dispersed,201.0,266.9491585330256,20.0,True,2.7751044900000003e-21,-4.883437028578612e-21,-3.1149754556540226e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.344926366962068e-20,2.6266317527961615e-20,-1.7597308664145512,-11.224714121139353,-1.7597308664145515,-0.8798654332072756,-5.279192599243654,-33.674142363418056,9.464983254724803
face,dispersed,202.0,266.9491585330256,20.0,True,2.7889109800000003e-21,-4.883437028578612e-21,-3.11443975272158e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.343319258164739e-20,2.6260960498637186e-20,-1.7510193274719048,-11.167225397497555,-1.7510193274719053,-0.8755096637359524,-5.253057982415715,-33.50167619249266,9.41620607002565
face,dispersed,203.0,266.9491585330256,20.0,True,2.8027174700000003e-21,-4.883437028578612e-21,-3.113896703447531e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.341690110342593e-20,2.62555300058967e-20,-1.742393616499137,-11.11027685372629,-1.7423936164991372,-0.8711968082495685,-5.227180849497411,-33.33083056117887,9.367883237227154
face,dispersed,204.0,266.9491585330256,20.0,True,2.8165239600000003e-21,-4.883437028578612e-21,-3.1133463072229955e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.340038921668987e-20,2.6250026043651344e-20,-1.7338524713202195,-11.053860543842116,-1.73385247132022,-0.8669262356601097,-5.201557413960659,-33.16158163152635,9.320008072521897
face,dispersed,205.0,266.9491585330256,20.0,True,2.8303304500000003e-21,-4.883437028578612e-21,-3.112788564492808e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.338365693478425e-20,2.624444861634947e-20,-1.72539465438695,-10.997968680628114,-1.7253946543869505,-0.862697327193475,-5.176183963160851,-32.993906041884344,9.272574026241164
face,dispersed,206.0,266.9491585330256,20.0,True,2.8441369400000004e-21,-4.883437028578612e-21,-3.112223476737947e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.336670430213841e-20,2.623879773880086e-20,-1.7170189521811883,-10.942593631718543,-1.7170189521811885,-0.8585094760905941,-5.1510568565435655,-32.827780895155634,9.225574679537356
face,dispersed,207.0,266.9491585330256,20.0,True,2.8579434300000004e-21,-4.883437028578612e-21,-3.111651046457906e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.334953139373718e-20,2.6233073436000448e-20,-1.7087241746344193,-10.887727915796798,-1.7087241746344195,-0.8543620873172096,-5.126172523903258,-32.6631837473904,9.17900374116238
face,dispersed,208.0,266.9491585330256,20.0,True,2.8717499200000004e-21,-4.883437028578612e-21,-3.1110712771529886e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.333213831458965e-20,2.6227275742951275e-20,-1.7005091545640614,-10.833364198902766,-1.7005091545640616,-0.8502545772820307,-5.101527463692185,-32.50009259670829,9.132855044338704
face,dispersed,209.0,266.9491585330256,20.0,True,2.88555641e-21,-4.883437028578612e-21,-3.110484173306643e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.331452519919928e-20,2.6221404704487816e-20,-1.6923727471259562,-10.779495290846326,-1.6923727471259564,-0.8461863735629781,-5.077118241377868,-32.338485872538975,9.087122543720369
face,dispersed,210.0,266.9491585330256,20.0,True,2.8993629e-21,-4.883437028578612e-21,-3.109889740367725e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.329669221103175e-20,2.6215460375098637e-20,-1.684313829282499,-10.726114141723082,-1.6843138292824995,-0.8421569146412495,-5.052941487847498,-32.17834242516925,9.041800312440584
face,dispersed,211.0,266.9491585330256,20.0,True,2.91316939e-21,-4.883437028578612e-21,-3.1092879847328224e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.327863954198467e-20,2.6209442818749613e-20,-1.6763312992858996,-10.67321383852939,-1.6763312992858999,-0.8381656496429498,-5.028993897857699,-32.01964151558817,8.996882539243492
face,dispersed,212.0,266.9491585330256,20.0,True,2.92697588e-21,-4.883437028578612e-21,-3.1086789137285275e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.326036741185582e-20,2.6203352108706664e-20,-1.6684240761760605,-10.620787601872987,-1.6684240761760607,-0.8342120380880302,-5.005272228528182,-31.86236280561896,8.952363525696926
face,dispersed,213.0,266.9491585330256,20.0,True,2.94078237e-21,-4.883437028578612e-21,-3.1080625355938186e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.324187606781456e-20,2.6197188327359575e-20,-1.6605910992926047,-10.568828782776668,-1.660591099292605,-0.8302955496463024,-4.981773297877814,-31.706486348330003,8.908237683484064
face,dispersed,214.0,266.9491585330256,20.0,True,2.95458886e-21,-4.883437028578612e-21,-3.107438859462386e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.322316578387158e-20,2.6190951566045247e-20,-1.6528313278005833,-10.517330859571391,-1.6528313278005835,-0.8264156639002916,-4.95849398340175,-31.551992578714174,8.864499531770809
face,dispersed,215.0,266.9491585330256,20.0,True,2.96839535e-21,-4.883437028578612e-21,-3.106807895345077e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.320423686035232e-20,2.618464192487216e-20,-1.6451437402294178,-10.46628743487648,-1.645143740229418,-0.8225718701147089,-4.935431220688254,-31.39886230462944,8.821143694647063
face,dispersed,216.0,266.9491585330256,20.0,True,2.98220184e-21,-4.883437028578612e-21,-3.1061696541123714e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.318508962337115e-20,2.6178259512545103e-20,-1.637527334024652,-10.415692232663806,-1.6375273340246521,-0.818763667012326,-4.912582002073956,-31.24707669799142,8.778164898639155
face,dispersed,217.0,266.9491585330256,20.0,True,2.99600833e-21,-4.883437028578612e-21,-3.1055241474769174e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.316572442430752e-20,2.6171804446190563e-20,-1.629981125112096,-10.365539095403374,-1.6299811251120961,-0.814990562556048,-4.889943375336288,-31.09661728621012,8.735557970291278
face,dispersed,218.0,266.9491585330256,20.0,True,3.00981482e-21,-4.883437028578612e-21,-3.104871387976177e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.314614163928532e-20,2.616527685118316e-20,-1.622504147473967,-10.315821981287796,-1.6225041474739672,-0.8112520737369835,-4.867512442421901,-30.94746594386339,8.693317833813829
face,dispersed,219.0,266.9491585330256,20.0,True,3.02362131e-21,-4.883437028578612e-21,-3.1042113889550934e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.312634166865281e-20,2.6158676860972324e-20,-1.615095452736643,-10.266534961532908,-1.6150954527366432,-0.8075477263683215,-4.845286358209929,-30.79960488459873,8.651439508796265
face,dispersed,220.0,266.9491585330256,20.0,True,3.0374278e-21,-4.883437028578612e-21,-3.103544164548923e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.310632493646769e-20,2.6152004616910618e-20,-1.6077541097696582,-10.217672217752543,-1.6077541097696584,-0.8038770548848291,-4.8232623293089745,-30.65301665325763,8.609918107982885
face,dispersed,221.0,266.9491585330256,20.0,True,3.05123429e-21,-4.883437028578612e-21,-3.10286972966613e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.30860918899839e-20,2.6145260268082688e-20,-1.6004792042955873,-10.169228039404768,-1.6004792042955875,-0.8002396021477937,-4.801437612886763,-30.507684118214303,8.568748835109181
face,dispersed,222.0,266.9491585330256,20.0,True,3.06504078e-21,-4.883437028578612e-21,-3.1021880999713866e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.30656429991416e-20,2.6138443971135255e-20,-1.593269838510472,-10.121196821307501,-1.5932698385104724,-0.796634919255236,-4.779809515531417,-30.363590463922502,8.527926982797029
face,dispersed,223.0,266.9491585330256,20.0,True,3.0788472700000002e-21,-4.883437028578612e-21,-3.10149929186871e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.30449787560613e-20,2.6131555890108492e-20,-1.586125130714461,-10.073573061221417,-1.5861251307144613,-0.7930625653572305,-4.758375392143384,-30.220719183664247,8.487447930506956
face,dispersed,224.0,266.9491585330256,20.0,True,3.0926537600000002e-21,-4.883437028578612e-21,-3.1008033224846973e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.302409967454092e-20,2.6124596196268362e-20,-1.579044214952343,-10.026351357497896,-1.5790442149523432,-0.7895221074761715,-4.737132644857029,-30.079054072493687,8.447307142545553
face,dispersed,225.0,266.9491585330256,20.0,True,3.1064602500000002e-21,-4.883437028578612e-21,-3.100100209651909e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.300300628955728e-20,2.611756506794048e-20,-1.5720262406636658,-9.979526406790201,-1.572026240663666,-0.7860131203318329,-4.716078721990997,-29.938579220370602,8.407500166126535
face,dispersed,226.0,266.9491585330256,20.0,True,3.1202667400000002e-21,-4.883437028578612e-21,-3.099389971892367e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.2981699156771e-20,2.6110462690345058e-20,-1.565070372342145,-9.933093001825757,-1.5650703723421453,-0.7825351861710725,-4.695211117026435,-29.799279005477267,8.368022629483612
face,dispersed,227.0,266.9491585330256,20.0,True,3.1340732300000002e-21,-4.883437028578612e-21,-3.098672628401225e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.296017885203675e-20,2.6103289255433638e-20,-1.558175789204074,-9.887046029237883,-1.5581757892040742,-0.779087894602037,-4.674527367612222,-29.66113808771365,8.32887024003381
face,dispersed,228.0,266.9491585330256,20.0,True,3.1478797200000003e-21,-4.883437028578612e-21,-3.09794819903054e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.29384459709162e-20,2.609604496172679e-20,-1.5513416848654595,-9.841380467454899,-1.55134168486546,-0.7756708424327298,-4.654025054596379,-29.524141402364698,8.29003878258944
face,dispersed,229.0,266.9491585330256,20.0,True,3.1616862100000003e-21,-4.883437028578612e-21,-3.0972167042732294e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.291650112819688e-20,2.6088730014153683e-20,-1.5445672670276192,-9.796091384645123,-1.5445672670276194,-0.7722836335138096,-4.633701801082858,-29.38827415393537,8.251524117617505
face,dispersed,230.0,266.9491585330256,20.0,True,3.1754927000000003e-21,-4.883437028578612e-21,-3.096478165247145e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.289434495741435e-20,2.6081344623892838e-20,-1.5378517571709773,-9.751173936715851,-1.5378517571709776,-0.7689258785854887,-4.613555271512932,-29.253521810147554,8.213322179544873
face,dispersed,231.0,266.9491585330256,20.0,True,3.1892991900000003e-21,-4.883437028578612e-21,-3.095732603679369e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.287197811038108e-20,2.607388900821508e-20,-1.5311943902568173,-9.706623365365006,-1.5311943902568175,-0.7655971951284086,-4.593583170770452,-29.11987009609502,8.17542897510819
face,dispersed,232.0,266.9491585330256,20.0,True,3.2031056800000003e-21,-4.883437028578612e-21,-3.09498004189058e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.284940125671739e-20,2.6066363390327187e-20,-1.5245944144367447,-9.66243499618339,-1.524594414436745,-0.7622972072183724,-4.573783243310235,-28.987304988550168,8.137840581746646
face,dispersed,233.0,266.9491585330256,20.0,True,3.2169121700000003e-21,-4.883437028578612e-21,-3.0942205027796704e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.282661508339011e-20,2.6058767999218093e-20,-1.5180510907696343,-9.618604236806597,-1.5180510907696345,-0.7590255453848171,-4.554153272308903,-28.855812710419787,8.100553146036962
face,dispersed,234.0,266.9491585330256,20.0,True,3.2307186600000003e-21,-4.883437028578612e-21,-3.093454009808494e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.280362029425481e-20,2.605110306950633e-20,-1.5115636929458325,-9.575126575114695,-1.5115636929458327,-0.7557818464729162,-4.534691078837498,-28.725379725344084,8.063562882168863
face,dispersed,235.0,266.9491585330256,20.0,True,3.2445251500000003e-21,-4.883437028578612e-21,-3.0926805869867713e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.278041760960313e-20,2.6043368841289102e-20,-1.5051315070184033,-9.53199757747839,-1.5051315070184035,-0.7525657535092016,-4.51539452105521,-28.595992732435167,8.026866070459986
face,dispersed,236.0,266.9491585330256,20.0,True,3.2583316400000004e-21,-4.883437028578612e-21,-3.0919002588572053e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.275700776571616e-20,2.6035565559993442e-20,-1.4987538311412067,-9.489212887050396,-1.498753831141207,-0.7493769155706034,-4.496261493423621,-28.467638661151188,7.990459055909189
face,dispersed,237.0,266.9491585330256,20.0,True,3.2721381300000004e-21,-4.883437028578612e-21,-3.091113050480739e-20,-4.8834370285786125e-21,0.375,-2.441718514289306e-21,-1.4650311085735836e-20,-9.273339151442217e-20,2.602769347622878e-20,-1.4924299753136068,-9.446768222100511,-1.492429975313607,-0.7462149876568034,-4.47728992594082,-28.34030466630153,7.954338246786904
