temperature_K,dipole_manifold,manifold_states,twist_halfwidth_deg,tilt_deg,kBT_J,face_vdw_kBT,face_u_min_kBT,face_dipole_min_kBT,face_f_dip_kBT,face_f_dip_quenched_kBT,face_degeneracy,tip_vdw_kBT,tip_u_min_kBT,tip_dipole_min_kBT,tip_f_dip_kBT,tip_f_dip_quenched_kBT,tip_degeneracy,d_vdW_kBT,d_U_min_kBT,d_dipole_min_kBT,d_F_dip_kBT,d_F_dip_quenched_kBT,d_F_twist_kBT,d_F_energy_only_kBT,d_F_total_kBT,d_F_total_quenched_kBT,preferred_energy_only,preferred_with_entropy,preferred_single_pair,d_vdW_J,d_U_min_J,d_dipole_min_J,d_F_dip_J,d_F_dip_quenched_J,d_F_twist_J,d_F_energy_only_J,d_F_total_J,d_F_total_quenched_J
200.0,free,64,1.0,2.0,2.7612980000000003e-21,-1.7685295207466243,-11.361967479682601,-9.593437958935978,-9.299039895366704,-9.299039895366704,1,-0.0888424280000102,-4.345123870734854,-4.256281442734844,-1.5370214784074079,-1.5370214784074079,1,1.679687092746614,7.016843608947747,5.337156516201134,7.762018416959296,7.762018416959296,-8.1886891244442,7.762018416959296,-0.426670707484905,-0.426670707484905,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.473747961387316e-20,2.1433245930712873e-20,2.1433245930712873e-20,-2.2611410901949525e-20,2.1433245930712873e-20,-1.1781649712366533e-21,-1.1781649712366533e-21
201.0,free,64,1.0,2.0,2.7751044900000003e-21,-1.7597308664145515,-11.305440278291146,-9.545709411876594,-9.242911546016774,-9.242911546016774,1,-0.08840042587065693,-4.323506339039656,-4.235105913168999,-1.5226168786290633,-1.5226168786290633,1,1.6713304405438945,6.98193393925149,5.310603498707595,7.720294667387711,7.720294667387711,-8.1886891244442,7.720294667387711,-0.4683944570564895,-0.4683944570564895,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873157e-20,2.1424624395590696e-20,2.1424624395590696e-20,-2.2724467956459274e-20,2.1424624395590696e-20,-1.2998435608685763e-21,-1.2998435608685763e-21
202.0,free,64,1.0,2.0,2.7889109800000003e-21,-1.7510193274719053,-11.249472752160992,-9.498453424689087,-9.187348413692593,-9.187348413692593,1,-0.08796280000001011,-4.3021028423117365,-4.214140042311726,-1.5084147670457417,-1.5084147670457417,1,1.6630565274718951,6.947369909849256,5.284313382377361,7.678933646646851,7.678933646646851,-8.1886891244442,7.678933646646851,-0.5097554777973494,-0.5097554777973494,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.4737479613873163e-20,2.1415862361824847e-20,2.1415862361824847e-20,-2.283752501096902e-20,2.1415862361824847e-20,-1.4216626491441742e-21,-1.4216626491441742e-21
203.0,free,64,1.0,2.0,2.8027174700000003e-21,-1.7423936164991372,-11.194056630229163,-9.451663013730027,-9.132342228427785,-9.132342228427785,1,-0.08752948571429577,-4.280910217472762,-4.193380731758467,-1.4944114700155389,-1.4944114700155389,1,1.6548641307848413,6.913146412756401,5.25828228197156,7.637930758412246,7.637930758412246,-8.1886891244442,7.637930758412246,-0.550758366031955,-0.550758366031955,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1406961971252352e-20,2.1406961971252352e-20,-2.295058206547877e-20,2.1406961971252352e-20,-1.5436200942264151e-21,-1.5436200942264151e-21
204.0,free,64,1.0,2.0,2.8165239600000003e-21,-1.73385247132022,-11.139183803610393,-9.405331332290174,-9.077884881618516,-9.077884881618516,1,-0.08710041960785314,-4.259925363465543,-4.17282494385769,-1.4806033924227824,-1.4806033924227824,1,1.6467520517123668,6.87925844014485,5.232506388432484,7.597281489195733,7.597281489195733,-8.1886891244442,7.597281489195733,-0.5914076352484674,-0.5914076352484674,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.473747961387316e-20,2.1397925345184266e-20,2.1397925345184266e-20,-2.3063639119988516e-20,2.1397925345184266e-20,-1.6657137748042491e-21,-1.6657137748042491e-21
205.0,free,64,1.0,2.0,2.8303304500000003e-21,-1.7253946543869505,-11.084846321641562,-9.359451667254612,-9.023968422081012,-9.023968422081012,1,-0.08667553951220508,-4.239145239741321,-4.1524697002291155,-1.4669870158298632,-1.4669870158298632,1,1.6387191148747453,6.845701081900241,5.206981967025497,7.556981406251149,7.556981406251149,-8.1886891244442,7.556981406251149,-0.6317077181930522,-0.6317077181930522,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873163e-20,2.1388754584196448e-20,2.1388754584196448e-20,-2.3176696174498262e-20,2.1388754584196448e-20,-1.787941590301815e-21,-1.787941590301815e-21
206.0,free,64,1.0,2.0,2.8441369400000004e-21,-1.7170189521811885,-11.03103638804136,-9.314017435860173,-8.970585052224376,-8.970585052224376,1,-0.08625478446602933,-4.2185668647911205,-4.132312080325091,-1.45355889667444,-1.45355889667444,1,1.6307641677151592,6.812469523250239,5.181705355535081,7.517026155549936,7.517026155549936,-8.1886891244442,7.517026155549936,-0.6716629688942648,-0.6716629688942648,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.473747961387316e-20,2.137945176794576e-20,2.137945176794576e-20,-2.3289753229008012e-20,2.137945176794576e-20,-1.9103014610622496e-21,-1.9103014610622496e-21
207.0,free,64,1.0,2.0,2.8579434300000004e-21,-1.7087241746344195,-10.977746357181257,-9.269022182546838,-8.91772712433474,-8.91772712433474,1,-0.0858380946860002,-4.198187314719665,-4.112349220033665,-1.4403156645108925,-1.4403156645108925,1,1.6228860799484193,6.7795590424615915,5.156672962513173,7.477411459823847,7.477411459823847,-8.1886891244442,7.477411459823847,-0.7112776646203542,-0.7112776646203542,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1370018955010273e-20,2.1370018955010273e-20,-2.3402810283517758e-20,2.1370018955010273e-20,-2.032791328507485e-21,-2.032791328507485e-21
208.0,free,64,1.0,2.0,2.8717499200000004e-21,-1.7005091545640616,-10.92496873046404,-9.224459575899978,-8.86538713696702,-8.86538713696702,1,-0.08542541153847136,-4.178003721860437,-4.092578310321965,-1.4272540202949324,-1.4272540202949324,1,1.6150837430255902,6.746965008603603,5.131881265578013,7.438133116672087,7.438133116672087,-8.1886891244442,7.438133116672087,-0.7505560077721141,-0.7505560077721141,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.136045818275242e-20,2.136045818275242e-20,-2.3515867338027507e-20,2.136045818275242e-20,-2.155409155275088e-21,-2.155409155275088e-21
209.0,free,64,1.0,2.0,2.88555641e-21,-1.6923727471259564,-10.872696152806318,-9.180323405680362,-8.81355773144066,-8.81355773144066,1,-0.0850166775119715,-4.158013273430482,-4.072996595918511,-1.4143707347102925,-1.4143707347102925,1,1.607356069613985,6.714682879375836,5.107326809761851,7.399186996730368,7.399186996730368,-8.1886891244442,7.399186996730368,-0.789502127713833,-0.789502127713833,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.473747961387316e-20,2.1350771467203963e-20,2.1350771467203963e-20,-2.362892439253725e-20,2.1350771467203963e-20,-2.2781529253332895e-21,-2.2781529253332895e-21
210.0,free,64,1.0,2.0,2.8993629e-21,-1.6843138292824995,-10.820921409221526,-9.136607579939026,-8.762231688435879,-8.762231688435879,1,-0.08461183619048591,-4.138213210223671,-4.053601374033185,-1.4016626465364677,-1.4016626465364677,1,1.5997019930920136,6.682708198997855,5.083006205905841,7.360569041899411,7.360569041899411,-8.1886891244442,7.360569041899411,-0.8281200825447899,-0.8281200825447899,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.4737479613873157e-20,2.13409608029717e-20,2.13409608029717e-20,-2.3741981447047e-20,2.13409608029717e-20,-2.4010206440753012e-21,-2.4010206440753012e-21
211.0,free,64,1.0,2.0,2.91316939e-21,-1.6763312992858999,-10.769637421500097,-9.093306122214198,-8.711401924687081,-8.711401924687081,1,-0.08421083222749784,-4.118600825341094,-4.034389993113597,-1.3891266610564887,-1.3891266610564887,1,1.592120467058402,6.651036596159003,5.058916129100601,7.322275263630592,7.322275263630592,-8.1886891244442,7.322275263630592,-0.8664138608136085,-0.8664138608136085,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.133102816316282e-20,2.133102816316282e-20,-2.3855038501556746e-20,2.133102816316282e-20,-2.524010338393925e-21,-2.524010338393925e-21
