channel,temperature_K,size_cv,window_s,blocked_fraction,weight_both_free,weight_half_frozen,weight_both_frozen,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_both_frozen_J,U_pair_half_frozen_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_lattice_per_NC_equilibrium_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_both_frozen_kBT,U_pair_half_frozen_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_lattice_per_NC_equilibrium_kBT,U_pair_excess_kBT
face,200.0,0.0,20.0,0.9996461984947883,1.2517550509005944e-07,0.0007073526594132053,0.9992925221650817,2.7612980000000003e-21,-4.902023604052227e-21,-3.115503813924983e-20,-4.883437028578612e-21,-3.1155038139249816e-20,-4.8834370285786125e-21,0.37473469659857894,-1.4706070812156682e-20,-9.346511441774948e-20,2.62530145351976e-20,-1.7752606216541014,-11.282751133434285,-1.768529520746624,-11.282751133434282,-1.7685295207466243,-5.325781864962304,-33.84825340030286,9.507490511780183
face,201.0,0.0,20.0,0.9995858009663848,1.7156083944774088e-07,0.0008280549455514449,0.9991717734936091,2.7751044900000003e-21,-4.905191488980549e-21,-3.1149754556540226e-20,-4.883437028578612e-21,-3.1149754556540214e-20,-4.8834370285786125e-21,0.37468941604909584,-1.4715574466941648e-20,-9.344926366962068e-20,2.624456306755968e-20,-1.76757001642866,-11.224714121139353,-1.7597308664145512,-11.22471412113935,-1.7597308664145515,-5.302710049285981,-33.674142363418056,9.457144104710693
face,202.0,0.0,20.0,0.9995158515298188,2.34399741178786e-07,0.0009678281408800211,0.9990319374593788,2.7889109800000003e-21,-4.908859280718076e-21,-3.11443975272158e-20,-4.883437028578612e-21,-3.114439752721581e-20,-4.8834370285786125e-21,0.37463697778777594,-1.4726577842154228e-20,-9.343319258164739e-20,2.623553824649772e-20,-1.7601348038430669,-11.167225397497555,-1.7510193274719048,-11.167225397497559,-1.7510193274719053,-5.280404411529201,-33.50167619249266,9.407090593654488
face,203.0,0.0,20.0,0.9994349617612599,3.192682112385153e-07,0.0011294379410577249,0.998870242790731,2.8027174700000003e-21,-4.913099402885953e-21,-3.113896703447531e-20,-4.883437028578612e-21,-3.113896703447533e-20,-4.8834370285786125e-21,0.37457634259901507,-1.473929820865786e-20,-9.341690110342593e-20,2.622586763158936e-20,-1.7529770501219848,-11.11027685372629,-1.742393616499137,-11.110276853726297,-1.7423936164991372,-5.258931150365955,-33.33083056117887,9.357299803604306
face,204.0,0.0,20.0,0.9993415597257129,4.335435948032391e-07,0.0013160134613845443,0.9986835529950207,2.8165239600000003e-21,-4.917993796744408e-21,-3.1133463072229955e-20,-4.883437028578612e-21,-3.113346307222995e-20,-4.8834370285786125e-21,0.37450633431175945,-1.4753981390233225e-20,-9.340038921668987e-20,2.6215469275485548e-20,-1.7461217680336747,-11.053860543842116,-1.7338524713202195,-11.053860543842115,-1.73385247132022,-5.238365304101025,-33.16158163152635,9.307738775808442
face,205.0,0.0,20.0,0.9992338682699536,5.869578277838285e-07,0.0015310895444371523,0.9984683234977351,2.8303304500000003e-21,-4.923635033839174e-21,-3.112788564492808e-20,-4.883437028578612e-21,-3.112788564492806e-20,-4.8834370285786125e-21,0.37442562372715843,-1.4770905101517524e-20,-9.338365693478425e-20,2.620425061108891e-20,-1.7395972381384561,-10.997968680628114,-1.72539465438695,-10.997968680628107,-1.7253946543869505,-5.218791714415369,-32.993906041884344,9.25837144248966
face,206.0,0.0,20.0,0.9991098810808999,7.923116901398754e-07,0.0017786532148198586,0.99822055447349,2.8441369400000004e-21,-4.930127539835922e-21,-3.112223476737947e-20,-4.883437028578612e-21,-3.112223476737947e-20,-4.8834370285786125e-21,0.3743327109307617,-1.4790382619507768e-20,-9.336670430213841e-20,2.6192107227543548e-20,-1.7334353597741752,-10.942593631718543,-1.7170189521811883,-10.942593631718543,-1.7170189521811885,-5.200306079322526,-32.827780895155634,9.20915827194437
face,207.0,0.0,20.0,0.9989673363219334,1.0663942719981368e-06,0.002063194567589299,0.9979357390381387,2.8579434300000004e-21,-4.937588937982188e-21,-3.111651046457906e-20,-4.883437028578612e-21,-3.111651046457905e-20,-4.8834370285786125e-21,0.3742259058652381,-1.4812766813946563e-20,-9.334953139373718e-20,2.617892152659687e-20,-1.7276720337260796,-10.887727915796798,-1.7087241746344193,-10.887727915796797,-1.7087241746344195,-5.1830161011782385,-32.6631837473904,9.160055882070719
face,208.0,0.0,20.0,0.9988036876498362,1.4311632391544811e-06,0.00238976237384933,0.9976088064629115,2.8717499200000004e-21,-4.946151520830595e-21,-3.1110712771529886e-20,-4.883437028578612e-21,-3.1110712771529886e-20,-4.8834370285786125e-21,0.3741033070364774,-1.4838454562491785e-20,-9.333213831458965e-20,2.6164561250699292e-20,-1.7223475785212503,-10.833364198902766,-1.7005091545640614,-10.833364198902766,-1.7005091545640616,-5.167042735563751,-32.50009259670829,9.111016620381516
face,209.0,0.0,20.0,0.9986160724056881,1.9152555862980338e-06,0.0027640246774512838,0.9972340600669625,2.88555641e-21,-4.955963858951095e-21,-3.110484173306643e-20,-4.883437028578612e-21,-3.1104841733066415e-20,-4.8834370285786125e-21,0.37396277822423674,-1.4867891576853288e-20,-9.331452519919928e-20,2.6148877874115333e-20,-1.7175071822460388,-10.779495290846326,-1.6923727471259562,-10.77949529084632,-1.6923727471259564,-5.152521546738117,-32.338485872538975,9.061988108600287
face,210.0,0.0,20.0,0.9984012767645617,2.555915983530319e-06,0.0031923346389095475,0.9968051094451069,2.8993629e-21,-4.9671925553231895e-21,-3.109889740367725e-20,-4.883437028578612e-21,-3.1098897403677254e-20,-4.8834370285786125e-21,0.3738019230686472,-1.4901577665969567e-20,-9.329669221103175e-20,2.6131704848354057e-20,-1.7132013916999453,-10.726114141723082,-1.684313829282499,-10.726114141723084,-1.6843138292824995,-5.139604175099835,-32.17834242516925,9.012912750023137
face,211.0,0.0,20.0,0.9981556976215247,3.4014512632497467e-06,0.0036818018544241536,0.9963147966943126,2.91316939e-21,-4.980024153894493e-21,-3.1092879847328224e-20,-4.883437028578612e-21,-3.1092879847328206e-20,-4.8834370285786125e-21,0.3736180574064427,-1.4940072461683478e-20,-9.327863954198467e-20,2.611285569343373e-20,-1.709486640560401,-10.67321383852939,-1.6763312992858996,-10.673213838529385,-1.6763312992858999,-5.128459921681203,-32.01964151558817,8.96372719796899
face,212.0,0.0,20.0,0.9978753009857226,4.514345901271205e-06,0.004240369336752187,0.9957551163173466,2.92697588e-21,-4.994667210375683e-21,-3.1086789137285275e-20,-4.883437028578612e-21,-3.108678913728531e-20,-4.8834370285786125e-21,0.37340817923634206,-1.498400163112705e-20,-9.326036741185582e-20,2.6092121926909593e-20,-1.7064258180274732,-10.620787601872987,-1.6684240761760605,-10.620787601873,-1.6684240761760607,-5.11927745408242,-31.86236280561896,8.914361783845514
face,213.0,0.0,20.0,0.9975555766507136,5.975205510536573e-06,0.00487689628755174,0.9951171285069377,2.94078237e-21,-5.0113545326606594e-21,-3.1080625355938186e-20,-4.883437028578612e-21,-3.10806253559382e-20,-4.8834370285786125e-21,0.3731689362023749,-1.5034063597981977e-20,-9.324187606781456e-20,2.6069270823277525e-20,-1.7040888791307123,-10.568828782776668,-1.6605910992926047,-10.568828782776672,-1.660591099292605,-5.112266637392136,-31.706486348330003,8.864739903645955
face,214.0,0.0,20.0,0.9971914889083688,7.887734551815254e-06,0.00560124671415869,0.9943908655512895,2.95458886e-21,-5.030345597252227e-21,-3.107438859462386e-20,-4.883437028578612e-21,-3.1074388594623864e-20,-4.8834370285786125e-21,0.37289659049800383,-1.509103679175668e-20,-9.322316578387158e-20,2.6044042997371632e-20,-1.7025534974948178,-10.517330859571391,-1.6528313278005833,-10.517330859571393,-1.6528313278005835,-5.107660492484453,-31.551992578714174,8.814777362076574
face,215.0,0.0,20.0,0.996777423076313,1.0385002029079922e-05,0.006424383843315826,0.9935652311546551,2.96839535e-21,-5.0519291466632905e-21,-3.106807895345077e-20,-4.883437028578612e-21,-3.106807895345076e-20,-4.8834370285786125e-21,0.3725869811137248,-1.515578743998987e-20,-9.320423686035232e-20,2.601614980678748e-20,-1.701905760856043,-10.46628743487648,-1.6451437402294178,-10.466287434876476,-1.645143740229418,-5.105717282568129,-31.39886230462944,8.764381674020436
face,216.0,0.0,20.0,0.9963071276159364,1.3637306444979372e-05,0.007358470155237186,0.9926278925383178,2.98220184e-21,-5.076425970864898e-21,-3.1061696541123714e-20,-4.883437028578612e-21,-3.10616965411237e-20,-4.8834370285786125e-21,0.37223548337769646,-1.5229277912594694e-20,-9.318508962337115e-20,2.5985270570258816e-20,-1.7022409089737862,-10.415692232663806,-1.637527334024652,-10.415692232663803,-1.6375273340246521,-5.106722726921358,-31.24707669799142,8.713451323690022
face,217.0,0.0,20.0,0.9957736516305509,1.786202053994531e-05,0.008416972697818367,0.9915651652816417,2.99600833e-21,-5.1041918733634246e-21,-3.1055241474769174e-20,-4.883437028578612e-21,-3.10552414747692e-20,-4.8834370285786125e-21,0.371836965774323,-1.5312575620090274e-20,-9.316572442430752e-20,2.595104960140575e-20,-1.7036641127641405,-10.365539095403374,-1.629981125112096,-10.365539095403381,-1.6299811251120961,-5.110992338292422,-31.09661728621012,8.661874982639233
face,218.0,0.0,20.0,0.9951692775525274,2.33358793645159e-05,0.009614773136216215,0.9903618909844193,3.00981482e-21,-5.135620819293167e-21,-3.104871387976177e-20,-4.883437028578612e-21,-3.1048713879761736e-20,-4.8834370285786125e-21,0.37138574407130814,-1.54068624578795e-20,-9.314614163928532e-20,2.5913093060468605e-20,-1.706291292463357,-10.315821981287796,-1.622504147473967,-10.315821981287783,-1.6225041474739672,-5.1188738773900715,-30.94746594386339,8.609530688824439
face,219.0,0.0,20.0,0.9944854488557383,3.041027432267794e-05,0.010968281739878028,0.9890013079857993,3.02362131e-21,-5.171148258871445e-21,-3.1042113889550934e-20,-4.883437028578612e-21,-3.10421138895509e-20,-4.8834370285786125e-21,0.3708755328434733,-1.5513444776614335e-20,-9.312634166865281e-20,2.587096563067949e-20,-1.710249971373381,-10.266534961532908,-1.615095452736643,-10.266534961532896,-1.6150954527366432,-5.130749914120143,-30.79960488459873,8.556284990159527
face,220.0,0.0,20.0,0.9937126926670424,3.9530233499062034e-05,0.012495554198917016,0.9874649155675839,3.0374278e-21,-5.211254614528521e-21,-3.103544164548923e-20,-4.883437028578612e-21,-3.103544164548922e-20,-4.8834370285786125e-21,0.37029939455382616,-1.5633763843585562e-20,-9.310632493646769e-20,2.582418703096071e-20,-1.7156801602094116,-10.217672217752543,-1.6077541097696582,-10.21767221775254,-1.6077541097696584,-5.147040480628235,-30.65301665325763,8.50199205754313
face,221.0,0.0,20.0,0.9928405371999179,5.1257907585758874e-05,0.014216409784992605,0.9857323323074216,3.05123429e-21,-5.256468913819589e-21,-3.10286972966613e-20,-4.883437028578612e-21,-3.1028697296661293e-20,-4.8834370285786125e-21,0.3696496864415268,-1.5769406741458766e-20,-9.30860918899839e-20,2.577222838284171e-20,-1.7227352652160934,-10.169228039404768,-1.6004792042955873,-10.169228039404766,-1.6004792042955875,-5.16820579564828,-30.507684118214303,8.446492774188673
face,222.0,0.0,20.0,0.9918574239969756,6.630154396502834e-05,0.016152548918118684,0.9837811495379163,3.06504078e-21,-5.307372542658007e-21,-3.1021880999713866e-20,-4.883437028578612e-21,-3.102188099971388e-20,-4.8834370285786125e-21,0.36891800557533366,-1.5922117627974022e-20,-9.30656429991416e-20,2.5714508457055858e-20,-1.7315830109960257,-10.121196821307501,-1.593269838510472,-10.121196821307505,-1.5932698385104724,-5.194749032988077,-30.363590463922502,8.389613810311475
