channel,temperature_K,size_cv,window_s,bound_at_freeze,twist_halfwidth_deg,volume_fraction,frozen_pair_weight,mean_pair_freeze_temperature_K,kBT_J,U_pair_J,U_pair_equilibrium_J,U_pair_frozen_component_J,vdW_pair_J,repulsive_weight,U_lattice_per_NC_J,U_pair_excess_J,U_pair_kBT,U_pair_equilibrium_kBT,U_pair_frozen_component_kBT,vdW_pair_kBT,U_lattice_per_NC_kBT,U_pair_excess_kBT
face,200.0,0.1,20.0,1.0,5.0,0.01,0.6855423684840727,256.6331691553846,2.7612980000000003e-21,-3.083474972659118e-20,-3.115503813924983e-20,-3.068783373674602e-20,-4.8834370285786125e-21,6.564606396866027e-05,-9.250424917977355e-20,3.2028841265864592e-22,-11.166759156958495,-11.282751133434285,-11.11355374781933,-1.7685295207466243,-33.50027747087549,0.11599197647578997
face,201.0,0.1,20.0,1.0,5.0,0.01,0.6784671821585939,258.9435505943604,2.7751044900000003e-21,-3.08330104943177e-20,-3.1149754556540226e-20,-3.0682902112454746e-20,-4.8834370285786125e-21,6.567303965198004e-05,-9.24990314829531e-20,3.167440622225283e-22,-11.110576414482214,-11.224714121139353,-11.05648534064919,-1.7597308664145515,-33.331729243446645,0.11413770665713863
face,202.0,0.1,20.0,1.0,5.0,0.01,0.6713309056414548,258.9435505943604,2.7889109800000003e-21,-3.083122791641472e-20,-3.11443975272158e-20,-3.0677906847032014e-20,-4.8834370285786125e-21,6.57020847704535e-05,-9.249368374924416e-20,3.131696108010757e-22,-11.05493439464845,-11.167225397497555,-10.999959147864953,-1.7510193274719053,-33.16480318394535,0.11229100284910337
face,203.0,0.1,20.0,1.0,5.0,0.01,0.6641946291243156,258.9435505943604,2.8027174700000003e-21,-3.082934421061693e-20,-3.113896703447531e-20,-3.067280424079751e-20,-4.8834370285786125e-21,6.573419647135408e-05,-9.248803263185079e-20,3.0962282385838265e-22,-10.999804489967705,-11.11027685372629,-10.943951564549783,-1.7423936164991372,-32.99941346990312,0.11047236375858556
face,204.0,0.1,20.0,1.0,5.0,0.01,0.6570583526071765,258.9435505943604,2.8165239600000003e-21,-3.0827357802070467e-20,-3.1133463072229955e-20,-3.066759079628235e-20,-4.8834370285786125e-21,6.576958423641501e-05,-9.24820734062114e-20,3.0610527015948766e-22,-10.945178610186744,-11.053860543842116,-10.888453722325993,-1.73385247132022,-32.835535830560225,0.10868193365537271
face,205.0,0.1,20.0,1.0,5.0,0.01,0.6498348274408761,261.37648168461754,2.8303304500000003e-21,-3.082538387992562e-20,-3.112788564492808e-20,-3.066238002376316e-20,-4.8834370285786125e-21,6.580648980622421e-05,-9.247615163977686e-20,3.0250176500246338e-22,-10.891090077459193,-10.997968680628114,-10.833498266523316,-1.7253946543869505,-32.67327023237758,0.10687860316892091
face,206.0,0.1,20.0,1.0,5.0,0.01,0.6425898445610949,261.37648168461754,2.8441369400000004e-21,-3.082333172464609e-20,-3.112223476737947e-20,-3.0657081069008254e-20,-4.8834370285786125e-21,6.584665975453512e-05,-9.246999517393827e-20,2.989030427333802e-22,-10.837499169307257,-10.942593631718543,-10.779045353916134,-1.7170189521811885,-32.51249750792177,0.10509446241128606
face,207.0,0.1,20.0,1.0,5.0,0.01,0.6353448616813137,261.37648168461754,2.8579434300000004e-21,-3.082117091344903e-20,-3.111651046457906e-20,-3.0651661263865494e-20,-4.8834370285786125e-21,6.589082993254251e-05,-9.24635127403471e-20,2.9533955113002815e-22,-10.784388028789298,-10.887727915796798,-10.725076270619356,-1.7087241746344195,-32.3531640863679,0.1033398870075004
face,208.0,0.1,20.0,1.0,5.0,0.01,0.6280998788015325,261.37648168461754,2.8717499200000004e-21,-3.081889986345798e-20,-3.1110712771529886e-20,-3.064611642639333e-20,-4.8834370285786125e-21,6.593926001414412e-05,-9.245669959037395e-20,2.9181290807190336e-22,-10.731749184991003,-10.833364198902766,-10.671582582091036,-1.7005091545640616,-32.19524755497301,0.10161501391176267
face,209.0,0.1,20.0,1.0,5.0,0.01,0.6207882523606715,263.9333103397496,2.88555641e-21,-3.081666791912788e-20,-3.110484173306643e-20,-3.064063543914461e-20,-4.8834370285786125e-21,6.598917918266276e-05,-9.245000375738364e-20,2.8817381393854844e-22,-10.679627614394091,-10.779495290846326,-10.618622922413985,-1.6923727471259564,-32.03888284318227,0.0998676764522335
