assembly,temperature_K,window_s,volume_fraction,escape_length_nm,site_volume_nm3,number_density_per_m3,alpha_face,alpha_tip,kBT_J,p_free_eq,p_face_eq,p_tip_eq,p_bound_eq,U_total_per_NC_eq_J,U_bound_conditional_eq_J,p_free_window,p_face_window,p_tip_window,p_bound_window,U_total_per_NC_window_J,U_bound_conditional_window_J,p_free_end,p_face_end,p_tip_end,p_bound_end,U_total_per_NC_end_J,U_bound_conditional_end_J,tau_N_isolated_s,tau_B_free_s,encounter_time_s,escape_attempt_time_s,slowest_relaxation_s,strongest_bond_per_NC_J,pair_lifetime_deepest_s,pair_survival_deepest,pair_lifetime_neel_blocked_s,pair_survival_neel_blocked,pair_lifetime_rotation_blocked_s,pair_survival_rotation_blocked,pair_lifetime_direct_escape_s,pair_lifetime_equilibrated_s,pair_survival_equilibrated,regime,persistent_SL_fraction_eq,persistent_SL_fraction_window,vdW_face_J,vdW_tip_J,face_center_distance_nm,tip_center_distance_nm,mean_free_separation_nm,free_state_dipole_diagnostic_J,detailed_balance_relative_error,propagator_normalisation_drift,kBT_kBT,U_total_per_NC_eq_kBT,U_bound_conditional_eq_kBT,U_total_per_NC_window_kBT,U_bound_conditional_window_kBT,U_total_per_NC_end_kBT,U_bound_conditional_end_kBT,strongest_bond_per_NC_kBT,vdW_face_kBT,vdW_tip_kBT,free_state_dipole_diagnostic_kBT,closed_form_p_bound_eq,closed_form_p_bound_error
dimer,200.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.7612980000000003e-21,0.09469598800187838,0.9047905775083476,0.0005134344897742171,0.9053040119981218,-1.409644921127571e-20,-1.557095630247241e-20,0.0946975442903535,0.9047890126977349,0.0005134430119115031,0.9053024557096464,-1.409642418025009e-20,-1.557095542086011e-20,0.09469598800180984,0.9047905775084162,0.000513434489773842,0.90530401199819,-1.409644921127681e-20,-1.5570956302472448e-20,56518.87140592694,4.082952141031122e-06,9.701381309642892e-06,8.482587550618672e-09,0.00042209299865716195,-1.5686889038856305e-20,0.00033474330335844994,0.0,0.0003347433035862927,0.0,0.0007294039776114266,0.0,0.0007294039834622619,0.0003323369854888475,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.9423794948555888e-20,1.0383734039276504e-07,1.0,-5.105008300906208,-5.638998870267681,-5.104999235957179,-5.638998550993087,-5.105008300906606,-5.638998870267695,-5.680983739841301,-1.7685295207466243,-0.0888424280000102,0.12048594536195373,0.9053040119981217,1.1102230246251565e-16
dimer,201.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.7751044900000003e-21,0.09961631862069585,0.8998512935616363,0.0005323878176676654,0.9003836813793039,-1.401719716342056e-20,-1.556802666830603e-20,0.09961783624327689,0.8998497677476748,0.0005323960090482902,0.9003821637567231,-1.401717276460056e-20,-1.5568025810413436e-20,0.09961631862061132,0.8998512935617213,0.000532387817667201,0.9003836813793885,-1.401719716342192e-20,-1.5568026668306077e-20,48275.96421252449,3.99898164635452e-06,9.50186151135025e-06,8.308133614309944e-09,0.00039313917571420786,-1.5686889038856305e-20,0.0003121514328520061,0.0,0.00031215143309305067,0.0,0.0006751399340388433,0.0,0.0006751399399313647,0.00030981039273053363,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.4883849844994044e-20,1.2467745691413512e-07,1.0,-5.051052028466344,-5.609888465246953,-5.051043236429832,-5.609888156108109,-5.0510520284668345,-5.60988846524697,-5.652720139145573,-1.7597308664145515,-0.08840042587065693,0.11988651279796392,0.9003836813793041,2.220446049250313e-16
dimer,202.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.7889109800000003e-21,0.1047096470403257,0.8947386358935634,0.0005517170661108367,0.8952903529596742,-1.393523945387934e-20,-1.5565050385957877e-20,0.10471112643617853,0.8947371486254235,0.0005517249383977878,0.8952888735638214,-1.393521567959272e-20,-1.5565049551126065e-20,0.104709647040341,0.8947386358935482,0.0005517170661109148,0.8952903529596591,-1.39352394538791e-20,-1.5565050385957868e-20,41299.64123826569,3.917065764442711e-06,9.307223617421508e-06,8.137948264077654e-09,0.00036641766868100994,-1.5686889038856305e-20,0.0002912765360012825,0.0,0.00029127653625604167,0.0,0.0006253150207312096,0.0,0.0006253150266638528,0.00028899899357488816,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,2.4097762106819085e-20,1.688758362039522e-07,1.0,-4.996659826653677,-5.5810495557509245,-4.996651302076597,-5.5810492564112115,-4.996659826653591,-5.581049555750921,-5.624736376080496,-1.7510193274719053,-0.08796280000001011,0.11929301520985518,0.8952903529596744,2.220446049250313e-16
dimer,203.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8027174700000003e-21,0.10997696239360309,0.8894516249073128,0.0005714126990844924,0.8900230376063972,-1.3850562729575482e-20,-1.5562027210918938e-20,0.10997840399905776,0.8894501757374866,0.0005714202634558084,0.8900215960009424,-1.3850539572209046e-20,-1.5562026398508177e-20,0.10997696239367996,0.8894516249072348,0.0005714126990849008,0.8900230376063197,-1.3850562729574242e-20,-1.55620272109189e-20,35385.83358523123,3.83715006427453e-06,9.117338295924003e-06,7.971918416082815e-09,0.000341738388350053,-1.5686889038856305e-20,0.0002719740226847159,0.0,0.00027197402295370634,0.0,0.000579535261708748,0.0,0.0005795352676799594,0.0002697582460650232,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.6526035136908504e-20,1.4494927125241475e-07,1.0,-4.941833373442197,-5.552478042290483,-4.9418251109731175,-5.552477752425104,-4.941833373441755,-5.55247804229047,-5.597028315114581,-1.7423936164991372,-0.08752948571429577,0.11870536488862436,0.8900230376063969,3.3306690738754696e-16
dimer,204.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8165239600000003e-21,0.11541893638242996,0.8839895994164199,0.0005914642011504464,0.8845810636175703,-1.3763158644939595e-20,-1.5558956901760902e-20,0.11542034063240794,0.8839881878992615,0.0005914714683304266,0.8845796593675919,-1.3763136096916418e-20,-1.5558956111150046e-20,0.11541893638238743,0.8839895994164622,0.000591464201150227,0.8845810636176124,-1.3763158644940272e-20,-1.5558956901760926e-20,30364.811593723123,3.75918151676907e-06,8.932079546033673e-06,7.809933899104717e-09,0.0003189288659059513,-1.5686889038856305e-20,0.0002541126005736838,0.0,0.00025411260085742336,0.0,0.0005374442392240307,0.0,0.0005374442452322681,0.00025195690465654923,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,2.4445563998115114e-20,9.488915431177247e-09,1.0,-4.886576091807717,-5.524169906852452,-4.886568086186782,-5.524169626147986,-4.886576091807957,-5.524169906852461,-5.569591901805197,-1.73385247132022,-0.08710041960785314,0.11812347584505267,0.8845810636175699,3.3306690738754696e-16
dimer,205.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8303304500000003e-21,0.12103591044367758,0.8783522294751169,0.0006118600812056756,0.8789640895563227,-1.3673024057388327e-20,-1.5555839220109777e-20,0.121037277773704,0.8783508551647987,0.0006118670614972375,0.8789627222262959,-1.3673002111135593e-20,-1.5555838450695264e-20,0.12103591044361747,0.8783522294751773,0.0006118600812053862,0.8789640895563827,-1.3673024057389296e-20,-1.5555839220109816e-20,26095.169955762103,3.683108468787375e-06,8.751324636261256e-06,7.651887400527786e-09,0.0002978324959013681,-1.5686889038856305e-20,0.00023757295608738,0.0,0.00023757295638638957,0.0,0.0004987192773320251,0.0,0.0004987192833757575,0.00023547570122151097,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.8086054389782127e-20,1.0700322849999111e-08,1.0,-4.8308931762325935,-5.49612121090305,-4.830885422278374,-5.496120939056873,-4.8308931762329355,-5.496121210903064,-5.542423160820781,-1.7253946543869505,-0.08667553951220508,0.11754726376775973,0.8789640895563222,4.440892098500626e-16
dimer,206.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8441369400000004e-21,0.12682788405908807,0.8725395280598758,0.0006325878810369384,0.8731721159409127,-1.3580161204539138e-20,-1.555267393062069e-20,0.12682921490593924,0.8725381905097156,0.0006325945843451092,0.8731707850940607,-1.3580139852477874e-20,-1.5552673181816292e-20,0.12682788405909778,0.8725395280598653,0.0006325878810369814,0.8731721159409023,-1.358016120453897e-20,-1.5552673930620683e-20,22458.906400859145,3.608880616601097e-06,8.574954041411952e-06,7.497674411221114e-09,0.00027830696588925327,-1.5686889038856305e-20,0.0002222465750428443,0.0,0.00022224657535764515,0.0,0.000463068036274799,0.0,0.0004630680423525104,0.00022020616574526048,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,2.7762349478149186e-20,6.493494453252424e-08,1.0,-4.774791612016803,-5.468328093449919,-4.774784104621163,-5.468327830169911,-4.7747916120167435,-5.468328093449917,-5.51551819402068,-1.7170189521811885,-0.08625478446602933,0.11697664598247935,0.8731721159409119,7.771561172376096e-16
dimer,207.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8579434300000004e-21,0.13279450433519913,0.8665518614759834,0.000653634188816954,0.8672054956648003,-1.3484577861211485e-20,-1.5549460800953758e-20,0.13279579913789902,0.866550560237428,0.000653640624672889,0.8672042008621009,-1.3484557095740838e-20,-1.5549460072190187e-20,0.1327945043351579,0.8665518614760254,0.000653634188816748,0.8672054956648421,-1.3484577861212156e-20,-1.5549460800953782e-20,19357.388092125642,3.5364489789478584e-06,8.402851378563081e-06,7.34719316955926e-09,0.000260222851809285,-1.5686889038856305e-20,0.0002080346873279287,0.0,0.00020803468765904327,0.0,0.000430225471071938,0.0,0.00043022547718212493,0.00020604957104416595,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.7617479826723078e-20,1.3663760345394849e-08,1.0,-4.718280186956494,-5.440786769160702,-4.71827292107767,-5.440786514164903,-4.718280186956728,-5.44078676916071,-5.488873178590628,-1.7087241746344195,-0.0858380946860002,0.11641154141251568,0.8672054956648008,4.440892098500626e-16
dimer,208.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.8717499200000004e-21,0.1389350569737069,0.860389958368648,0.0006749846576454698,0.8610649430262934,-1.3386287474357356e-20,-1.5546199601751287e-20,0.13893631617523128,0.8603886929895364,0.000674990835232483,0.8610636838247688,-1.3386267287827323e-20,-1.55461988924753e-20,0.13893505697357317,0.860389958368782,0.0006749846576447959,0.8610649430264268,-1.3386287474359497e-20,-1.5546199601751365e-20,16708.039908692757,3.465765869781389e-06,8.234903342316481e-06,7.200344604808979e-09,0.0002434623606256541,-1.5686889038856305e-20,0.0001948473217763433,0.0,0.00019484732212429176,0.0,0.00039995111325755574,0.0,0.00039995111939873136,0.0001929159876833801,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.739662081205305e-20,7.967667881025875e-08,1.0,-4.661369495000232,-5.413493526536351,-4.661362465652065,-5.413493279552454,-4.661369495000977,-5.413493526536379,-5.46248436523202,-1.7005091545640616,-0.08542541153847136,0.11585187054034013,0.8610649430262931,3.3306690738754696e-16
dimer,209.0,20.0,0.01,0.5,59.69026041820608,2.4414062499999997e+21,0.0008743690490948155,0.0011658253987930874,2.88555641e-21,0.14524845874538717,0.8540549172254155,0.0006966240291976225,0.8547515412546131,-1.3285309274181227e-20,-1.5542890106616145e-20,0.1452496827935518,0.8540536872490763,0.0006966299573719005,0.8547503172064481,-1.3285289658878737e-20,-1.5542889416290134e-20,0.14524845874542164,0.8540549172253805,0.0006966240291978124,0.8547515412545783,-1.328530927418067e-20,-1.5542890106616127e-20,14441.620798587173,3.3967848708143046e-06,8.07099963955822e-06,7.057032280085121e-09,0.0002279182037727129,-1.5686889038856305e-20,0.0001826024590460327,0.0,0.00018260245941133506,0.0,0.0003720266395636695,0.0,0.0003720266457343619,0.00018072343689602629,0.0,"Neel blocked, Brownian only",0.0,0.0,-4.8834370285786125e-21,-2.453204187515722e-22,19.0,28.516660498395403,74.26542133780454,3.3269759995607215e-22,1.9093837085858433e-20,6.78071583326556e-08,1.0,-4.604071931548629,-5.386444726137288,-4.604065133794677,-5.386444486902314,-4.604071931548436,-5.386444726137282,-5.436348076403159,-1.6923727471259564,-0.0850166775119715,0.11529755537029067,0.8547515412546127,3.3306690738754696e-16
