assembly,temperature_K,state_index,contact,spin1_index,spin2_index,energy_per_NC_J,p_equilibrium,p_window_mean
dimer,200.0,0,free,0,0,0.0,0.0014796248125293497,0.001479649666277516
dimer,200.0,1,free,0,1,0.0,0.0014796248125293497,0.0014796475516695698
dimer,200.0,2,free,0,2,0.0,0.0014796248125293497,0.0014796475516695791
dimer,200.0,3,free,0,3,0.0,0.0014796248125293497,0.0014796459731816953
dimer,200.0,4,free,0,4,0.0,0.0014796248125293497,0.0014796512104343713
dimer,200.0,5,free,0,5,0.0,0.0014796248125293497,0.0014796505452945499
dimer,200.0,6,free,0,6,0.0,0.0014796248125293497,0.0014796505452945568
dimer,200.0,7,free,0,7,0.0,0.0014796248125293497,0.0014796499833365192
dimer,200.0,8,free,1,0,0.0,0.0014796248125293497,0.0014796475516695782
dimer,200.0,9,free,1,1,0.0,0.0014796248125293497,0.0014796496773450522
dimer,200.0,10,free,1,2,0.0,0.0014796248125293497,0.0014796459778790444
dimer,200.0,11,free,1,3,0.0,0.0014796248125293497,0.0014796475517866719
dimer,200.0,12,free,1,4,0.0,0.0014796248125293497,0.0014796505417078985
dimer,200.0,13,free,1,5,0.0,0.0014796248125293497,0.0014796512171510133
dimer,200.0,14,free,1,6,0.0,0.0014796248125293497,0.0014796499830968199
dimer,200.0,15,free,1,7,0.0,0.0014796248125293497,0.0014796505452945683
dimer,200.0,16,free,2,0,0.0,0.0014796248125293497,0.0014796475516696047
dimer,200.0,17,free,2,1,0.0,0.0014796248125293497,0.0014796459778790587
dimer,200.0,18,free,2,2,0.0,0.0014796248125293497,0.0014796496773450763
dimer,200.0,19,free,2,3,0.0,0.0014796248125293497,0.0014796475517866849
dimer,200.0,20,free,2,4,0.0,0.0014796248125293497,0.0014796505417079228
dimer,200.0,21,free,2,5,0.0,0.0014796248125293497,0.00147964998309684
dimer,200.0,22,free,2,6,0.0,0.0014796248125293497,0.001479651217151037
dimer,200.0,23,free,2,7,0.0,0.0014796248125293497,0.0014796505452945934
dimer,200.0,24,free,3,0,0.0,0.0014796248125293497,0.0014796459731817385
dimer,200.0,25,free,3,1,0.0,0.0014796248125293497,0.0014796475517867055
dimer,200.0,26,free,3,2,0.0,0.0014796248125293497,0.0014796475517867085
dimer,200.0,27,free,3,3,0.0,0.0014796248125293497,0.0014796496754607685
dimer,200.0,28,free,3,4,0.0,0.0014796248125293497,0.0014796499800855771
dimer,200.0,29,free,3,5,0.0,0.0014796248125293497,0.001479650541707929
dimer,200.0,30,free,3,6,0.0,0.0014796248125293497,0.0014796505417079353
dimer,200.0,31,free,3,7,0.0,0.0014796248125293497,0.001479651210434432
dimer,200.0,32,free,4,0,0.0,0.0014796248125293497,0.0014796512104344446
dimer,200.0,33,free,4,1,0.0,0.0014796248125293497,0.001479650541707968
