assembly,temperature_K,volume_fraction,escape_length_nm,p_free,p_bound,kBT_J,p_face,p_tip,U_total_per_NC_J,U_total_per_NC_kBT
dimer,120.0,0.0001,0.5,0.005428384816540331,0.9945716151834597,1.6567788e-21,0.9945684837162405,3.131467219122579e-06,-1.5597259414163193e-20,-9.41420750565084
dimer,122.0,0.0001,0.5,0.007389125166056841,0.9926108748339432,1.68439178e-21,0.9926070531176102,3.821716332930388e-06,-1.5565882130902053e-20,-9.241247977891494
dimer,124.0,0.0001,0.5,0.009951683607392469,0.9900483163926075,1.71200476e-21,0.9900436823302591,4.634062348519117e-06,-1.5525006308856292e-20,-9.068319593256442
dimer,126.0,0.0001,0.5,0.013265398584110917,0.9867346014158891,1.73961774e-21,0.9867290178248433,5.583591045751815e-06,-1.547228823032521e-20,-8.894073608564838
dimer,128.0,0.0001,0.5,0.01750561228389925,0.9824943877161008,1.76723072e-21,0.9824877020029378,6.685713163043161e-06,-1.5404977223495682e-20,-8.717015299222323
dimer,130.0,0.0001,0.5,0.022874639459565915,0.9771253605404341,1.7948437e-21,0.9771174048779778,7.95566245632622e-06,-1.5319900738143863e-20,-8.53550687346417
dimer,132.0,0.0001,0.5,0.029601334361031274,0.9703986656389687,1.82245668e-21,0.970389257820365,9.407818603727205e-06,-1.5213471447525663e-20,-8.347782207654813
dimer,134.0,0.0001,0.5,0.03793866653110872,0.9620613334688912,1.8500696600000002e-21,0.9620502786336314,1.1054835259963741e-05,-1.508172560826979e-20,-8.151977157589725
dimer,136.0,0.0001,0.5,0.04815865862777849,0.9518413413722215,1.8776826400000002e-21,0.951828434804516,1.2906567705478977e-05,-1.4920402804031285e-20,-7.946179235076319
dimer,138.0,0.0001,0.5,0.060544056928543734,0.9394559430714564,1.9052956200000002e-21,0.9394409742531438,1.4968818312685457e-05,-1.4725076912684558e-20,-7.728499849637274
dimer,140.0,0.0001,0.5,0.0753762450353039,0.9246237549646961,1.9329086000000003e-21,0.9246065130120066,1.7241952689547907e-05,-1.449134593032965e-20,-7.497170807936623
dimer,142.0,0.0001,0.5,0.09291922146657271,0.9070807785334273,1.9605215800000003e-21,0.9070610590495396,1.9719483887681828e-05,-1.4215083408720012e-20,-7.250664085380794
dimer,144.0,0.0001,0.5,0.11339997426857093,0.886600025731429,1.9881345600000003e-21,0.8865776389595731,2.238677185591398e-05,-1.389274621796315e-20,-6.987829947467513
dimer,146.0,0.0001,0.5,0.13698629217039396,0.8630137078296061,2.01574754e-21,0.8629884877986457,2.5220030960327915e-05,-1.3521722268640815e-20,-6.708043542318209
dimer,148.0,0.0001,0.5,0.16376387698672867,0.8362361230132713,2.04336052e-21,0.8362079371475597,2.8185865711576514e-05,-1.310068890033735e-20,-6.411344827361816
dimer,150.0,0.0001,0.5,0.1937154075146802,0.8062845924853198,2.0709735e-21,0.8062533509381136,3.124154720624756e-05,-1.2629940354556826e-20,-6.098552373826525
dimer,152.0,0.0001,0.5,0.22670472032749361,0.7732952796725062,2.09858648e-21,0.7732609434863368,3.433618616944819e-05,-1.2111634717336601e-20,-5.771329813073322
dimer,154.0,0.0001,0.5,0.2624692669378275,0.7375307330621724,2.12619946e-21,0.737493320213619,3.7412848553513696e-05,-1.1549910865893689e-20,-5.43218596523098
dimer,156.0,0.0001,0.5,0.30062330096479006,0.6993766990352099,2.15381244e-21,0.6993362875269226,4.041150828728526e-05,-1.0950837076643077e-20,-5.084396799492474
dimer,158.0,0.0001,0.5,0.34067283870897574,0.6593271612910242,2.18142542e-21,0.659283888722017,4.327256900715452e-05,-1.0322175103682964e-20,-4.731848730213735
dimer,160.0,0.0001,0.5,0.38204155300414555,0.6179584469958546,2.2090384e-21,0.6179125064411859,4.594055466861357e-05,-9.67297307950185e-21,-4.378816176079986
dimer,162.0,0.0001,0.5,0.4241048401297374,0.5758951598702625,2.23665138e-21,0.575846792361608,4.836750865452392e-05,-9.013030667586797e-21,-4.029698480586097
dimer,164.0,0.0001,0.5,0.46622785286323676,0.5337721471367632,2.2642643600000002e-21,0.5337216314612724,5.051567549078369e-05,-8.352302518185673e-21,-3.6887488341624883
dimer,166.0,0.0001,0.5,0.507802715396313,0.49219728460368695,2.2918773400000002e-21,0.49214492544059857,5.235916308839693e-05,-7.700315050009983e-21,-3.359828606713299
dimer,168.0,0.0001,0.5,0.5482805571963774,0.4517194428036227,2.3194903200000002e-21,0.45166555834033745,5.388446328526088e-05,-7.065664894821098e-21,-3.0462144350837805
dimer,170.0,0.0001,0.5,0.5871952452300779,0.41280475476992207,2.3471033000000003e-21,0.4127496648739777,5.5089895944376076e-05,-6.455647804766588e-21,-2.750474512462484
dimer,172.0,0.0001,0.5,0.6241773606031896,0.3758226393968103,2.3747162800000003e-21,0.37576665520525454,5.598419155575576e-05,-5.876040664768676e-21,-2.4744179817425076
dimer,174.0,0.0001,0.5,0.658958604849425,0.34104139515057497,2.4023292600000003e-21,0.34098481063906755,5.6584511507399885e-05,-5.331033557944767e-21,-2.219110280472031
dimer,176.0,0.0001,0.5,0.6913680811768548,0.3086319188231451,2.42994224e-21,0.3085750046037553,5.691421938978431e-05,-4.8232891060749505e-21,-1.984939817365762
dimer,178.0,0.0001,0.5,0.7213226085654879,0.27867739143451215,2.45755522e-21,0.2786203907592494,5.70006752627485e-05,-4.3540951772518616e-21,-1.7717181456666766
dimer,180.0,0.0001,0.5,0.7488134036584189,0.25118659634158114,2.4851682e-21,0.2511297230900588,5.6873251522359095e-05,-3.9235743197915864e-21,-1.5787962842078804
dimer,182.0,0.0001,0.5,0.7738912383514277,0.22610876164857224,2.51278118e-21,0.22605219996110612,5.656168746610139e-05,-3.5309168761271886e-21,-1.4051827927679674
dimer,184.0,0.0001,0.5,0.7966517244740733,0.20334827552592677,2.54039416e-21,0.20329218069875005,5.609482717671498e-05,-3.1746119114122685e-21,-1.2496532866428367
dimer,186.0,0.0001,0.5,0.8172218490770434,0.18277815092295646,2.56800714e-21,0.18272265119194117,5.5499731015300476e-05,-2.852658380073249e-21,-1.1108451902798249
dimer,188.0,0.0001,0.5,0.8357483956038996,0.16425160439610054,2.59562012e-21,0.16419680327925026,5.480111685027333e-05,-2.5627466113869476e-21,-0.9873350077849402
