assembly,volume_fraction,window_s,temperature_K,encounter_time_s,p_bound_window,p_bound_end,p_bound_eq,U_total_per_NC_window_kBT,U_total_per_NC_eq_kBT
dimer,0.0001,1e-06,200.0,0.0009701381309642894,0.0002389800225788093,0.0004308981322213197,0.08725903542294265,-0.0008514035673677996,-0.4920536021706211
dimer,0.0001,1e-06,250.0,0.00038049307596851824,0.00042272243797121067,0.0007388113351631789,0.010042991855956031,-0.0014306912649429584,-0.04470147146945309
dimer,0.0001,1e-06,300.0,0.00018038802016540214,0.000540120290478101,0.0008988686432628185,0.002329011272985338,-0.0017294259323650922,-0.008445155279638565
dimer,0.0001,0.001,200.0,0.0009701381309642894,0.06176049840392568,0.08399301051092903,0.08725903542294265,-0.34775278913754765,-0.4920536021706211
dimer,0.0001,0.001,250.0,0.00038049307596851824,0.009859932654469692,0.010042991855958637,0.010042991855956031,-0.04387396233630234,-0.04470147146945309
dimer,0.0001,0.001,300.0,0.00018038802016540214,0.002323797535763223,0.002329011272985638,0.002329011272985338,-0.008425532773351306,-0.008445155279638565
dimer,0.0001,1.0,200.0,0.0009701381309642894,0.0872325416511479,0.08725903542299795,0.08725903542294265,-0.4919036690025183,-0.4920536021706211
dimer,0.0001,1.0,250.0,0.00038049307596851824,0.010042808796763919,0.01004299185597438,0.010042991855956031,-0.04470064396036232,-0.04470147146945309
dimer,0.0001,1.0,300.0,0.00018038802016540214,0.0023290060592481092,0.002329011272985317,0.002329011272985338,-0.008445135657132256,-0.008445155279638565
dimer,0.0001,20.0,200.0,0.0009701381309642894,0.0872577107346682,0.08725903542343895,0.08725903542294265,-0.4920461055140003,-0.4920536021706211
dimer,0.0001,20.0,250.0,0.00038049307596851824,0.010042982702999467,0.010042991855963305,0.010042991855956031,-0.04470143009401231,-0.04470147146945309
dimer,0.0001,20.0,300.0,0.00018038802016540214,0.002329011012298503,0.0023290112729855428,0.002329011272985338,-0.00844515429851335,-0.008445155279638565
dimer,0.0001,150.0,200.0,0.0009701381309642894,0.08725885879783117,0.08725903542306487,0.08725903542294265,-0.4920526026163584,-0.4920536021706211
dimer,0.0001,150.0,250.0,0.00038049307596851824,0.010042990635555164,0.010042991855946046,0.010042991855956031,-0.044701465952697556,-0.04470147146945309
dimer,0.0001,150.0,300.0,0.00018038802016540214,0.0023290112382271474,0.0023290112729855953,0.002329011272985338,-0.008445155148822072,-0.008445155279638565
dimer,0.01,1e-06,200.0,9.701381309642892e-06,0.02315975411952035,0.041139502162218726,0.9053040119981218,-0.08238854720861159,-5.105008300906208
dimer,0.01,1e-06,250.0,3.8049307596851824e-06,0.03980182473133168,0.06785479498888149,0.503595871357096,-0.13432466732293072,-2.2415109758605545
dimer,0.01,1e-06,300.0,1.8038802016540213e-06,0.049709850048642555,0.0804915003556107,0.18926247740014465,-0.15844454636718347,-0.6862787779487783
dimer,0.01,0.001,200.0,9.701381309642892e-06,0.8741782427367745,0.9053040119957045,0.9053040119981218,-4.923709321786319,-5.105008300906208
dimer,0.01,0.001,250.0,3.8049307596851824e-06,0.4985677596900323,0.5035958713570575,0.503595871357096,-2.218450028269565,-2.2415109758605545
dimer,0.01,0.001,300.0,1.8038802016540213e-06,0.18888278660612348,0.18926247740016913,0.18926247740014465,-0.6848383869379302,-0.6862787779487783
dimer,0.01,1.0,200.0,9.701381309642892e-06,0.905272886228906,0.9053040119981368,0.9053040119981218,-5.10482700192735,-5.105008300906208
dimer,0.01,1.0,250.0,3.8049307596851824e-06,0.5035908432454668,0.5035958713572634,0.503595871357096,-2.241487914913136,-2.2415109758605545
dimer,0.01,1.0,300.0,1.8038802016540213e-06,0.18926209770935623,0.18926247740014926,0.18926247740014465,-0.6862773375577885,-0.6862787779487783
dimer,0.01,20.0,200.0,9.701381309642892e-06,0.9053024557096464,0.90530401199819,0.9053040119981218,-5.104999235957179,-5.105008300906208
dimer,0.01,20.0,250.0,3.8049307596851824e-06,0.503595619951506,0.5035958713571017,0.503595871357096,-2.241509822813144,-2.2415109758605545
dimer,0.01,20.0,300.0,1.8038802016540213e-06,0.18926245841560366,0.18926247740015065,0.18926247740014465,-0.6862787059292227,-0.6862787779487783
dimer,0.01,150.0,200.0,9.701381309642892e-06,0.9053038044929379,0.9053040119981116,0.9053040119981218,-5.105007092246025,-5.105008300906208
dimer,0.01,150.0,250.0,3.8049307596851824e-06,0.5035958378362657,0.5035958713570086,0.503595871357096,-2.241510822120509,-2.2415109758605545
dimer,0.01,150.0,300.0,1.8038802016540213e-06,0.18926247486886255,0.18926247740013472,0.18926247740014465,-0.6862787683461333,-0.6862787779487783
superlattice,0.0001,1e-06,200.0,0.0009701381309642894,0.0006162644081826895,0.0011887188002280002,0.999999998560953,-0.00771551999320693,-34.08588587984847
superlattice,0.0001,1e-06,250.0,0.00038049307596851824,0.0011035300029466314,0.001906582451145036,0.999998685591837,-0.014041887300800273,-27.26844866798774
superlattice,0.0001,1e-06,300.0,0.00018038802016540214,0.001536887249340019,0.0027615858991193697,0.9998762912036497,-0.02244278828932145,-22.719761160749115
superlattice,0.0001,0.001,200.0,0.0009701381309642894,0.21017511691804686,0.3867568312857823,0.999999998560953,-6.786281150663795,-34.08588587984847
superlattice,0.0001,0.001,250.0,0.00038049307596851824,0.4077028600882474,0.6825796268918864,0.999998685591837,-10.63264896129723,-27.26844866798774
superlattice,0.0001,0.001,300.0,0.00018038802016540214,0.5961538903334413,0.8807816183418665,0.9998762912036497,-13.375928213924828,-22.719761160749115
superlattice,0.0001,1.0,200.0,0.0009701381309642894,0.9977620503945644,0.9999708402634324,0.999999998560953,-33.549548879582495,-34.08588587984847
superlattice,0.0001,1.0,250.0,0.00038049307596851824,0.9990542936443267,0.999998685591837,0.999998685591837,-27.23764132218686,-27.26844866798774
superlattice,0.0001,1.0,300.0,0.00018038802016540214,0.9994142626546474,0.9998762912036463,0.9998762912036497,-22.70905260607729,-22.719761160749115
superlattice,0.0001,20.0,200.0,0.0009701381309642894,0.9998876207910645,0.9999999985609517,0.999999998560953,-34.05788388554994,-34.08588587984847
superlattice,0.0001,20.0,250.0,0.00038049307596851824,0.9999514659931664,0.9999986855918369,0.999998685591837,-27.266908300655455,-27.26844866798774
superlattice,0.0001,20.0,300.0,0.00018038802016540214,0.9998531897758023,0.9998762912036512,0.9998762912036497,-22.719225733006308,-22.719761160749115
superlattice,0.0001,150.0,200.0,0.0009701381309642894,0.999985014858312,0.9999999985609517,0.999999998560953,-34.08215228061115,-34.08588587984847
superlattice,0.0001,150.0,250.0,0.00038049307596851824,0.9999923896480841,0.9999986855918367,0.999998685591837,-27.268243285766037,-27.26844866798774
superlattice,0.0001,150.0,300.0,0.00018038802016540214,0.999873211013953,0.9998762912036518,0.9998762912036497,-22.719689770399235,-22.719761160749115
superlattice,0.01,1e-06,200.0,9.701381309642892e-06,0.05827441527757522,0.1094522295823664,0.999999999985609,-0.7306940316879386,-34.085885928409134
superlattice,0.01,1e-06,250.0,3.8049307596851824e-06,0.099228269331774,0.1639962631876352,0.9999999868559005,-1.2631460983205614,-27.268484151486696
superlattice,0.01,1e-06,300.0,1.8038802016540213e-06,0.13187123524295835,0.22308460506485284,0.9999987627605088,-1.923930902932582,-22.722544029535285
superlattice,0.01,0.001,200.0,9.701381309642892e-06,0.9773024718238662,0.9999951386782654,0.999999999985609,-31.820689729265677,-34.085885928409134
superlattice,0.01,0.001,250.0,3.8049307596851824e-06,0.9903426381876975,0.9998474652854543,0.9999999868559005,-25.943879240702667,-27.268484151486696
superlattice,0.01,0.001,300.0,1.8038802016540213e-06,0.9949046882449462,0.9999742055573664,0.9999987627605088,-22.377263048605045,-22.722544029535285
superlattice,0.01,1.0,200.0,9.701381309642892e-06,0.9999755713532238,0.9999996375639517,0.999999999985609,-33.613536853698065,-34.085885928409134
superlattice,0.01,1.0,250.0,3.8049307596851824e-06,0.9999896064393227,0.9999999868559013,0.9999999868559005,-27.262694874564858,-27.268484151486696
superlattice,0.01,1.0,300.0,1.8038802016540213e-06,0.999993663195261,0.9999987627605097,0.9999987627605088,-22.722196005968748,-22.722544029535285
superlattice,0.01,20.0,200.0,9.701381309642892e-06,0.9999987715811938,0.9999999999856095,0.999999999985609,-34.06037502005414,-34.085885928409134
superlattice,0.01,20.0,250.0,3.8049307596851824e-06,0.9999994678349956,0.9999999868559013,0.9999999868559005,-27.268194687597802,-27.268484151486696
superlattice,0.01,20.0,300.0,1.8038802016540213e-06,0.9999985077822042,0.9999987627605095,0.9999987627605088,-22.722526628354043,-22.722544029535285
superlattice,0.01,150.0,200.0,9.701381309642892e-06,0.9999998361983463,0.9999999999856095,0.999999999985609,-34.0824844738007,-34.085885928409134
superlattice,0.01,150.0,250.0,3.8049307596851824e-06,0.9999999176530929,0.9999999868559012,0.9999999868559005,-27.268445556289873,-27.268484151486696
superlattice,0.01,150.0,300.0,1.8038802016540213e-06,0.999998728763349,0.9999987627605097,0.9999987627605088,-22.72254170937417,-22.722544029535285
