temperature_K,face_twist_halfwidth_deg,delta_Fmag_before_rotation_kBT,delta_Frotation_kBT,delta_Fmag_after_rotation_kBT,delta_Fcontact_after_rotation_kBT,delta_Fmag_before_rotation_J,delta_Frotation_J,delta_Fmag_after_rotation_J,delta_Fcontact_after_rotation_J
200.0,1.0,0.09896967234026066,-8.1886891244442,-8.089719452103939,-6.410032359357324,2.732847582938171e-22,-2.2611410901949525e-20,-2.2338126143655705e-20,-1.770000953382866e-20
201.0,1.0,0.11205882128475952,-8.1886891244442,-8.076630303159442,-6.405299862615548,3.1097493809144375e-22,-2.2724467956459274e-20,-2.241349301836783e-20,-1.777537640854079e-20
202.0,1.0,0.1266763945653513,-8.1886891244442,-8.06201272987885,-6.398956202406955,3.5328918771012057e-22,-2.283752501096902e-20,-2.24842358232589e-20,-1.784611921343186e-20
203.0,1.0,0.1429698273279525,-8.1886891244442,-8.04571929711625,-6.390855166331409,4.007040327349359e-22,-2.295058206547877e-20,-2.2549878032743837e-20,-1.7911761422916798e-20
204.0,1.0,0.16109578945038328,-8.1886891244442,-8.027593334993817,-6.380841283281452,4.537301508421197e-22,-2.3063639119988516e-20,-2.2609908969146395e-20,-1.797179235931936e-20
205.0,1.0,0.1812198739609303,-8.1886891244442,-8.00746925048327,-6.368750135608526,5.129121274167832e-22,-2.3176696174498262e-20,-2.266378404708148e-20,-1.8025667437254443e-20
206.0,1.0,0.20351607706816988,-8.1886891244442,-7.985173047376032,-6.354408879660873,5.788275926734689e-22,-2.3289753229008012e-20,-2.2710925636334545e-20,-1.8072809026507505e-20
207.0,1.0,0.22816603883069986,-8.1886891244442,-7.9605230856135005,-6.337637005665082,6.520856316253236e-22,-2.3402810283517758e-20,-2.2750724651892436e-20,-1.8112608042065396e-20
208.0,1.0,0.25535801422436966,-8.1886891244442,-7.9333311102198305,-6.318247367194239,7.333243569201925e-22,-2.3515867338027507e-20,-2.2782542981107313e-20,-1.8144426371280268e-20
209.0,1.0,0.2852855464576465,-8.1886891244442,-7.903403577986554,-6.296047508372567,8.232075372612146e-22,-2.362892439253725e-20,-2.2805716855276036e-20,-1.8167600245448988e-20
210.0,1.0,0.318145818496663,-8.1886891244442,-7.870543305947539,-6.270841312855527,9.224201829393585e-22,-2.3741981447047e-20,-2.2819561264107643e-20,-1.818144465428061e-20
211.0,1.0,0.3541376650734265,-8.1886891244442,-7.8345514593707755,-6.242430992312375,1.031663005737978e-21,-2.3855038501556746e-20,-2.2823375495818773e-20,-1.8185258885991737e-20
212.0,1.0,0.39345923633691493,-8.1886891244442,-7.795229888107286,-6.210619423251991,1.1516456945213695e-21,-2.3968095556066495e-20,-2.2816449861545125e-20,-1.817833325171809e-20
213.0,1.0,0.43630531598929645,-8.1886891244442,-7.752383808454903,-6.1752128293501,1.2830789811986022e-21,-2.408115261057624e-20,-2.2798073629377637e-20,-1.8159957019550592e-20
214.0,1.0,0.4828643112286004,-8.1886891244442,-7.7058248132155995,-6.136023791957081,1.4266655148475957e-21,-2.419420966508599e-20,-2.2767544150238392e-20,-1.812942754041135e-20
215.0,1.0,0.5333149489118518,-8.1886891244442,-7.65537417553235,-6.092874554372708,1.5830896144354286e-21,-2.4307266719595737e-20,-2.272417710516031e-20,-1.808606049533327e-20
216.0,1.0,0.5878227315927025,-8.1886891244442,-7.600866392851499,-6.045600566234262,1.7530060317495835e-21,-2.4420323774105486e-20,-2.2667317742355902e-20,-1.8029201132528857e-20
217.0,1.0,0.6465362274883555,-8.1886891244442,-7.5421528969558445,-5.994054193963574,1.937027923201888e-21,-2.4533380828615232e-20,-2.259635290541334e-20,-1.7958236295586305e-20
218.0,1.0,0.7095832886713445,-8.1886891244442,-7.479105835772858,-5.938108502977798,2.1357142982673506e-21,-2.4646437883124982e-20,-2.2510723584857633e-20,-1.787260697503059e-20
219.0,1.0,0.7770673099248084,-8.1886891244442,-7.411621814519393,-5.8776609992256805,2.3495572775930255e-21,-2.4759494937634728e-20,-2.2409937660041703e-20,-1.777182105021466e-20
220.0,1.0,0.8490636544521522,-8.1886891244442,-7.339625469992047,-5.8126372038587615,2.578969548002561e-21,-2.4872551992144477e-20,-2.229358244414191e-20,-1.765546583431487e-20
221.0,1.0,0.9256163792234757,-8.1886891244442,-7.263072745220725,-5.742993928255462,2.8242724356723127e-21,-2.4985609046654223e-20,-2.2161336610981913e-20,-1.7523220001154868e-20
222.0,1.0,1.0067353894841502,-8.1886891244442,-7.18195373496005,-5.66872211987301,3.085685023438104e-21,-2.5098666101163973e-20,-2.2012981077725867e-20,-1.7374864467898825e-20
223.0,1.0,1.0923941363272012,-8.1886891244442,-7.096294988116998,-5.589849165025866,3.363314704395011e-21,-2.521172315567372e-20,-2.1848408451278703e-20,-1.7210291841451667e-20
224.0,1.0,1.1825279416402372,-8.1886891244442,-7.006161182803963,-5.506440564280199,3.657149485018741e-21,-2.5324780210183468e-20,-2.1667630725164723e-20,-1.702951411533768e-20
225.0,1.0,1.277032991190296,-8.1886891244442,-6.911656133253903,-5.418600939701355,3.967052225071255e-21,-2.5437837264693214e-20,-2.1470785039621953e-20,-1.6832668429794905e-20
226.0,1.0,1.375765981143782,-8.1886891244442,-6.812923143300418,-5.326474388657397,4.29275683298641e-21,-2.5550894319202964e-20,-2.125813748621655e-20,-1.6620020876389512e-20
227.0,1.0,1.4785443408685741,-8.1886891244442,-6.710144783575625,-5.230244261331912,4.633866238084193e-21,-2.566395137371271e-20,-2.1030085135628514e-20,-1.6391968525801468e-20
228.0,1.0,1.585146893301636,-8.1886891244442,-6.603542231142564,-5.130132500663079,4.989851758645224e-21,-2.577700842822246e-20,-2.078715666957723e-20,-1.6149040059750194e-20
229.0,1.0,1.6953147638071138,-8.1886891244442,-6.4933743606370875,-5.0263987337841485,5.360053310338359e-21,-2.5890065482732206e-20,-2.0530012172393847e-20,-1.5891895562566805e-20
230.0,1.0,1.8087523211792234,-8.1886891244442,-6.379936803264979,-4.919339331311402,5.74367979201268e-21,-2.6003122537241955e-20,-2.025944274522928e-20,-1.562132613540224e-20
231.0,1.0,1.9251279412622306,-8.1886891244442,-6.26356118318197,-4.809286644007411,6.1398089837140005e-21,-2.61161795917517e-20,-1.9976370608037702e-20,-1.5338253998210657e-20
232.0,1.0,2.0440744322340425,-8.1886891244442,-6.144614692210158,-4.6966085777734214,6.547386424231637e-21,-2.622923664626145e-20,-1.9681850222029812e-20,-1.504373361220277e-20
233.0,1.0,2.1651890518855432,-8.1886891244442,-6.023500072558658,-4.5817085766388175,6.965223011361367e-21,-2.6342293700771197e-20,-1.937707068940983e-20,-1.4738954079582792e-20
234.0,1.0,2.288033173155197,-8.1886891244442,-5.900655951289005,-4.465025957488482,7.391991467211506e-21,-2.6455350755280946e-20,-1.906335928806944e-20,-1.4425242678242408e-20
235.0,1.0,2.4121317967405522,-8.1886891244442,-5.776557327703648,-4.347036397706528,7.826222279639411e-21,-2.6568407809790692e-20,-1.874218553015128e-20,-1.4104068920324234e-20
236.0,1.0,2.53697324265126,-8.1886891244442,-5.6517158817929385,-4.2282522438720775,8.266300186364e-21,-2.668146486430044e-20,-1.8415164677936433e-20,-1.3777048068109387e-20
237.0,1.0,2.662009446778131,-8.1886891244442,-5.5266796776660705,-4.109222215432641,8.710462613222928e-21,-2.6794521918810188e-20,-1.808405930558726e-20,-1.3445942695760221e-20
238.0,1.0,2.786657319030235,-8.1886891244442,-5.402031805413966,-3.990530046803366,9.156801625251026e-21,-2.6907578973319934e-20,-1.775077734806891e-20,-1.3112660738241871e-20
239.0,1.0,2.9103015742493406,-8.1886891244442,-5.278387550194861,-3.8727916566830505,9.60327085006401e-21,-2.7020636027829683e-20,-1.7417365177765674e-20,-1.2779248567938636e-20
240.0,1.0,3.0322993327894814,-8.1886891244442,-5.156389791654718,-3.7566505476992056,1.0047698499639516e-20,-2.7133693082339426e-20,-1.7085994582699907e-20,-1.2447877972872865e-20
241.0,1.0,3.151986630684031,-8.1886891244442,-5.036702493760169,-3.642771296460074,1.0487807127098138e-20,-2.724675013684917e-20,-1.6758943009751033e-20,-1.2120826399923994e-20
242.0,1.0,3.268686818666084,-8.1886891244442,-4.920002305778118,-3.5318311547478576,1.0921240233760916e-20,-2.7359807191358925e-20,-1.6438566957598012e-20,-1.1800450347770969e-20
243.0,1.0,3.381720703290912,-8.1886891244442,-4.806968421153288,-3.424509908604634,1.1345595416685283e-20,-2.747286424586867e-20,-1.6127268829183384e-20,-1.1489152219356342e-20
244.0,1.0,3.4904182151878875,-8.1886891244442,-4.698270909256312,-3.3214782102836775,1.1758463500849498e-20,-2.758592130037842e-20,-1.5827457799528916e-20,-1.1189341189701875e-20
245.0,1.0,3.59413137667618,-8.1886891244442,-4.594557747768022,-3.22338461083201,1.215747303313765e-20,-2.7698978354888164e-20,-1.554150532175052e-20,-1.090338871192348e-20
246.0,1.0,3.6922483545954403,-8.1886891244442,-4.496440769848762,-3.1308415074531393,1.2540339536368647e-20,-2.7812035409397916e-20,-1.5271695873029273e-20,-1.0633579263202227e-20
247.0,1.0,3.7842083763705574,-8.1886891244442,-4.404480748073643,-3.0444102276310403,1.2904918871250257e-20,-2.792509246390766e-20,-1.5020173592657407e-20,-1.0382056982830364e-20
248.0,1.0,3.869517207537398,-8.1886891244442,-4.319171916906802,-2.9645855517885646,1.3249263756411867e-20,-2.803814951841741e-20,-1.4788885762005538e-20,-1.0150769152178499e-20
249.0,1.0,3.947762705521506,-8.1886891244442,-4.240926418922697,-2.8917801596884676,1.357168183272275e-20,-2.815120657292716e-20,-1.457952474020442e-20,-9.941408130377372e-21
250.0,1.0,4.0186296856256485,-8.1886891244442,-4.170059438818553,-2.8263097646212625,1.3870792642073415e-20,-2.8264263627436907e-20,-1.439347098536349e-20,-9.755354375536454e-21
251.0,1.0,4.081913018130039,-8.1886891244442,-4.106776106314161,-2.768380016476222,1.4145579707686233e-20,-2.8377320681946653e-20,-1.4231740974260417e-20,-9.593624364433378e-21
252.0,1.0,4.137527616850647,-8.1886891244442,-4.051161507593553,-2.7180765133502085,1.439543288402662e-20,-2.84903777364564e-20,-1.4094944852429782e-20,-9.45682824260274e-21
253.0,1.0,4.1855138910583225,-8.1886891244442,-4.003175233385878,-2.675359349791716,1.462017568748473e-20,-2.860343479096615e-20,-1.398325910348142e-20,-9.345142493654375e-21
254.0,1.0,4.226037410640279,-8.1886891244442,-3.962651713803922,-2.6400634517987154,1.4820072785406252e-20,-2.87164918454759e-20,-1.3896419060069646e-20,-9.25830245024261e-21
255.0,1.0,4.259382026025142,-8.1886891244442,-3.9293070984190592,-2.611905457049165,1.4995814413866445e-20,-2.8829548899985644e-20,-1.38337344861192e-20,-9.195617876292157e-21
256.0,1.0,4.285936453827304,-8.1886891244442,-3.902752670616895,-2.590497129408602,1.514847713034295e-20,-2.894260595449539e-20,-1.3794128824152438e-20,-9.156012214325395e-21
257.0,1.0,4.306175246447317,-8.1886891244442,-3.8825138779968835,-2.5753643894781177,1.527946352792886e-20,-2.9055663009005137e-20,-1.3776199481076273e-20,-9.138082871249235e-21
258.0,1.0,4.320635883220092,-8.1886891244442,-3.868053241224109,-2.5659702235910746,1.5390426557752397e-20,-2.916872006351489e-20,-1.377829350576249e-20,-9.140176895935449e-21
259.0,1.0,4.329894216777069,-8.1886891244442,-3.858794907667132,-2.561739237592528,1.548318607209252e-20,-2.928177711802463e-20,-1.379859104593211e-20,-9.160474436105075e-21
260.0,1.0,4.334540547780703,-8.1886891244442,-3.8541485766634977,-2.5620815822430245,1.555964558915749e-20,-2.939483417253438e-20,-1.3835188583376892e-20,-9.19707197354985e-21
261.0,1.0,4.33515822877358,-8.1886891244442,-3.8535308956706196,-2.5664143495046314,1.5621716189568817e-20,-2.950789122704413e-20,-1.3886175037475304e-20,-9.248058427648264e-21
262.0,1.0,4.33230610579585,-8.1886891244442,-3.8563830186483514,-2.5741791310555158,1.567125252277165e-20,-2.962094828155388e-20,-1.394969575878223e-20,-9.311579148955187e-21
263.0,1.0,4.326505490277669,-8.1886891244442,-3.8621836341665308,-2.5848550465265188,1.5710003808839964e-20,-2.973400533606362e-20,-1.4024001527223656e-20,-9.385884917396611e-21
264.0,1.0,4.318231760898159,-8.1886891244442,-3.870457363546043,-2.5979671417683043,1.5739580636874027e-20,-2.984706239057337e-20,-1.4107481753699352e-20,-9.469365143872307e-21
265.0,1.0,4.307910096277892,-8.1886891244442,-3.880779028166307,-2.61309065628207,1.5761436181267334e-20,-2.996011944508312e-20,-1.4198683263815776e-20,-9.560566653988737e-21
266.0,1.0,4.29591439047256,-8.1886891244442,-3.89277473397164,-2.629852107846366,1.5776858753395522e-20,-3.007317649959287e-20,-1.4296317746197343e-20,-9.658201136370301e-21
267.0,1.0,4.282568345948742,-8.1886891244442,-3.906120778495458,-2.6479281996590434,1.5786972290389646e-20,-3.018623355410261e-20,-1.4399261263712965e-20,-9.761144653885926e-21
268.0,1.0,4.268148009642747,-8.1886891244442,-3.9205411148014537,-2.6670432843935323,1.5792742274058868e-20,-3.0299290608612364e-20,-1.4506548334553495e-20,-9.868431724726452e-21
269.0,1.0,4.252885319004372,-8.1886891244442,-3.9358038054398286,-2.686965818267625,1.57949856109268e-20,-3.041234766312211e-20,-1.4617362052195306e-20,-9.979245442368267e-21
270.0,1.0,4.236972378393917,-8.1886891244442,-3.951716746050284,-2.707504084756497,1.5794383528594396e-20,-3.052540471763186e-20,-1.4731021189037464e-20,-1.0092904579210427e-20
271.0,1.0,4.220566212438949,-8.1886891244442,-3.968122912005253,-2.728501441343546,1.5791496610927957e-20,-3.06384617721416e-20,-1.484696516121365e-20,-1.0208848551386615e-20
272.0,1.0,4.203793723357976,-8.1886891244442,-3.9848954010862254,-2.7498313623019506,1.578678099298047e-20,-3.0751518826651355e-20,-1.4964737833670886e-20,-1.0326621223843847e-20
273.0,1.0,4.186756566946456,-8.1886891244442,-4.001932557497746,-2.7713925628115827,1.5780604659996696e-20,-3.08645758811611e-20,-1.5083971221164405e-20,-1.044585461133737e-20
274.0,1.0,4.169535684642899,-8.1886891244442,-4.019153439801302,-2.7931044669935545,1.5773262849298304e-20,-3.097763293567085e-20,-1.5204370086372546e-20,-1.0566253476545506e-20
275.0,1.0,4.152195293138988,-8.1886891244442,-4.036493831305213,-2.814903218398584,1.576499176801189e-20,-3.1090689990180593e-20,-1.5325698222168708e-20,-1.0687581612341663e-20
276.0,1.0,4.134786224759423,-8.1886891244442,-4.053902899684779,-2.836738339723464,1.575598016734093e-20,-3.1203747044690346e-20,-1.544776687734942e-20,-1.0809650267522378e-20
277.0,1.0,4.117348607648729,-8.1886891244442,-4.071340516795473,-2.8585700527184965,1.5746378668710463e-20,-3.131680409920009e-20,-1.5570425430489635e-20,-1.0932308820662599e-20
278.0,1.0,4.0999139522914785,-8.1886891244442,-4.088775172152721,-2.8803671917594738,1.5736307033322032e-20,-3.142986115370984e-20,-1.56935541203878e-20,-1.1055437510560762e-20
279.0,1.0,4.0825067570226485,-8.1886891244442,-4.106182367421551,-2.902105598427564,1.572585975169861e-20,-3.1542918208219584e-20,-1.5817058456520973e-20,-1.1178941846693937e-20
280.0,1.0,4.065145758390936,-8.1886891244442,-4.123543366053266,-2.923766871234255,1.5715110393294728e-20,-3.1655975262729337e-20,-1.5940864869434612e-20,-1.130274825960757e-20
281.0,1.0,4.047844939552126,-8.1886891244442,-4.1408441848920745,-2.945337357314413,1.570411512093305e-20,-3.1769032317239083e-20,-1.6064917196306034e-20,-1.1426800586478992e-20
282.0,1.0,4.030614382182441,-8.1886891244442,-4.1580747422617605,-2.9668073005974964,1.5692915679531174e-20,-3.188208937174883e-20,-1.618917369221766e-20,-1.1551057082390626e-20
283.0,1.0,4.013461015428569,-8.1886891244442,-4.175228109015633,-2.988170092940287,1.5681542053097942e-20,-3.1995146426258576e-20,-1.631360437316064e-20,-1.1675487763333598e-20
284.0,1.0,3.996389287235915,-8.1886891244442,-4.192299837208285,-3.0094216028796836,1.5670014879413662e-20,-3.210820348076833e-20,-1.6438188601354663e-20,-1.1800071991527622e-20
285.0,1.0,3.9794017635421928,-8.1886891244442,-4.2092873609020085,-3.030559576518421,1.5658347636483382e-20,-3.2221260535278074e-20,-1.6562912898794692e-20,-1.1924796288967658e-20
286.0,1.0,3.962499650447631,-8.1886891244442,-4.22618947399657,-3.0515831154325035,1.5646548574487894e-20,-3.233431758978782e-20,-1.668776901529993e-20,-1.2049652405472885e-20
287.0,1.0,3.9456832322600093,-8.1886891244442,-4.24300589218419,-3.072492238702228,1.5634622357647898e-20,-3.2447374644297567e-20,-1.6812752286649662e-20,-1.217463567682262e-20
288.0,1.0,3.9289522216079797,-8.1886891244442,-4.25973690283622,-3.093287532873294,1.562257139273521e-20,-3.256043169880732e-20,-1.6937860306072107e-20,-1.2299743696245066e-20
289.0,1.0,3.9123060236744522,-8.1886891244442,-4.276383100769747,-3.113969887796312,1.5610396843919514e-20,-3.2673488753317065e-20,-1.7063091909397542e-20,-1.2424975299570503e-20
290.0,1.0,3.8957439225328367,-8.1886891244442,-4.292945201911364,-3.1345403103619756,1.5598099357613012e-20,-3.2786545807826805e-20,-1.7188446450213793e-20,-1.2550329840386758e-20
291.0,1.0,3.879265201933876,-8.1886891244442,-4.309423922510325,-3.154999803784129,1.5585679539393782e-20,-3.289960286233656e-20,-1.7313923322942778e-20,-1.2675806713115736e-20
292.0,1.0,3.8628692149786303,-8.1886891244442,-4.3258199094655705,-3.175349297995286,1.557313823486981e-20,-3.3012659916846304e-20,-1.7439521681976494e-20,-1.2801405072149449e-20
293.0,1.0,3.8465554169906313,-8.1886891244442,-4.34213370745357,-3.1955896168415467,1.5560476667444205e-20,-3.3125716971356056e-20,-1.7565240303911848e-20,-1.2927123694084809e-20
294.0,1.0,3.8303233741339238,-8.1886891244442,-4.358365750310277,-3.215721469530269,1.5547696480353406e-20,-3.3238774025865796e-20,-1.7691077545512394e-20,-1.305296093568536e-20
295.0,1.0,3.814172757675746,-8.1886891244442,-4.374516366768454,-3.2357454564317667,1.553479972095117e-20,-3.335183108037555e-20,-1.7817031359424374e-20,-1.3178914749597335e-20
296.0,1.0,3.7981033309696137,-8.1886891244442,-4.390585793474587,-3.255662082159306,1.5521788794767605e-20,-3.3464888134885295e-20,-1.794309934011769e-20,-1.3304982730290645e-20
297.0,1.0,3.7821149337346496,-8.1886891244442,-4.40657419070955,-3.27547177135156,1.550866640740306e-20,-3.357794518939505e-20,-1.8069278781991982e-20,-1.3431162172164938e-20
298.0,1.0,3.7662074662784146,-8.1886891244442,-4.422481658165786,-3.2951748845103417,1.5495435504887285e-20,-3.369100224390479e-20,-1.8195566739017505e-20,-1.355745012919047e-20
299.0,1.0,3.750380874989885,-8.1886891244442,-4.438308249454314,-3.314771732566948,1.5482099217974992e-20,-3.380405929841454e-20,-1.8321960080439542e-20,-1.3683843470612505e-20
300.0,1.0,3.7346351396228883,-8.1886891244442,-4.4540539848213125,-3.3342625896569036,1.5468660812655604e-20,-3.3917116352924286e-20,-1.8448455540268682e-20,-1.3810338930441643e-20
200.0,2.0,0.09896967234026066,-6.80239476332431,-6.703425090984052,-5.023737998237436,2.732847582938171e-22,-1.8783439055177893e-20,-1.851015429688408e-20,-1.387203768705704e-20
201.0,2.0,0.11205882128475952,-6.80239476332431,-6.690335942039551,-5.019005501495657,3.1097493809144375e-22,-1.8877356250453783e-20,-1.8566381312362342e-20,-1.3928264702535303e-20
