geometry,temperature_K,window_s,center_distance_nm,surface_gap_nm,kBT_J,U_initial_kBT,Udd_eq_kBT,Udd_time_mean_kBT,Udd_end_kBT,delta_Uani_kBT,delta_Fmag_eq_kBT,delta_Fmag_time_mean_kBT,delta_Fmag_end_kBT,delta_Fmag_of_mean_probability_kBT,relaxation_free_energy_excess_time_mean_kBT,relaxation_free_energy_excess_end_kBT,internal_energy_relaxation_deficit_kBT,vdW_kBT,partial_contact_F_eq_kBT,partial_contact_F_time_mean_kBT,tau_N_isolated_s,tau_B_free_s,hexane_viscosity_Pa_s,detailed_balance_relative_error,KL_quadrature_error_kBT,free_energy_identity_error_kBT,ligand_solvent_F_J,assembly_translation_rotation_F_J,assembly_delta_G_J,U_initial_J,Udd_eq_J,Udd_time_mean_J,Udd_end_J,delta_Uani_J,delta_Fmag_eq_J,delta_Fmag_time_mean_J,delta_Fmag_end_J,delta_Fmag_of_mean_probability_J,relaxation_free_energy_excess_time_mean_J,relaxation_free_energy_excess_end_J,internal_energy_relaxation_deficit_J,vdW_J,partial_contact_F_eq_J,partial_contact_F_time_mean_J,KL_quadrature_error_J,free_energy_identity_error_J
face,200.0,20.0,19.0,3.0,2.7612980000000003e-21,0.0,-9.514221612687662,-0.10041711264556018,-0.1992164569832391,0.0,-7.530510374620079,-0.09999692593974707,-0.1979782679383168,-0.10009956450471554,7.430513448680332,7.332532106681763,9.413804500042101,-1.7685295207466243,-9.299039895366704,-1.8685264466863714,56518.87140592694,4.082952141031122e-06,0.00104642206279509,2.1782360336697627e-17,8.249527115511782e-14,8.881784197001252e-16,nan,nan,nan,0.0,-2.6271601110671217e-20,-2.7728157231396003e-22,-5.500960042349042e-22,0.0,-2.0793983236417678e-20,-2.761213116035717e-22,-5.466769953015384e-22,-2.76404727267742e-22,2.0517861924814107e-20,2.024730624111614e-20,2.5994319538357257e-20,-4.8834370285786125e-21,-2.5677420264996292e-20,-5.159558340182184e-21,2.2779402725008454e-34,2.4525252939611167e-36
face,201.0,20.0,19.0,3.0,2.7751044900000003e-21,0.0,-9.4649832547248,-0.11378647974913816,-0.22549828127927296,0.0,-7.4831806796022216,-0.11324530578404879,-0.2239072832194852,-0.11337709998161691,7.369935373818173,7.259273396382736,9.351196774975662,-1.7597308664145515,-9.242911546016773,-1.8729761721986002,48275.96421252449,3.99898164635452e-06,0.0010300257243557134,2.696186046224875e-17,8.182271942012346e-14,1.7763568394002505e-15,nan,nan,nan,0.0,-2.626631752796161e-20,-3.157693708531274e-22,-6.257812928653934e-22,0.0,-2.0766608303445378e-20,-3.142675565527368e-22,-6.213661070060951e-22,-3.14633299222164e-22,2.0452340746892642e-20,2.0145242196439283e-20,2.5950548157108484e-20,-4.8834370285786125e-21,-2.565004533202399e-20,-5.197704585131349e-21,2.2706659604679483e-34,4.9295758408618445e-36
face,202.0,20.0,19.0,3.0,2.7889109800000003e-21,0.0,-9.416206070025648,-0.12873940756044028,-0.2548264065957746,0.0,-7.436329086220687,-0.12804476941658383,-0.2527895236738326,-0.12821337282918632,7.308284316804103,7.183539562546854,9.287466662465208,-1.7510193274719053,-9.187348413692593,-1.879064096888489,41299.64123826569,3.917065764442711e-06,0.001013946021091491,2.749134537119519e-17,8.113825519022848e-14,8.881784197001252e-16,nan,nan,nan,0.0,-2.6260960498637183e-20,-3.590427473040069e-22,-7.106881633489003e-22,0.0,-2.0739259839454243e-20,-3.571054633574789e-22,-7.050074782029218e-22,-3.5757568326615145e-22,2.0382154376096765e-20,2.003425236125132e-20,2.5901917751333176e-20,-4.8834370285786125e-21,-2.5622696868032857e-20,-5.240542491936092e-21,2.2628737079807025e-34,2.477050546900728e-36
face,203.0,20.0,19.0,3.0,2.8027174700000003e-21,0.0,-9.367883237227154,-0.14543424334506572,-0.28748803382860216,0.0,-7.3899486119286495,-0.1445456788410926,-0.28488998179801384,-0.14476055654534947,7.245402933087557,7.105058630130635,9.22244899388209,-1.7423936164991372,-9.132342228427786,-1.8869392953402297,35385.83358523123,3.83715006427453e-06,0.000998176692261181,9.365114738201294e-18,8.044013159000447e-14,1.7763568394002505e-15,nan,nan,nan,0.0,-2.6255530005896704e-20,-4.0761109455944695e-22,-8.057477348273743e-22,0.0,-2.071193807705468e-20,-4.0512069930093964e-22,-7.984661290132755e-22,-4.0572294079657385e-22,2.030681737775374e-20,1.99134719480414e-20,2.5847918911337258e-20,-4.8834370285786125e-21,-2.559537510563329e-20,-5.2885577278795524e-21,2.2545096209640445e-34,4.978626346741067e-36
face,204.0,20.0,19.0,3.0,2.8165239600000003e-21,0.0,-9.320008072521896,-0.16404064703782684,-0.32378651233228484,0.0,-7.344032410298298,-0.16290796798175577,-0.3204852218135518,-0.16318076483829366,7.181124442316542,7.023547188484747,9.155967425484068,-1.73385247132022,-9.077884881618518,-1.8967604393019757,30364.811593723123,3.75918151676907e-06,0.0009827115646105378,3.3069662274239866e-17,7.972649698558313e-14,1.7763568394002505e-15,nan,nan,nan,0.0,-2.625002604365134e-20,-4.620244127959424e-22,-9.11952469908716e-22,0.0,-2.0684643246621708e-20,-4.58834195095528e-22,-9.026543060637835e-22,-4.596025339781797e-22,2.022580905152618e-20,1.9781988940557927e-20,2.5788001630855396e-20,-4.8834370285786125e-21,-2.5568080275200322e-20,-5.342271223674141e-21,2.2455158900676267e-34,5.003151599680678e-36
face,205.0,20.0,19.0,3.0,2.8303304500000003e-21,0.0,-9.272574026241163,-0.18473962647666242,-0.3640402002041021,0.0,-7.298573767694063,-0.18330086463370332,-0.35986151392379073,-0.18364583055983424,7.11527290306036,6.938712253770272,9.0878343997645,-1.7253946543869505,-9.023968422081014,-1.9086955190206538,26095.169955762103,3.683108468787375e-06,0.0009675445545252112,1.2035482272855766e-17,7.899539803469091e-14,0.0,nan,nan,nan,0.0,-2.6244448616349465e-20,-5.228741901385239e-22,-1.0303540636617665e-21,0.0,-2.0657375576275736e-20,-5.188020186840987e-22,-1.018527000641604e-21,-5.197783862490395e-22,2.0138573557591638e-20,1.963884857563413e-20,2.572157442621094e-20,-4.8834370285786125e-21,-2.554081260485435e-20,-5.402239047262711e-21,2.2358308046745585e-34,0.0
face,206.0,20.0,19.0,3.0,2.8441369400000004e-21,0.0,-9.225574679537358,-0.20772340398081043,-0.40858082399555146,0.0,-7.25356610004319,-0.205902406671143,-0.4033124171596863,-0.20633688257399319,7.047663693372047,6.850253682883503,9.017851275556547,-1.7170189521811885,-8.97058505222438,-1.9229213588523315,22458.906400859145,3.608880616601097e-06,0.0009526696698430478,3.803735787364059e-17,7.824478502196415e-14,1.7763568394002505e-15,nan,nan,nan,0.0,-2.6238797738800865e-20,-5.907938065643661e-22,-1.1620598145013864e-21,0.0,-2.0630135291864574e-20,-5.856146408483004e-22,-1.1470757440045538e-21,-5.868503498131363e-22,2.0044520651016275e-20,1.948305954786002e-20,2.5648003932236497e-20,-4.8834370285786125e-21,-2.551357232044319e-20,-5.469051669426912e-21,2.22538883443327e-34,5.0522021055599004e-36
face,207.0,20.0,19.0,3.0,2.8579434300000004e-21,0.0,-9.179003741162377,-0.23319508210285053,-0.4577512710804421,0.0,-7.209002949700321,-0.2308987216505285,-0.4511357608701914,-0.23144368838417537,6.9781042280497925,6.757867188830129,8.945808659059526,-1.7087241746344195,-8.917727124334741,-1.939622896284948,19357.388092125642,3.5364489789478584e-06,0.0009380810113527656,1.61759265414343e-17,7.747251982215033e-14,0.0,nan,nan,nan,0.0,-2.6233073436000442e-20,-6.664583528041523e-22,-1.3082272377584986e-21,0.0,-2.0602922616946655e-20,-6.598954845365267e-22,-1.2893204838170149e-21,-6.614529686325214e-22,1.9943027132410128e-20,1.931360213312964e-20,2.5566615083196286e-20,-4.8834370285786125e-21,-2.548635964552527e-20,-5.543332513115139e-21,2.2141207903125935e-34,0.0
face,208.0,20.0,19.0,3.0,2.8717499200000004e-21,0.0,-9.132855044338704,-0.26136807500886167,-0.5119027524027164,0.0,-7.164877982402959,-0.2584830396612743,-0.5036299868270014,-0.25916373054050446,6.906394942741684,6.661247995575957,8.871486969329842,-1.7005091545640616,-8.865387136967021,-1.9589921942253359,16708.039908692757,3.465765869781389e-06,0.000923772774004105,1.8532862821608008e-17,7.667638682586556e-14,0.0,nan,nan,nan,0.0,-2.6227275742951275e-20,-7.505837484972526e-22,-1.4700566882602809e-21,0.0,-2.0575737772775462e-20,-7.422986484686214e-22,-1.4462993743800426e-21,-7.442534224465953e-22,1.983343912430684e-20,1.9129438398395418e-20,2.547669199445402e-20,-4.8834370285786125e-21,-2.5459174801354076e-20,-5.6257356770472335e-21,2.201954077330685e-34,0.0
face,209.0,20.0,19.0,3.0,2.88555641e-21,0.0,-9.087122543720366,-0.29246527142018763,-0.571391282315722,0.0,-7.121184984314705,-0.2888544113491065,-0.5610898312681659,-0.2897009863564695,6.832330572965598,6.560095153046538,8.794657272300178,-1.6923727471259564,-8.81355773144066,-1.981227158475063,14441.620798587173,3.3967848708143046e-06,0.0009097392478529262,1.9111917280428555e-17,7.585410713956796e-14,8.881784197001252e-16,nan,nan,nan,0.0,-2.6221404704487807e-20,-8.439250386489122e-22,-1.6487817773042513e-21,0.0,-2.0548580978285045e-20,-8.33505698225191e-22,-1.6190563592016746e-21,-8.359485381642331e-22,1.9715075280059855e-20,1.8929524619083368e-20,2.5377479665838893e-20,-4.8834370285786125e-21,-2.5432018006863656e-20,-5.716942726803804e-21,2.1888130508140707e-34,2.5628889321893667e-36
