geometry,temperature_K,exposure_s,ramp_duration_s,frame_index,ramp_start_s,hold_start_s,hold_end_s,center_distance_nm,Udd_hold_start_J,Udd_hold_mean_J,Udd_hold_end_J,Udd_eq_J,Udd_reset_same_window_J,vdW_J,kBT_J,probability_normalization_error,probability_change_during_ramp_L1,Udd_hold_start_kBT,Udd_hold_mean_kBT,Udd_hold_end_kBT,Udd_eq_kBT,Udd_reset_same_window_kBT,vdW_kBT,kBT_kBT
face,300.0,20.0,120.0,0,0.0,0.0,20.0,19.0,0.0,-2.5203721991783872e-20,-2.5406510436331082e-20,-2.5406510436331082e-20,-2.5203721991783872e-20,-4.8834370285786125e-21,4.141947e-21,2.220446049250313e-16,0.0,0.0,-6.084993842698584,-6.133953533526885,-6.133953533526885,-6.084993842698584,-1.1790196804977495,1.0
face,290.0,20.0,120.0,1,20.0,140.0,160.0,19.0,-2.551856647750232e-20,-2.5519935120079626e-20,-2.551995397737305e-20,-2.551995397737304e-20,-2.5131372155830897e-20,-4.8834370285786125e-21,4.0038821e-21,0.0,0.015616568311781018,-6.373456020970827,-6.37379784986167,-6.373802559614093,-6.373802559614091,-6.276751294907235,-1.2196755315493961,1.0
face,280.0,20.0,120.0,2,160.0,280.0,300.0,19.0,-2.5626970125557815e-20,-2.562826945462934e-20,-2.5628305607730743e-20,-2.5628305607730767e-20,-2.484886023288938e-20,-4.8834370285786125e-21,3.8658172000000005e-21,0.0,0.015047110840731202,-6.629121036958967,-6.629457144178813,-6.629466496173368,-6.629466496173374,-6.427841500857665,-1.2632353719618743,1.0
face,270.0,20.0,120.0,3,300.0,420.0,440.0,19.0,-2.572975132578695e-20,-2.5731119812989455e-20,-2.5731202983548097e-20,-2.573120298385136e-20,-2.4086197675305023e-20,-4.8834370285786125e-21,3.7277523000000004e-21,0.0,0.014384566699793006,-6.902215934730145,-6.902583042599009,-6.90260535378064,-6.902605353861993,-6.461319244657168,-1.3100218672197217,1.0
face,260.0,20.0,120.0,4,440.0,560.0,580.0,19.0,-2.5826110900518886e-20,-2.5828007876700023e-20,-2.582828721495215e-20,-2.5828288756099683e-20,-2.216370399920214e-20,-4.8834370285786125e-21,3.5896874e-21,0.0,0.01356387370334507,-7.194529222939826,-7.195057674576349,-7.195135491450355,-7.195135920776745,-6.1742713304791215,-1.3604073236512495,1.0
face,250.0,20.0,120.0,5,580.0,700.0,720.0,19.0,-2.5914973723192833e-20,-2.5917974535127562e-20,-2.5919046449965497e-20,-2.5919217944812845e-20,-1.79135159824423e-20,-4.8834370285786125e-21,3.4516225e-21,0.0,0.012478828205595762,-7.508055624041399,-7.508925015736096,-7.50923556963877,-7.5092852549236895,-5.189882723977578,-1.4148236165972994,1.0
face,240.0,20.0,120.0,6,720.0,840.0,860.0,19.0,-2.5994498508112644e-20,-2.599856797676388e-20,-2.600117482346464e-20,-2.6003666990911675e-20,-1.1859133580545458e-20,-4.8834370285786125e-21,3.3135576e-21,2.220446049250313e-16,0.010931511370864021,-7.844891094729316,-7.846119221456685,-7.846905942864744,-7.847658055170574,-3.57897311956957,-1.473774600622187,1.0
face,230.0,20.0,120.0,7,860.0,980.0,1000.0,19.0,-2.606145290427873e-20,-2.606560176893892e-20,-2.60690955743449e-20,-2.608134462389288e-20,-6.3466621970971926e-21,-4.8834370285786125e-21,3.1754927000000003e-21,0.0,0.00877627443055369,-8.207058043080599,-8.208364569359242,-8.209464809774211,-8.213322179544887,-1.9986385725582654,-1.5378517571709776,1.0
face,220.0,20.0,120.0,8,1000.0,1120.0,1140.0,19.0,-2.6112690689194967e-20,-2.611576357735062e-20,-2.6118655231947248e-20,-2.6152004616910618e-20,-2.720272819888763e-21,-4.8834370285786125e-21,3.0374278e-21,0.0,0.006368930023119742,-8.596974943468604,-8.597986617937261,-8.598938625618441,-8.609918107982885,-0.8955843559108674,-1.6077541097696584,1.0
face,210.0,20.0,120.0,9,1140.0,1260.0,1280.0,19.0,-2.6146378573545337e-20,-2.6148085754827486e-20,-2.6149760113278636e-20,-2.6215460375098637e-20,-9.472737465800664e-22,-4.8834370285786125e-21,2.8993629e-21,0.0,0.004063592107103563,-9.01797376711461,-9.018562579671377,-9.019140071523518,-9.041800312440584,-0.3267178960522901,-1.6843138292824995,1.0
