geometry,temperature_K,exposure_s,state_index,p_previous_hold_end,p_hold_start,p_hold_mean,p_hold_end,p_eq
face,300.0,20.0,0,0.015625,0.015625,0.00041705633465864315,0.00019223105784124865,0.00019223105784124347
face,300.0,20.0,1,0.015625,0.015625,0.004964856548517805,0.004705610163759977,0.004705610163759857
face,300.0,20.0,2,0.015625,0.015625,0.0049648565485178675,0.004705610163760005,0.004705610163759857
face,300.0,20.0,3,0.015625,0.015625,0.11415368292020735,0.1151882909137794,0.11518829091377628
face,300.0,20.0,4,0.015625,0.015625,0.00011328958158803216,3.2080326312347357e-07,3.2080326312354393e-07
face,300.0,20.0,5,0.015625,0.015625,7.642057800939503e-05,7.85291987920159e-06,7.852919879201732e-06
face,300.0,20.0,6,0.015625,0.015625,7.642057800939559e-05,7.85291987920208e-06,7.852919879201732e-06
face,300.0,20.0,7,0.015625,0.015625,0.0002334169104937102,0.00019223105784124632,0.00019223105784124347
face,300.0,20.0,8,0.015625,0.015625,0.004964856548517829,0.0047056101637599655,0.004705610163759857
face,300.0,20.0,9,0.015625,0.015625,0.00041705633465863003,0.00019223105784125,0.00019223105784124347
face,300.0,20.0,10,0.015625,0.015625,0.11415368292020801,0.11518829091377919,0.11518829091377628
face,300.0,20.0,11,0.015625,0.015625,0.004964856548517661,0.004705610163759975,0.004705610163759857
face,300.0,20.0,12,0.015625,0.015625,7.642057800939549e-05,7.852919879201847e-06,7.852919879201732e-06
face,300.0,20.0,13,0.015625,0.015625,0.00011328958158803353,3.2080326312352254e-07,3.2080326312354393e-07
face,300.0,20.0,14,0.015625,0.015625,0.00023341691049370657,0.00019223105784124244,0.00019223105784124347
face,300.0,20.0,15,0.015625,0.015625,7.642057800939525e-05,7.852919879201694e-06,7.852919879201732e-06
face,300.0,20.0,16,0.015625,0.015625,0.004964856548517823,0.00470561016375998,0.004705610163759857
face,300.0,20.0,17,0.015625,0.015625,0.11415368292020717,0.1151882909137796,0.11518829091377628
face,300.0,20.0,18,0.015625,0.015625,0.0004170563346586279,0.00019223105784125038,0.00019223105784124347
face,300.0,20.0,19,0.015625,0.015625,0.004964856548517652,0.0047056101637599854,0.004705610163759857
face,300.0,20.0,20,0.015625,0.015625,7.642057800939541e-05,7.852919879201865e-06,7.852919879201732e-06
face,300.0,20.0,21,0.015625,0.015625,0.00023341691049370616,0.00019223105784124336,0.00019223105784124347
face,300.0,20.0,22,0.015625,0.015625,0.00011328958158803357,3.2080326312352524e-07,3.2080326312354393e-07
face,300.0,20.0,23,0.015625,0.015625,7.642057800939502e-05,7.852919879201721e-06,7.852919879201732e-06
face,300.0,20.0,24,0.015625,0.015625,0.11415368292020746,0.11518829091377918,0.11518829091377628
face,300.0,20.0,25,0.015625,0.015625,0.004964856548517643,0.004705610163759978,0.004705610163759857
face,300.0,20.0,26,0.015625,0.015625,0.004964856548517664,0.004705610163759971,0.004705610163759857
face,300.0,20.0,27,0.015625,0.015625,0.00041705633465860065,0.00019223105784124924,0.00019223105784124347
face,300.0,20.0,28,0.015625,0.015625,0.00023341691049370592,0.00019223105784124263,0.00019223105784124347
face,300.0,20.0,29,0.015625,0.015625,7.642057800939499e-05,7.852919879201701e-06,7.852919879201732e-06
face,300.0,20.0,30,0.015625,0.015625,7.6420578009395e-05,7.852919879201686e-06,7.852919879201732e-06
face,300.0,20.0,31,0.015625,0.015625,0.00011328958158803507,3.2080326312356976e-07,3.2080326312354393e-07
face,300.0,20.0,32,0.015625,0.015625,0.00011328958158803219,3.208032631235384e-07,3.2080326312354393e-07
face,300.0,20.0,33,0.015625,0.015625,7.642057800939537e-05,7.85291987920188e-06,7.852919879201732e-06
face,300.0,20.0,34,0.015625,0.015625,7.642057800939548e-05,7.852919879201925e-06,7.852919879201732e-06
face,300.0,20.0,35,0.015625,0.015625,0.00023341691049370657,0.00019223105784124314,0.00019223105784124347
face,300.0,20.0,36,0.015625,0.015625,0.000417056334658573,0.00019223105784123805,0.00019223105784124347
face,300.0,20.0,37,0.015625,0.015625,0.004964856548517634,0.0047056101637597495,0.004705610163759857
face,300.0,20.0,38,0.015625,0.015625,0.004964856548517626,0.004705610163759736,0.004705610163759857
