geometry,exposure_s,time_s,temperature_K,stage,Udd_J,Udd_kBT
face,20.0,0.0,300.0,initial,0.0,0.0
face,20.0,0.0001,300.0,hold,-2.0601186530512324e-23,-0.00497379288786465
face,20.0,0.00016629387362411343,300.0,hold,-3.424498506893805e-23,-0.008267847239218185
face,20.0,0.0002765365240491264,300.0,hold,-5.690994399019251e-23,-0.013739901546348254
face,20.0,0.00045986329782677027,300.0,hold,-9.453457977265849e-23,-0.022823705801319642
face,20.0,0.0007647244913317298,300.0,hold,-1.5692067221219142e-22,-0.03788572673966891
face,20.0,0.001271689979187831,300.0,hold,-2.601660873067839e-22,-0.06281250998788346
face,20.0,0.0021147425268811283,300.0,hold,-4.304898455692808e-22,-0.10393417529709599
face,20.0,0.0035166872651270866,300.0,hold,-7.100037119296152e-22,-0.17141786505950346
face,20.0,0.005848035476425728,300.0,hold,-1.1647720316571129e-21,-0.28121364944001287
face,20.0,0.00972492472466073,300.0,hold,-1.8943568983987764e-21,-0.45735903873197226
face,20.0,0.016171954031667476,300.0,hold,-3.0386573286005702e-21,-0.7336301813134186
face,20.0,0.026892968799970832,300.0,hold,-4.770592345836081e-21,-1.1517753234978818
face,20.0,0.044721359549995794,300.0,hold,-7.253668795323352e-21,-1.7512703072548614
face,20.0,0.0743688811330554,300.0,hold,-1.0546391915884293e-20,-2.5462401899117233
face,20.0,0.12367089320707028,300.0,hold,-1.4478796705731765e-20,-3.49564992157837
face,20.0,0.20565711885957794,300.0,hold,-1.858567212528274e-20,-4.487182507473596
face,20.0,0.3419951893353393,300.0,hold,-2.2148990348937824e-20,-5.347482801913647
face,20.0,0.5687170479538566,300.0,hold,-2.4429877605298165e-20,-5.8981627735212845
face,20.0,0.9457416090031759,300.0,hold,-2.527901465846355e-20,-6.103171928193082
face,20.0,1.5727103560863966,300.0,hold,-2.5402660957624866e-20,-6.13302414483451
face,20.0,2.61532097202366,300.0,hold,-2.5406500847758767e-20,-6.133951218535333
face,20.0,4.349118552081964,300.0,hold,-2.5406510435948005e-20,-6.133953533434398
face,20.0,7.2323177087620465,300.0,hold,-2.5406510436331082e-20,-6.133953533526885
face,20.0,12.026901270703146,300.0,hold,-2.5406510436331082e-20,-6.133953533526885
face,20.0,20.0,300.0,hold,-2.5406510436331082e-20,-6.133953533526885
face,20.0,23.0,299.75,ramp,-2.5407958425268702e-20,-6.139419307656023
face,20.0,26.0,299.5,ramp,-2.541085218315896e-20,-6.145243844743539
face,20.0,29.0,299.25,ramp,-2.5413742976389315e-20,-6.15107739616389
face,20.0,32.0,299.0,ramp,-2.541663079931509e-20,-6.156919983160914
face,20.0,35.0,298.75,ramp,-2.5419515646308168e-20,-6.162771627053573
face,20.0,38.0,298.5,ramp,-2.5422397511738044e-20,-6.168632349231667
face,20.0,41.0,298.25,ramp,-2.5425276389971923e-20,-6.1745021711561625
face,20.0,44.0,298.0,ramp,-2.5428152275374573e-20,-6.180381114359444
face,20.0,47.0,297.75,ramp,-2.5431025162308346e-20,-6.186269200445632
