observation_window_s,magnetic_energy_crossing_K,pair_total_energy_crossing_K
1.000000000000e-01,nan,nan
1.122018454302e-01,nan,nan
1.258925411794e-01,nan,nan
1.412537544623e-01,nan,nan
1.584893192461e-01,nan,nan
1.778279410039e-01,nan,nan
1.995262314969e-01,nan,nan
2.000000000000e-01,nan,nan
2.238721138568e-01,nan,nan
2.511886431510e-01,nan,nan
2.818382931264e-01,nan,nan
3.162277660168e-01,nan,nan
3.548133892336e-01,nan,2.988609828852e+02
3.981071705535e-01,nan,2.971005541703e+02
4.466835921510e-01,nan,2.953603751998e+02
5.000000000000e-01,nan,2.936754683672e+02
5.011872336273e-01,nan,2.936402686791e+02
5.623413251903e-01,2.985201652749e+02,2.919399471233e+02
6.309573444802e-01,2.967904508716e+02,2.902586397205e+02
7.079457843841e-01,2.950807432062e+02,2.885966467463e+02
7.943282347243e-01,2.933905552710e+02,2.869532916103e+02
8.912509381337e-01,2.917195961686e+02,2.853280163135e+02
1.000000000000e+00,2.900675951865e+02,2.837209550051e+02
1.122018454302e+00,2.884341347573e+02,2.821317409487e+02
1.258925411794e+00,2.868189146031e+02,2.805600279641e+02
1.412537544623e+00,2.852216846235e+02,2.790054887098e+02
1.584893192461e+00,2.836421300284e+02,2.774676410821e+02
1.778279410039e+00,2.820799473807e+02,2.759464235741e+02
1.995262314969e+00,2.805348433311e+02,2.744415834652e+02
2.000000000000e+00,2.805032049752e+02,2.744106953571e+02
2.238721138568e+00,2.790065335680e+02,2.729528536098e+02
2.511886431510e+00,2.774947369232e+02,2.714799812450e+02
2.818382931264e+00,2.759991991431e+02,2.700226065835e+02
3.162277660168e+00,2.745196457132e+02,2.685804340722e+02
3.548133892336e+00,2.730558243905e+02,2.671533552651e+02
3.981071705535e+00,2.716074872164e+02,2.657411678553e+02
4.466835921510e+00,2.701743916514e+02,2.643436819077e+02
5.000000000000e+00,2.687853641264e+02,2.629891375612e+02
5.011872336273e+00,2.687563012398e+02,2.629607202529e+02
5.623413251903e+00,2.673529856004e+02,2.615916343037e+02
6.309573444802e+00,2.659642204826e+02,2.602364526464e+02
7.079457843841e+00,2.645897252807e+02,2.588952336771e+02
7.943282347243e+00,2.632293073477e+02,2.575674978193e+02
8.912509381337e+00,2.618827812687e+02,2.562528339844e+02
1.000000000000e+01,2.605499179476e+02,2.549516583194e+02
1.122018454302e+01,2.592304662720e+02,2.536630360503e+02
1.258925411794e+01,2.579242872630e+02,2.523873477142e+02
1.412537544623e+01,2.566311400507e+02,2.511241377605e+02
1.584893192461e+01,2.553508369059e+02,2.498732745890e+02
1.778279410039e+01,2.540832025998e+02,2.486345897864e+02
1.995262314969e+01,2.528280205281e+02,2.474079450213e+02
2.000000000000e+01,2.528022938514e+02,2.473827652372e+02
2.238721138568e+01,2.515851349574e+02,2.461929734632e+02
2.511886431510e+01,2.503543417536e+02,2.449899939440e+02
2.818382931264e+01,2.491354829441e+02,2.437979855031e+02
3.162277660168e+01,2.479283651520e+02,2.426176245722e+02
3.548133892336e+01,2.467328446053e+02,2.414484297684e+02
3.981071705535e+01,2.455487189088e+02,2.402899742251e+02
4.466835921510e+01,2.443758597598e+02,2.391425742463e+02
5.000000000000e+01,2.432379176695e+02,2.380292784309e+02
5.011872336273e+01,2.432140959518e+02,2.380060120941e+02
5.623413251903e+01,2.420632365589e+02,2.368796003013e+02
6.309573444802e+01,2.409231712834e+02,2.357637030278e+02
7.079457843841e+01,2.397937557060e+02,2.346581567226e+02
7.500000000000e+01,2.392316072148e+02,2.341078683763e+02
7.943282347243e+01,2.386747953602e+02,2.335627832290e+02
8.912509381337e+01,2.375661389872e+02,2.324773279763e+02
1.000000000000e+02,2.364676779062e+02,2.314015345931e+02
