geometry,temperature_K,tilt_halfangle_deg,face_twist_halfwidth_deg,orientation_fraction_per_particle,conditional_magnetic_F_kBT,geometric_rotation_cost_kBT,magnetic_plus_rotation_F_kBT,Udd_kBT,delta_Uani_kBT,delta_Umag_kBT,total_magnetic_rotational_entropy_change_over_kB,F_scramble_standard_error_kBT,nominal_posture_vdW_kBT,partial_F_with_nominal_vdW_kBT,minimum_importance_ESS_fraction,assembly_delta_G_J,conditional_magnetic_F_J,geometric_rotation_cost_J,magnetic_plus_rotation_F_J,Udd_J,delta_Uani_J,delta_Umag_J,F_scramble_standard_error_J,nominal_posture_vdW_J,partial_F_with_nominal_vdW_J
face,200.0,2.0,1.0,4.0611532060282525e-05,-7.517335841006327,20.22291698158981,12.705581140583485,-9.516967630934989,-0.012277634891006564,-9.529245265825995,-22.234826406409482,0.00021953069119212503,-3.3043546460360385,9.401226494547446,0.12290134418950581,nan,-2.075760442309909e-20,5.584150021542998e-20,3.5083895792330896e-20,-2.6279183685365525e-20,-3.3902208669266647e-23,-2.6313085894034792e-20,6.061896585274325e-25,-9.124307875390021e-21,2.5959587916940873e-20
tip,200.0,2.0,1.0,0.0024366919236169515,-1.4636223813780191,12.034227857145611,10.570605475767591,-2.827560888320515,-0.006736025093864252,-2.8342969134143794,-13.40490238918197,0.00011619375276978135,-0.13379508650640465,10.436810389261186,0.11603354058450907,nan,-4.0414975544543616e-21,3.323008931348046e-20,2.91885917590261e-20,-7.807738225797663e-21,-1.8600172619637174e-23,-7.826338398417298e-21,3.2084557713569173e-25,-3.6944810477996215e-22,2.8819143654246136e-20
face,200.0,2.0,2.0,8.122306412056505e-05,-7.516086505230502,18.83662262046992,11.320536115239419,-9.515224728716547,-0.01217682386481636,-9.527401552581363,-20.84793766782078,0.0002219883743035677,-3.3043546460360385,8.01618146920338,0.1229218826931782,nan,-2.075415463471998e-20,5.201352836865836e-20,3.125937373393838e-20,-2.6274371012955544e-20,-3.362383938426969e-23,-2.6307994852339815e-20,6.129760539876929e-25,-9.124307875390021e-21,2.2135065858548358e-20
tip,200.0,2.0,2.0,0.0024366919236169515,-1.4636223813780191,12.034227857145611,10.570605475767591,-2.827560888320515,-0.006736025093864252,-2.8342969134143794,-13.40490238918197,0.00011619375276978135,-0.13379508650640465,10.436810389261186,0.11603354058450907,nan,-4.0414975544543616e-21,3.323008931348046e-20,2.91885917590261e-20,-7.807738225797663e-21,-1.8600172619637174e-23,-7.826338398417298e-21,3.2084557713569173e-25,-3.6944810477996215e-22,2.8819143654246136e-20
face,200.0,2.0,5.0,0.00020305766030141262,-7.507497267851441,17.004041156721613,9.496543888870171,-9.503198661680884,-0.01157426979766623,-9.51477293147855,-19.01131682034872,0.00022900663819335444,-3.3043546460360385,6.192189242834132,0.1230638286951461,nan,-2.073043719072365e-20,4.695322483797308e-20,2.622278764724943e-20,-2.6241163458102104e-20,-3.196000804375617e-23,-2.6273123466145857e-20,6.323555720300333e-25,-9.124307875390021e-21,1.7098479771859406e-20
tip,200.0,2.0,5.0,0.0024366919236169515,-1.4636223813780191,12.034227857145611,10.570605475767591,-2.827560888320515,-0.006736025093864252,-2.8342969134143794,-13.40490238918197,0.00011619375276978135,-0.13379508650640465,10.436810389261186,0.11603354058450907,nan,-4.0414975544543616e-21,3.323008931348046e-20,2.91885917590261e-20,-7.807738225797663e-21,-1.8600172619637174e-23,-7.826338398417298e-21,3.2084557713569173e-25,-3.6944810477996215e-22,2.8819143654246136e-20
face,200.0,2.0,10.0,0.00040611532060282524,-7.4783967588859,15.617746795601722,8.139350036715822,-9.462258763626696,-0.009657290295342798,-9.471916053922039,-17.611266090637862,0.00023812190722029207,-3.3043546460360385,4.834995390679783,0.12346202570044233,nan,-2.0650082013518118e-20,4.312525299120145e-20,2.247517097768333e-20,-2.612811619948487e-20,-2.6666656377949483e-23,-2.6154782855862818e-20,6.575255461635781e-25,-9.124307875390021e-21,1.3350863102293303e-20
tip,200.0,2.0,10.0,0.0024366919236169515,-1.4636223813780191,12.034227857145611,10.570605475767591,-2.827560888320515,-0.006736025093864252,-2.8342969134143794,-13.40490238918197,0.00011619375276978135,-0.13379508650640465,10.436810389261186,0.11603354058450907,nan,-4.0414975544543616e-21,3.323008931348046e-20,2.91885917590261e-20,-7.807738225797663e-21,-1.8600172619637174e-23,-7.826338398417298e-21,3.2084557713569173e-25,-3.6944810477996215e-22,2.8819143654246136e-20
face,205.0,2.0,1.0,4.0611532060282525e-05,-7.285494108589891,20.22291698158981,12.937422872999921,-9.27399376801076,-0.008376677995607953,-9.282370446006368,-22.21979331900629,0.000343070172238964,-3.223760630279062,9.71366224272086,0.12367202161460294,nan,-2.0620355818837577e-20,5.723753772081574e-20,3.6617181901978163e-20,-2.624846695471109e-20,-2.3708766800814156e-23,-2.6272175721511908e-20,9.710019549746846e-25,-9.124307875390021e-21,2.749287402658814e-20
tip,205.0,2.0,1.0,0.0024366919236169515,-1.3953233769571687,12.034227857145611,10.638904480188442,-2.701913570748914,-0.0049261316812654055,-2.7068397024301794,-13.34574418261862,0.00012949317621032604,-0.13053179171356552,10.508372688474877,0.1234562536802382,nan,-3.9492262413987035e-21,3.406084154631748e-20,3.011161530491877e-20,-7.647308252558882e-21,-1.3942580498195173e-23,-7.661250833057076e-21,3.6650847969530144e-25,-3.6944810477996224e-22,2.9742167200138806e-20
