scheme,n_per_axis,volume_nodes,configuration,gap_nm,U_attr_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,wall_seconds,peak_pair_memory_MB
cartesian,3,27,face_to_face_100,1.00,-1.31759929e+02,3.903e-01,nan,1.4150e+02,0.001,152.6
cartesian,3,27,face_to_face_100,2.99,-1.95631840e+01,4.383e-02,nan,1.5043e+00,0.001,152.6
cartesian,3,27,face_to_face_100,8.00,-1.44003409e+00,5.199e-02,nan,1.1939e-01,0.001,152.6
cartesian,3,27,face_edge_110,1.00,-5.78479373e+01,6.208e-01,nan,3.7166e+01,0.001,152.6
cartesian,3,27,face_edge_110,2.99,-6.67367986e+00,3.835e-01,nan,3.1030e+00,0.001,152.6
cartesian,3,27,face_edge_110,8.00,-5.33898112e-01,1.037e-01,nan,8.4122e-02,0.001,152.6
cartesian,3,27,corner_111,1.00,-2.57357484e+01,2.013e+00,nan,2.8843e+01,0.001,152.6
cartesian,3,27,corner_111,2.99,-2.58539241e+00,5.242e-01,nan,1.4914e+00,0.001,152.6
cartesian,3,27,corner_111,8.00,-2.60418992e-01,8.156e-02,nan,3.2941e-02,0.001,152.6
cartesian,3,27,face_to_face_twist45,1.00,-1.03632794e+02,5.067e-01,nan,1.7853e+02,0.001,152.6
cartesian,3,27,face_to_face_twist45,2.99,-1.86954303e+01,7.809e-02,nan,2.6565e+00,0.001,152.6
cartesian,3,27,face_to_face_twist45,8.00,-1.43853192e+00,5.168e-02,nan,1.1857e-01,0.001,152.6
cartesian,4,64,face_to_face_100,1.00,-2.22020901e+02,2.733e-02,6.850e-01,9.9064e+00,0.001,152.6
cartesian,4,64,face_to_face_100,2.99,-2.22697925e+01,8.846e-02,1.384e-01,3.0357e+00,0.001,152.6
cartesian,4,64,face_to_face_100,8.00,-1.43411155e+00,4.767e-02,4.113e-03,1.0945e-01,0.001,152.6
cartesian,4,64,face_edge_110,1.00,-6.74868363e+01,8.909e-01,1.666e-01,5.3334e+01,0.001,152.6
cartesian,4,64,face_edge_110,2.99,-5.74672795e+00,1.913e-01,1.389e-01,1.5481e+00,0.001,152.6
cartesian,4,64,face_edge_110,8.00,-5.02616691e-01,3.901e-02,5.859e-02,3.1651e-02,0.001,152.6
cartesian,4,64,corner_111,1.00,-1.11443534e+01,3.049e-01,5.670e-01,4.3676e+00,0.001,152.6
cartesian,4,64,corner_111,2.99,-1.83151316e+00,7.974e-02,2.916e-01,2.2688e-01,0.001,152.6
cartesian,4,64,corner_111,8.00,-2.45450185e-01,1.939e-02,5.748e-02,7.8323e-03,0.001,152.6
cartesian,4,64,face_to_face_twist45,1.00,-1.57446565e+02,2.505e-01,5.193e-01,8.8264e+01,0.001,152.6
cartesian,4,64,face_to_face_twist45,2.99,-2.14461712e+01,5.755e-02,1.471e-01,1.9576e+00,0.001,152.6
cartesian,4,64,face_to_face_twist45,8.00,-1.43245728e+00,4.723e-02,4.223e-03,1.0838e-01,0.001,152.6
cartesian,6,216,face_to_face_100,1.00,-2.78901483e+02,2.905e-01,2.562e-01,1.0532e+02,0.002,152.6
cartesian,6,216,face_to_face_100,2.99,-2.16482958e+01,5.808e-02,2.791e-02,1.9932e+00,0.002,152.6
cartesian,6,216,face_to_face_100,8.00,-1.39253652e+00,1.730e-02,2.899e-02,3.9714e-02,0.002,152.6
cartesian,6,216,face_edge_110,1.00,-3.19349105e+01,1.052e-01,5.268e-01,6.3004e+00,0.002,152.6
cartesian,6,216,face_edge_110,2.99,-4.86746381e+00,9.056e-03,1.530e-01,7.3272e-02,0.002,152.6
cartesian,6,216,face_edge_110,8.00,-4.87903594e-01,8.591e-03,2.927e-02,6.9713e-03,0.002,152.6
cartesian,6,216,corner_111,1.00,-7.31800893e+00,1.431e-01,3.433e-01,2.0507e+00,0.002,152.6
