r2_mode,n_per_face_axis,surface_nodes,configuration,gap_nm,U_rep_kcalmol,rel_error_vs_reference,rel_change_vs_previous,abs_error_kBT,r2_certificate_nm,wall_seconds
exact_surface,3,54,face_to_face_100,1.00,4.38121160e+01,7.419e-02,nan,5.8895e+00,0.000e+00,0.003
exact_surface,3,54,face_to_face_100,2.99,8.73523067e+00,4.962e-02,nan,7.6504e-01,3.553e-15,0.001
exact_surface,3,54,face_to_face_100,8.00,4.46014212e-01,2.653e-02,nan,2.0390e-02,5.329e-15,0.001
exact_surface,3,54,face_edge_110,1.00,1.61647098e+01,1.022e-01,nan,2.5137e+00,3.553e-15,0.001
exact_surface,3,54,face_edge_110,2.99,3.57252378e+00,7.199e-02,nan,4.0243e-01,3.553e-15,0.001
exact_surface,3,54,face_edge_110,8.00,2.15638356e-01,1.625e-02,nan,5.7838e-03,3.553e-15,0.001
exact_surface,3,54,corner_111,1.00,6.99866187e+00,2.608e-01,nan,2.4284e+00,0.000e+00,0.001
exact_surface,3,54,corner_111,2.99,1.64459565e+00,1.320e-01,nan,3.2169e-01,7.105e-15,0.001
exact_surface,3,54,corner_111,8.00,1.18801555e-01,2.220e-02,nan,4.3287e-03,3.553e-15,0.002
exact_surface,3,54,face_to_face_twist45,1.00,4.34159739e+01,4.999e-02,nan,3.8318e+00,0.000e+00,0.002
exact_surface,3,54,face_to_face_twist45,2.99,8.63482985e+00,3.676e-02,nan,5.5280e-01,0.000e+00,0.001
exact_surface,3,54,face_to_face_twist45,8.00,4.42441765e-01,2.179e-02,nan,1.6530e-02,3.553e-15,0.001
exact_surface,4,96,face_to_face_100,1.00,4.63477294e+01,2.061e-02,5.787e-02,1.6363e+00,1.776e-15,0.002
exact_surface,4,96,face_to_face_100,2.99,9.02087599e+00,1.854e-02,3.270e-02,2.8590e-01,2.665e-15,0.001
exact_surface,4,96,face_to_face_100,8.00,4.50183325e-01,1.743e-02,9.347e-03,1.3397e-02,3.553e-15,0.002
exact_surface,4,96,face_edge_110,1.00,1.46447280e+01,1.460e-03,9.403e-02,3.5923e-02,1.776e-15,0.002
exact_surface,4,96,face_edge_110,2.99,3.25697897e+00,2.269e-02,8.833e-02,1.2686e-01,3.553e-15,0.002
exact_surface,4,96,face_edge_110,8.00,2.06541263e-01,2.662e-02,4.219e-02,9.4756e-03,3.553e-15,0.002
exact_surface,4,96,corner_111,1.00,5.37539378e+00,3.163e-02,2.319e-01,2.9451e-01,1.776e-15,0.002
exact_surface,4,96,corner_111,2.99,1.38880226e+00,4.406e-02,1.555e-01,1.0738e-01,7.105e-15,0.002
exact_surface,4,96,corner_111,8.00,1.12480647e-01,3.218e-02,5.321e-02,6.2740e-03,3.553e-15,0.002
exact_surface,4,96,face_to_face_twist45,1.00,4.54127105e+01,6.294e-03,4.599e-02,4.8251e-01,4.441e-16,0.002
exact_surface,4,96,face_to_face_twist45,2.99,8.86684647e+00,1.088e-02,2.687e-02,1.6362e-01,8.882e-16,0.002
exact_surface,4,96,face_to_face_twist45,8.00,4.45549913e-01,1.492e-02,7.025e-03,1.1316e-02,1.776e-15,0.002
exact_surface,6,216,face_to_face_100,1.00,4.73680871e+01,9.484e-04,2.202e-02,7.5284e-02,1.776e-15,0.005
exact_surface,6,216,face_to_face_100,2.99,9.20019664e+00,9.660e-04,1.988e-02,1.4894e-02,3.553e-15,0.004
exact_surface,6,216,face_to_face_100,8.00,4.58754559e-01,1.276e-03,1.904e-02,9.8057e-04,3.553e-15,0.003
exact_surface,6,216,face_edge_110,1.00,1.46492622e+01,1.151e-03,3.096e-04,2.8317e-02,3.553e-15,0.003
exact_surface,6,216,face_edge_110,2.99,3.34010912e+00,2.250e-03,2.552e-02,1.2580e-02,1.776e-15,0.004
exact_surface,6,216,face_edge_110,8.00,2.12796443e-01,2.857e-03,3.029e-02,1.0168e-03,3.553e-15,0.003
exact_surface,6,216,corner_111,1.00,5.57990034e+00,5.211e-03,3.804e-02,4.8524e-02,3.553e-15,0.004
exact_surface,6,216,corner_111,2.99,1.46150107e+00,5.977e-03,5.235e-02,1.4566e-02,3.553e-15,0.003
exact_surface,6,216,corner_111,8.00,1.16658262e-01,3.763e-03,3.714e-02,7.3357e-04,3.553e-15,0.003
exact_surface,6,216,face_to_face_twist45,1.00,4.56875775e+01,2.798e-04,6.053e-03,2.1449e-02,1.776e-15,0.003
exact_surface,6,216,face_to_face_twist45,2.99,8.96912604e+00,5.286e-04,1.154e-02,7.9481e-03,3.553e-15,0.003
exact_surface,6,216,face_to_face_twist45,8.00,4.52861766e-01,1.250e-03,1.641e-02,9.4866e-04,7.105e-15,0.002
exact_surface,8,384,face_to_face_100,1.00,4.73239634e+01,1.601e-05,9.315e-04,1.2711e-03,1.776e-15,0.006
exact_surface,8,384,face_to_face_100,2.99,9.19109864e+00,2.382e-05,9.889e-04,3.6723e-04,5.329e-15,0.006
exact_surface,8,384,face_to_face_100,8.00,4.58117560e-01,1.144e-04,1.389e-03,8.7932e-05,7.105e-15,0.005
exact_surface,8,384,face_edge_110,1.00,1.46695632e+01,2.331e-04,1.386e-03,5.7356e-03,3.553e-15,0.005
exact_surface,8,384,face_edge_110,2.99,3.33190715e+00,2.107e-04,2.456e-03,1.1780e-03,7.105e-15,0.003
exact_surface,8,384,face_edge_110,8.00,2.12126516e-01,3.005e-04,3.148e-03,1.0694e-04,1.066e-14,0.005
exact_surface,8,384,corner_111,1.00,5.54842777e+00,4.583e-04,5.640e-03,4.2676e-03,3.553e-15,0.005
exact_surface,8,384,corner_111,2.99,1.45188601e+00,6.411e-04,6.579e-03,1.5623e-03,7.105e-15,0.005
exact_surface,8,384,corner_111,8.00,1.16176847e-01,3.794e-04,4.127e-03,7.3957e-05,7.105e-15,0.005
exact_surface,8,384,face_to_face_twist45,1.00,4.57036882e+01,7.273e-05,3.526e-04,5.5751e-03,1.776e-15,0.005
exact_surface,8,384,face_to_face_twist45,2.99,8.96411760e+00,3.013e-05,5.584e-04,4.5305e-04,1.776e-15,0.005
exact_surface,8,384,face_to_face_twist45,8.00,4.52243027e-01,1.176e-04,1.366e-03,8.9213e-05,7.105e-15,0.004
exact_surface,12,864,face_to_face_100,1.00,4.73233619e+01,3.303e-06,1.271e-05,2.6216e-04,5.329e-15,0.012
exact_surface,12,864,face_to_face_100,2.99,9.19132914e+00,1.260e-06,2.508e-05,1.9424e-05,7.105e-15,0.011
exact_surface,12,864,face_to_face_100,8.00,4.58169714e-01,5.853e-07,1.138e-04,4.4979e-07,3.553e-15,0.017
exact_surface,12,864,face_edge_110,1.00,1.46662225e+01,5.361e-06,2.277e-04,1.3188e-04,3.553e-15,0.011
exact_surface,12,864,face_edge_110,2.99,3.33260798e+00,4.276e-07,2.103e-04,2.3904e-06,7.105e-15,0.011
exact_surface,12,864,face_edge_110,8.00,2.12189798e-01,2.220e-06,2.983e-04,7.9033e-07,1.066e-14,0.009
exact_surface,12,864,corner_111,1.00,5.55095579e+00,2.914e-06,4.556e-04,2.7129e-05,3.553e-15,0.011
exact_surface,12,864,corner_111,2.99,1.45280917e+00,5.683e-06,6.358e-04,1.3849e-05,7.105e-15,0.009
exact_surface,12,864,corner_111,8.00,1.16220591e-01,2.978e-06,3.765e-04,5.8052e-07,7.105e-15,0.008
exact_surface,12,864,face_to_face_twist45,1.00,4.57004140e+01,1.081e-06,7.164e-05,8.2894e-05,3.553e-15,0.011
exact_surface,12,864,face_to_face_twist45,2.99,8.96438964e+00,2.173e-07,3.035e-05,3.2676e-06,7.105e-15,0.010
exact_surface,12,864,face_to_face_twist45,8.00,4.52295909e-01,6.710e-07,1.169e-04,5.0911e-07,3.553e-15,0.009
exact_surface,16,1536,face_to_face_100,1.00,4.73232091e+01,7.273e-08,3.230e-06,5.7732e-06,3.553e-15,0.013
exact_surface,16,1536,face_to_face_100,2.99,9.19131779e+00,2.478e-08,1.235e-06,3.8208e-07,3.553e-15,0.017
exact_surface,16,1536,face_to_face_100,8.00,4.58169980e-01,3.493e-09,5.818e-07,2.6847e-09,7.105e-15,0.015
exact_surface,16,1536,face_edge_110,1.00,1.46661450e+01,7.694e-08,5.284e-06,1.8928e-06,7.105e-15,0.016
exact_surface,16,1536,face_edge_110,2.99,3.33260948e+00,2.145e-08,4.491e-07,1.1992e-07,5.329e-15,0.015
exact_surface,16,1536,face_edge_110,8.00,2.12190266e-01,1.699e-08,2.204e-06,6.0456e-09,7.105e-15,0.012
exact_surface,16,1536,corner_111,1.00,5.55097197e+00,7.597e-10,2.914e-06,7.0737e-09,7.105e-15,0.010
exact_surface,16,1536,corner_111,2.99,1.45281737e+00,3.480e-08,5.648e-06,8.4795e-08,7.105e-15,0.010
exact_surface,16,1536,corner_111,8.00,1.16220936e-01,1.604e-08,2.962e-06,3.1262e-09,7.105e-15,0.011
exact_surface,16,1536,face_to_face_twist45,1.00,4.57003651e+01,1.172e-08,1.070e-06,8.9866e-07,3.553e-15,0.018
exact_surface,16,1536,face_to_face_twist45,2.99,8.96438773e+00,5.277e-09,2.120e-07,7.9355e-08,3.553e-15,0.012
