level,volume_nodes,surface_nodes,configuration,gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,rel_change_attr,rel_change_rep,rel_change_pair,abs_change_pair_kBT,wall_seconds
cartesian4+facegl6,64,216,face_to_face_100,1.00,-2.22020901e+02,4.73680871e+01,-1.74652814e+02,nan,nan,nan,nan,0.003
cartesian4+facegl6,64,216,face_to_face_100,2.99,-2.22697925e+01,9.20019664e+00,-1.30695959e+01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_to_face_100,8.00,-1.43411155e+00,4.58754559e-01,-9.75356992e-01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_edge_110,1.00,-6.74868363e+01,1.46492622e+01,-5.28375741e+01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_edge_110,2.99,-5.74672795e+00,3.34010912e+00,-2.40661883e+00,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_edge_110,8.00,-5.02616691e-01,2.12796443e-01,-2.89820248e-01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,corner_111,1.00,-1.11443534e+01,5.57990034e+00,-5.56445309e+00,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,corner_111,2.99,-1.83151316e+00,1.46150107e+00,-3.70012090e-01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,corner_111,8.00,-2.45450185e-01,1.16658262e-01,-1.28791922e-01,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_to_face_twist45,1.00,-1.57446565e+02,4.56875775e+01,-1.11758987e+02,nan,nan,nan,nan,0.002
cartesian4+facegl6,64,216,face_to_face_twist45,2.99,-2.14461712e+01,8.96912604e+00,-1.24770451e+01,nan,nan,nan,nan,0.003
cartesian4+facegl6,64,216,face_to_face_twist45,8.00,-1.43245728e+00,4.52861766e-01,-9.79595510e-01,nan,nan,nan,nan,0.002
cartesian6+facegl8,216,384,face_to_face_100,1.00,-2.78901483e+02,4.73239634e+01,-2.31577519e+02,2.562e-01,9.315e-04,3.259e-01,9.549e+01,0.005
cartesian6+facegl8,216,384,face_to_face_100,2.99,-2.16482958e+01,9.19109864e+00,-1.24571972e+01,2.791e-02,9.889e-04,4.686e-02,1.027e+00,0.004
cartesian6+facegl8,216,384,face_to_face_100,8.00,-1.39253652e+00,4.58117560e-01,-9.34418958e-01,2.899e-02,1.389e-03,4.197e-02,6.867e-02,0.004
cartesian6+facegl8,216,384,face_edge_110,1.00,-3.19349105e+01,1.46695632e+01,-1.72653472e+01,5.268e-01,1.386e-03,6.732e-01,5.967e+01,0.004
cartesian6+facegl8,216,384,face_edge_110,2.99,-4.86746381e+00,3.33190715e+00,-1.53555666e+00,1.530e-01,2.456e-03,3.619e-01,1.461e+00,0.004
cartesian6+facegl8,216,384,face_edge_110,8.00,-4.87903594e-01,2.12126516e-01,-2.75777079e-01,2.927e-02,3.148e-03,4.845e-02,2.356e-02,0.004
cartesian6+facegl8,216,384,corner_111,1.00,-7.31800893e+00,5.54842777e+00,-1.76958116e+00,3.433e-01,5.640e-03,6.820e-01,6.366e+00,0.004
cartesian6+facegl8,216,384,corner_111,2.99,-1.68787242e+00,1.45188601e+00,-2.35986402e-01,7.843e-02,6.579e-03,3.622e-01,2.248e-01,0.004
cartesian6+facegl8,216,384,corner_111,8.00,-2.41538404e-01,1.16176847e-01,-1.25361557e-01,1.594e-02,4.127e-03,2.663e-02,5.754e-03,0.004
cartesian6+facegl8,216,384,face_to_face_twist45,1.00,-2.22590629e+02,4.57036882e+01,-1.76886941e+02,4.138e-01,3.526e-04,5.828e-01,1.092e+02,0.004
cartesian6+facegl8,216,384,face_to_face_twist45,2.99,-2.13670464e+01,8.96411760e+00,-1.24029288e+01,3.689e-03,5.584e-04,5.940e-03,1.243e-01,0.004
