block,scheme_or_r2_mode,n,nodes,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,rel_err_attr,rel_err_pair,wall_seconds
volume,midpoint,3,27,-1.13814150e+01,9.19131756e+00,-2.19009743e+00,4.4332e-01,8.0539e-01,0.041
volume,midpoint,4,64,-1.44772361e+01,9.19131756e+00,-5.28591849e+00,2.9190e-01,5.3030e-01,0.041
volume,midpoint,6,208,-1.78494499e+01,9.19131756e+00,-8.65813235e+00,1.2695e-01,2.3064e-01,0.043
volume,midpoint,8,504,-2.00862259e+01,9.19131756e+00,-1.08949084e+01,1.7550e-02,3.1884e-02,0.048
volume,midpoint,10,896,-1.89868307e+01,9.19131756e+00,-9.79551313e+00,7.1324e-02,1.2958e-01,0.066
volume,midpoint,12,1600,-2.01134739e+01,9.19131756e+00,-1.09221563e+01,1.6218e-02,2.9463e-02,0.112
volume,midpoint,14,2568,-2.08024107e+01,9.19131756e+00,-1.16110931e+01,1.7479e-02,3.1755e-02,0.203
volume,midpoint,16,3848,-2.12269319e+01,9.19131756e+00,-1.20356143e+01,3.8243e-02,6.9478e-02,0.423
volume,midpoint,20,7336,-2.07933721e+01,9.19131756e+00,-1.16020545e+01,1.7037e-02,3.0952e-02,1.390
volume,midpoint,24,12512,-2.05357062e+01,9.19131756e+00,-1.13443886e+01,4.4344e-03,8.0561e-03,4.083
volume,midpoint,28,19992,-2.08617023e+01,9.19131756e+00,-1.16703848e+01,2.0379e-02,3.7024e-02,10.072
volume,midpoint,32,29840,-2.08223934e+01,9.19131756e+00,-1.16310758e+01,1.8457e-02,3.3531e-02,22.691
volume,cartesian,3,27,-1.95631840e+01,9.19131756e+00,-1.03718664e+01,4.3133e-02,7.8362e-02,0.042
volume,cartesian,4,64,-2.22697925e+01,9.19131756e+00,-1.30784750e+01,8.9251e-02,1.6215e-01,0.040
volume,cartesian,6,216,-2.16482958e+01,9.19131756e+00,-1.24569783e+01,5.8853e-02,1.0692e-01,0.043
volume,cartesian,8,512,-2.10296814e+01,9.19131756e+00,-1.18383638e+01,2.8596e-02,5.1951e-02,0.049
volume,cartesian,10,1000,-2.07620412e+01,9.19131756e+00,-1.15707237e+01,1.5505e-02,2.8168e-02,0.068
volume,cartesian,12,1728,-2.06350741e+01,9.19131756e+00,-1.14437565e+01,9.2947e-03,1.6886e-02,0.127
volume,cartesian,14,2744,-2.05672561e+01,9.19131756e+00,-1.13759385e+01,5.9776e-03,1.0860e-02,0.227
volume,cartesian,16,4096,-2.05274961e+01,9.19131756e+00,-1.13361786e+01,4.0328e-03,7.3266e-03,0.463
volume,cartesian,20,8000,-2.04858699e+01,9.19131756e+00,-1.12945523e+01,1.9968e-03,3.6277e-03,1.733
volume,cartesian,24,13824,-2.04660975e+01,9.19131756e+00,-1.12747799e+01,1.0297e-03,1.8707e-03,4.810
volume,cartesian,28,21952,-2.04553974e+01,9.19131756e+00,-1.12640798e+01,5.0637e-04,9.1995e-04,12.616
volume,cartesian,32,32768,-2.04490587e+01,9.19131756e+00,-1.12577411e+01,1.9634e-04,3.5669e-04,28.064
surface,exact_surface,3,54,,8.73523067e+00,,,4.9621e-02,
surface,exact_surface,4,96,,9.02087599e+00,,,1.8544e-02,
surface,exact_surface,6,216,,9.20019664e+00,,,9.6603e-04,
surface,exact_surface,8,384,,9.19109864e+00,,,2.3819e-05,
surface,exact_surface,12,864,,9.19132914e+00,,,1.2599e-06,
surface,exact_surface,16,1536,,9.19131779e+00,,,2.4782e-08,
surface,exact_surface,24,3456,,9.19131756e+00,,,2.1503e-12,
surface,exact_surface,32,6144,,9.19131756e+00,,,0.0000e+00,
surface,nearest_element,3,54,,8.39848593e+00,,,8.6259e-02,
surface,nearest_element,4,96,,8.61108645e+00,,,6.3128e-02,
surface,nearest_element,6,216,,8.96136519e+00,,,2.5018e-02,
surface,nearest_element,8,384,,8.99795745e+00,,,2.1037e-02,
surface,nearest_element,12,864,,9.07624340e+00,,,1.2520e-02,
surface,nearest_element,16,1536,,9.12516194e+00,,,7.1976e-03,
surface,nearest_element,24,3456,,9.14863755e+00,,,4.6435e-03,
surface,nearest_element,32,6144,,9.16481546e+00,,,2.8834e-03,
