scheme,n_per_axis,volume_nodes,gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol
midpoint,3,27,0.3000,-8.46314540e+01,9.28835297e+01,8.25207567e+00
midpoint,3,27,0.4500,-7.31750771e+01,7.99700940e+01,6.79501689e+00
midpoint,3,27,0.6000,-6.36339418e+01,6.90536669e+01,5.41972504e+00
midpoint,3,27,0.7500,-5.56294563e+01,5.97956436e+01,4.16618734e+00
midpoint,3,27,0.9000,-4.88683159e+01,5.19196451e+01,3.05132920e+00
midpoint,3,27,1.0500,-4.31212203e+01,4.51992419e+01,2.07802159e+00
midpoint,3,27,1.2000,-3.82073543e+01,3.94482567e+01,1.24090240e+00
midpoint,3,27,1.3500,-3.39829634e+01,3.45130734e+01,5.30110039e-01
midpoint,3,27,1.5000,-3.03328648e+01,3.02665127e+01,-6.63520469e-02
midpoint,3,27,1.6500,-2.71640849e+01,2.66029371e+01,-5.61147791e-01
midpoint,3,27,1.8000,-2.44010493e+01,2.34343231e+01,-9.66726253e-01
midpoint,3,27,1.9500,-2.19819174e+01,2.06870984e+01,-1.29481894e+00
midpoint,3,27,2.1000,-1.98557670e+01,1.82995864e+01,-1.55618057e+00
midpoint,3,27,2.2500,-1.79804164e+01,1.62199329e+01,-1.76048345e+00
midpoint,3,27,2.4000,-1.63207262e+01,1.44044201e+01,-1.91630617e+00
midpoint,3,27,2.5500,-1.48472674e+01,1.28160895e+01,-2.03117798e+00
midpoint,3,27,2.7000,-1.35352684e+01,1.14236147e+01,-2.11165362e+00
midpoint,3,27,2.8500,-1.23637781e+01,1.02003755e+01,-2.16340259e+00
midpoint,3,27,3.0000,-1.13149969e+01,9.12369416e+00,-2.19130270e+00
midpoint,3,27,3.1500,-1.03737375e+01,8.17420553e+00,-2.19953195e+00
midpoint,3,27,3.3000,-9.52698931e+00,7.33533426e+00,-2.19165505e+00
midpoint,3,27,3.4500,-8.76356360e+00,6.59286068e+00,-2.17070292e+00
midpoint,3,27,3.6000,-8.07380343e+00,5.93455905e+00,-2.13924437e+00
midpoint,3,27,3.7500,-7.44934527e+00,5.34989543e+00,-2.09944984e+00
midpoint,3,27,3.9000,-6.88292212e+00,4.82977458e+00,-2.05314754e+00
midpoint,3,27,4.0500,-6.36820012e+00,4.36632748e+00,-2.00187264e+00
midpoint,3,27,4.2000,-5.89964249e+00,3.95273259e+00,-1.94690990e+00
midpoint,3,27,4.3500,-5.47239562e+00,3.58306501e+00,-1.88933061e+00
midpoint,3,27,4.5000,-5.08219344e+00,3.25216895e+00,-1.83002449e+00
midpoint,3,27,4.6500,-4.72527673e+00,2.95554973e+00,-1.76972700e+00
midpoint,3,27,4.8000,-4.39832487e+00,2.68928200e+00,-1.70904287e+00
midpoint,3,27,4.9500,-4.09839784e+00,2.44993167e+00,-1.64846617e+00
midpoint,3,27,5.1000,-3.82288684e+00,2.23448938e+00,-1.58839746e+00
midpoint,3,27,5.2500,-3.56947206e+00,2.04031359e+00,-1.52915847e+00
midpoint,3,27,5.4000,-3.33608644e+00,1.86508187e+00,-1.47100458e+00
midpoint,3,27,5.5500,-3.12088457e+00,1.70674917e+00,-1.41413540e+00
midpoint,3,27,5.7000,-2.92221580e+00,1.56351193e+00,-1.35870386e+00
midpoint,3,27,5.8500,-2.73860103e+00,1.43377715e+00,-1.30482388e+00
midpoint,3,27,6.0000,-2.56871261e+00,1.31613577e+00,-1.25257683e+00
midpoint,3,27,6.5000,-2.08708821e+00,9.96335174e-01,-1.09075304e+00
midpoint,3,27,7.0000,-1.70998669e+00,7.61955186e-01,-9.48031502e-01
midpoint,3,27,7.5000,-1.41174110e+00,5.88251091e-01,-8.23490014e-01
midpoint,3,27,8.0000,-1.17369324e+00,4.58169982e-01,-7.15523261e-01
midpoint,3,27,8.5000,-9.82094659e-01,3.59806847e-01,-6.22287812e-01
midpoint,3,27,9.0000,-8.26689421e-01,2.84749616e-01,-5.41939805e-01
midpoint,3,27,9.5000,-6.99740643e-01,2.26986839e-01,-4.72753804e-01
midpoint,3,27,10.0000,-5.95351459e-01,1.82176887e-01,-4.13174571e-01
midpoint,3,27,10.5000,-5.08984666e-01,1.47152793e-01,-3.61831874e-01
midpoint,3,27,11.0000,-4.37118529e-01,1.19582716e-01,-3.17535813e-01
midpoint,3,27,11.5000,-3.76997210e-01,9.77345125e-02,-2.79262697e-01
midpoint,3,27,12.0000,-3.26447831e-01,8.03107422e-02,-2.46137088e-01
midpoint,3,27,12.5000,-2.83745014e-01,6.63318895e-02,-2.17413125e-01
midpoint,3,27,13.0000,-2.47509633e-01,5.50529199e-02,-1.92456713e-01
midpoint,3,27,13.5000,-2.16632456e-01,4.59031250e-02,-1.70729331e-01
midpoint,3,27,14.0000,-1.90216110e-01,3.84423838e-02,-1.51773726e-01
midpoint,4,64,0.3000,-1.48127933e+02,9.28835297e+01,-5.52444031e+01
midpoint,4,64,0.4500,-1.23771097e+02,7.99700940e+01,-4.38010033e+01
midpoint,4,64,0.6000,-1.04391207e+02,6.90536669e+01,-3.53375401e+01
midpoint,4,64,0.7500,-8.87835614e+01,5.97956436e+01,-2.89879178e+01
midpoint,4,64,0.9000,-7.60757243e+01,5.19196451e+01,-2.41560792e+01
midpoint,4,64,1.0500,-6.56261573e+01,4.51992419e+01,-2.04269153e+01
midpoint,4,64,1.2000,-5.69563335e+01,3.94482567e+01,-1.75080768e+01
midpoint,4,64,1.3500,-4.97045388e+01,3.45130734e+01,-1.51914654e+01
midpoint,4,64,1.5000,-4.35939508e+01,3.02665127e+01,-1.33274380e+01
midpoint,4,64,1.6500,-3.84102624e+01,2.66029371e+01,-1.18073253e+01
midpoint,4,64,1.8000,-3.39857822e+01,2.34343231e+01,-1.05514591e+01
midpoint,4,64,1.9500,-3.01879873e+01,2.06870984e+01,-9.50088890e+00
midpoint,4,64,2.1000,-2.69111816e+01,1.82995864e+01,-8.61159523e+00
midpoint,4,64,2.2500,-2.40703442e+01,1.62199329e+01,-7.85041130e+00
midpoint,4,64,2.4000,-2.15965434e+01,1.44044201e+01,-7.19212334e+00
midpoint,4,64,2.5500,-1.94334817e+01,1.28160895e+01,-6.61739222e+00
midpoint,4,64,2.7000,-1.75348666e+01,1.14236147e+01,-6.11125182e+00
midpoint,4,64,2.8500,-1.58623916e+01,1.02003755e+01,-5.66201615e+00
midpoint,4,64,3.0000,-1.43841720e+01,9.12369416e+00,-5.26047785e+00
midpoint,4,64,3.1500,-1.30735221e+01,8.17420553e+00,-4.89931658e+00
midpoint,4,64,3.3000,-1.19079934e+01,7.33533426e+00,-4.57265911e+00
midpoint,4,64,3.4500,-1.08686109e+01,6.59286068e+00,-4.27575018e+00
midpoint,4,64,3.6000,-9.93926360e+00,5.93455905e+00,-4.00470455e+00
midpoint,4,64,3.7500,-9.10621456e+00,5.34989543e+00,-3.75631913e+00
midpoint,4,64,3.9000,-8.35770418e+00,4.82977458e+00,-3.52792961e+00
midpoint,4,64,4.0500,-7.68362797e+00,4.36632748e+00,-3.31730049e+00
midpoint,4,64,4.2000,-7.07527271e+00,3.95273259e+00,-3.12254012e+00
midpoint,4,64,4.3500,-6.52509969e+00,3.58306501e+00,-2.94203468e+00
midpoint,4,64,4.5000,-6.02656554e+00,3.25216895e+00,-2.77439659e+00
midpoint,4,64,4.6500,-5.57397364e+00,2.95554973e+00,-2.61842391e+00
midpoint,4,64,4.8000,-5.16235020e+00,2.68928200e+00,-2.47306820e+00
midpoint,4,64,4.9500,-4.78734060e+00,2.44993167e+00,-2.33740893e+00
midpoint,4,64,5.1000,-4.44512229e+00,2.23448938e+00,-2.21063291e+00
midpoint,4,64,5.2500,-4.13233136e+00,2.04031359e+00,-2.09201777e+00
midpoint,4,64,5.4000,-3.84600034e+00,1.86508187e+00,-1.98091847e+00
midpoint,4,64,5.5500,-3.58350548e+00,1.70674917e+00,-1.87675631e+00
midpoint,4,64,5.7000,-3.34252178e+00,1.56351193e+00,-1.77900985e+00
midpoint,4,64,5.8500,-3.12098460e+00,1.43377715e+00,-1.68720744e+00
midpoint,4,64,6.0000,-2.91705671e+00,1.31613577e+00,-1.60092094e+00
midpoint,4,64,6.5000,-2.34471124e+00,9.96335174e-01,-1.34837607e+00
midpoint,4,64,7.0000,-1.90300777e+00,7.61955186e-01,-1.14105259e+00
midpoint,4,64,7.5000,-1.55808475e+00,5.88251091e-01,-9.69833656e-01
midpoint,4,64,8.0000,-1.28585893e+00,4.58169982e-01,-8.27688951e-01
midpoint,4,64,8.5000,-1.06892750e+00,3.59806847e-01,-7.09120655e-01
midpoint,4,64,9.0000,-8.94533379e-01,2.84749616e-01,-6.09783762e-01
midpoint,4,64,9.5000,-7.53202605e-01,2.26986839e-01,-5.26215767e-01
midpoint,4,64,10.0000,-6.37815483e-01,1.82176887e-01,-4.55638596e-01
midpoint,4,64,10.5000,-5.42963145e-01,1.47152793e-01,-3.95810353e-01
midpoint,4,64,11.0000,-4.64495254e-01,1.19582716e-01,-3.44912538e-01
midpoint,4,64,11.5000,-3.99197725e-01,9.77345125e-02,-3.01463213e-01
midpoint,4,64,12.0000,-3.44560240e-01,8.03107422e-02,-2.64249497e-01
midpoint,4,64,12.5000,-2.98606580e-01,6.63318895e-02,-2.32274690e-01
midpoint,4,64,13.0000,-2.59769498e-01,5.50529199e-02,-2.04716578e-01
