volume_voxels,surface_elements,U_attr_at_2.99,U_rep_at_2.99,U_pair_at_2.99,max_Urep_over_Uattr,well_gap_nm,well_depth_kcalmol
27,386,-1.13836321e+01,9.03748972e+00,-2.34614237e+00,1.068132,3.0000,-2.34648
27,602,-1.13836321e+01,9.02674113e+00,-2.35689096e+00,1.080878,3.0000,-2.35696
27,866,-1.13836321e+01,9.07279040e+00,-2.31084170e+00,1.084264,3.0000,-2.31153
27,1538,-1.13836321e+01,9.13777007e+00,-2.24586203e+00,1.085011,3.1000,-2.24859
27,2402,-1.13836321e+01,9.14631305e+00,-2.23731904e+00,1.088011,3.1000,-2.24172
27,3458,-1.13836321e+01,9.16065317e+00,-2.22297892e+00,1.091143,3.1000,-2.22820
27,6146,-1.13836321e+01,9.17348808e+00,-2.21014401e+00,1.092779,3.1000,-2.21660
64,386,-1.44807030e+01,9.03748972e+00,-5.44321333e+00,0.680988,,
64,602,-1.44807030e+01,9.02674113e+00,-5.45396192e+00,0.683443,,
64,866,-1.44807030e+01,9.07279040e+00,-5.40791265e+00,0.682910,,
64,1538,-1.44807030e+01,9.13777007e+00,-5.34293298e+00,0.686848,,
64,2402,-1.44807030e+01,9.14631305e+00,-5.33438999e+00,0.690364,,
64,3458,-1.44807030e+01,9.16065317e+00,-5.32004988e+00,0.690817,,
64,6146,-1.44807030e+01,9.17348808e+00,-5.30721496e+00,0.692274,,
208,386,-1.78548375e+01,9.03748972e+00,-8.81734781e+00,0.507740,,
208,602,-1.78548375e+01,9.02674113e+00,-8.82809640e+00,0.507282,,
208,866,-1.78548375e+01,9.07279040e+00,-8.78204713e+00,0.509855,,
208,1538,-1.78548375e+01,9.13777007e+00,-8.71706746e+00,0.513136,,
208,2402,-1.78548375e+01,9.14631305e+00,-8.70852447e+00,0.513778,,
208,3458,-1.78548375e+01,9.16065317e+00,-8.69418436e+00,0.514559,,
208,6146,-1.78548375e+01,9.17348808e+00,-8.68134945e+00,0.515394,,
504,386,-2.00931310e+01,9.03748972e+00,-1.10556413e+01,0.451136,,
504,602,-2.00931310e+01,9.02674113e+00,-1.10663899e+01,0.451193,,
504,866,-2.00931310e+01,9.07279040e+00,-1.10203406e+01,0.452861,,
504,1538,-2.00931310e+01,9.13777007e+00,-1.09553609e+01,0.456296,,
504,2402,-2.00931310e+01,9.14631305e+00,-1.09468179e+01,0.456586,,
504,3458,-2.00931310e+01,9.16065317e+00,-1.09324778e+01,0.457346,,
504,6146,-2.00931310e+01,9.17348808e+00,-1.09196429e+01,0.457950,,
1600,386,-2.01209635e+01,9.03748972e+00,-1.10834738e+01,0.454106,,
1600,602,-2.01209635e+01,9.02674113e+00,-1.10942224e+01,0.454484,,
1600,866,-2.01209635e+01,9.07279040e+00,-1.10481731e+01,0.455836,,
1600,1538,-2.01209635e+01,9.13777007e+00,-1.09831934e+01,0.459365,,
1600,2402,-2.01209635e+01,9.14631305e+00,-1.09746504e+01,0.459591,,
1600,3458,-2.01209635e+01,9.16065317e+00,-1.09603103e+01,0.460445,,
1600,6146,-2.01209635e+01,9.17348808e+00,-1.09474754e+01,0.460961,,
3848,386,-2.12352933e+01,9.03748972e+00,-1.21978036e+01,0.434486,,
3848,602,-2.12352933e+01,9.02674113e+00,-1.22085521e+01,0.435104,,
3848,866,-2.12352933e+01,9.07279040e+00,-1.21625029e+01,0.436155,,
3848,1538,-2.12352933e+01,9.13777007e+00,-1.20975232e+01,0.439560,,
3848,2402,-2.12352933e+01,9.14631305e+00,-1.20889802e+01,0.439752,,
3848,3458,-2.12352933e+01,9.16065317e+00,-1.20746401e+01,0.440621,,
3848,6146,-2.12352933e+01,9.17348808e+00,-1.20618052e+01,0.441053,,
12512,386,-2.05438398e+01,9.03748972e+00,-1.15063501e+01,0.448641,,
12512,602,-2.05438398e+01,9.02674113e+00,-1.15170987e+01,0.449264,,
12512,866,-2.05438398e+01,9.07279040e+00,-1.14710494e+01,0.450349,,
12512,1538,-2.05438398e+01,9.13777007e+00,-1.14060698e+01,0.453864,,
12512,2402,-2.05438398e+01,9.14631305e+00,-1.13975268e+01,0.454067,,
12512,3458,-2.05438398e+01,9.16065317e+00,-1.13831867e+01,0.454961,,
12512,6146,-2.05438398e+01,9.17348808e+00,-1.13703518e+01,0.455414,,
