parameter_set,transfer_plan,edge_nm,direction,orientation,temperature_K,scale_s,beta_nm,K_W_nm6_kcalmol,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_J,U_pair_kBT,U_pair_per_particle_kBT
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,298.15,1.0,7.0375,5.279688e+04,16.000000,-1.033139e+01,6.981540e+00,-3.349848e+00,-2.327372e-20,-5.653896e+00,-2.826948e+00
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,298.15,2.0,7.0375,5.279688e+04,16.000000,-2.066278e+01,1.396308e+01,-6.699696e+00,-4.654745e-20,-1.130779e+01,-5.653896e+00
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,298.15,5.0,7.0375,5.279688e+04,16.000000,-5.165694e+01,3.490770e+01,-1.674924e+01,-1.163686e-19,-2.826948e+01,-1.413474e+01
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,300.00,1.0,7.0375,5.279688e+04,16.000000,-1.033139e+01,6.981540e+00,-3.349848e+00,-2.327372e-20,-5.619030e+00,-2.809515e+00
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,300.00,2.0,7.0375,5.279688e+04,16.000000,-2.066278e+01,1.396308e+01,-6.699696e+00,-4.654745e-20,-1.123806e+01,-5.619030e+00
singh_calibrated_si_mesh,plan1,13.00,100,co_oriented,300.00,5.0,7.0375,5.279688e+04,16.000000,-5.165694e+01,3.490770e+01,-1.674924e+01,-1.163686e-19,-2.809515e+01,-1.404758e+01
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,298.15,1.0,7.0375,5.279688e+04,16.000000,-1.012341e+01,6.588530e+00,-3.534885e+00,-2.455931e-20,-5.966202e+00,-2.983101e+00
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,298.15,2.0,7.0375,5.279688e+04,16.000000,-2.024683e+01,1.317706e+01,-7.069770e+00,-4.911861e-20,-1.193240e+01,-5.966202e+00
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,298.15,5.0,7.0375,5.279688e+04,16.000000,-5.061707e+01,3.294265e+01,-1.767443e+01,-1.227965e-19,-2.983101e+01,-1.491551e+01
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,300.00,1.0,7.0375,5.279688e+04,16.000000,-1.012341e+01,6.588530e+00,-3.534885e+00,-2.455931e-20,-5.929411e+00,-2.964705e+00
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,300.00,2.0,7.0375,5.279688e+04,16.000000,-2.024683e+01,1.317706e+01,-7.069770e+00,-4.911861e-20,-1.185882e+01,-5.929411e+00
singh_calibrated_si_mesh,plan1,13.00,100,twist45_about_axis,300.00,5.0,7.0375,5.279688e+04,16.000000,-5.061707e+01,3.294265e+01,-1.767443e+01,-1.227965e-19,-2.964705e+01,-1.482353e+01
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,298.15,1.0,7.0375,5.279688e+04,16.828505,-7.143136e+00,4.482391e+00,-2.660744e+00,-1.848604e-20,-4.490822e+00,-2.245411e+00
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,298.15,2.0,7.0375,5.279688e+04,16.828505,-1.428627e+01,8.964783e+00,-5.321489e+00,-3.697208e-20,-8.981644e+00,-4.490822e+00
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,298.15,5.0,7.0375,5.279688e+04,16.828505,-3.571568e+01,2.241196e+01,-1.330372e+01,-9.243021e-20,-2.245411e+01,-1.122705e+01
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,300.00,1.0,7.0375,5.279688e+04,16.828505,-7.143136e+00,4.482391e+00,-2.660744e+00,-1.848604e-20,-4.463128e+00,-2.231564e+00
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,300.00,2.0,7.0375,5.279688e+04,16.828505,-1.428627e+01,8.964783e+00,-5.321489e+00,-3.697208e-20,-8.926257e+00,-4.463128e+00
singh_calibrated_si_mesh,plan1,13.00,100,tilt15_about_z,300.00,5.0,7.0375,5.279688e+04,16.828505,-3.571568e+01,2.241196e+01,-1.330372e+01,-9.243021e-20,-2.231564e+01,-1.115782e+01
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,298.15,1.0,7.0375,5.279688e+04,16.000000,-1.033139e+01,6.981540e+00,-3.349848e+00,-2.327372e-20,-5.653896e+00,-2.826948e+00
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,298.15,2.0,7.0375,5.279688e+04,16.000000,-2.066278e+01,1.396308e+01,-6.699696e+00,-4.654745e-20,-1.130779e+01,-5.653896e+00
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,298.15,5.0,7.0375,5.279688e+04,16.000000,-5.165694e+01,3.490770e+01,-1.674924e+01,-1.163686e-19,-2.826948e+01,-1.413474e+01
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,300.00,1.0,7.0375,5.279688e+04,16.000000,-1.033139e+01,6.981540e+00,-3.349848e+00,-2.327372e-20,-5.619030e+00,-2.809515e+00
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,300.00,2.0,7.0375,5.279688e+04,16.000000,-2.066278e+01,1.396308e+01,-6.699696e+00,-4.654745e-20,-1.123806e+01,-5.619030e+00
singh_calibrated_si_mesh,plan1,13.00,100,rot90_about_z,300.00,5.0,7.0375,5.279688e+04,16.000000,-5.165694e+01,3.490770e+01,-1.674924e+01,-1.163686e-19,-2.809515e+01,-1.404758e+01
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,298.15,1.0,7.0375,5.279688e+04,19.378974,-3.688632e+00,2.528392e+00,-1.160240e+00,-8.060992e-21,-1.958260e+00,-9.791301e-01
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,298.15,2.0,7.0375,5.279688e+04,19.378974,-7.377263e+00,5.056784e+00,-2.320479e+00,-1.612198e-20,-3.916520e+00,-1.958260e+00
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,298.15,5.0,7.0375,5.279688e+04,19.378974,-1.844316e+01,1.264196e+01,-5.801198e+00,-4.030496e-20,-9.791301e+00,-4.895650e+00
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,300.00,1.0,7.0375,5.279688e+04,19.378974,-3.688632e+00,2.528392e+00,-1.160240e+00,-8.060992e-21,-1.946184e+00,-9.730921e-01
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,300.00,2.0,7.0375,5.279688e+04,19.378974,-7.377263e+00,5.056784e+00,-2.320479e+00,-1.612198e-20,-3.892368e+00,-1.946184e+00
singh_calibrated_si_mesh,plan1,13.00,110,co_oriented,300.00,5.0,7.0375,5.279688e+04,19.378974,-1.844316e+01,1.264196e+01,-5.801198e+00,-4.030496e-20,-9.730921e+00,-4.865461e+00
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,298.15,1.0,7.0375,5.279688e+04,21.749244,-1.684293e+00,1.097332e+00,-5.869606e-01,-4.078024e-21,-9.906760e-01,-4.953380e-01
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,298.15,2.0,7.0375,5.279688e+04,21.749244,-3.368586e+00,2.194664e+00,-1.173921e+00,-8.156047e-21,-1.981352e+00,-9.906760e-01
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,298.15,5.0,7.0375,5.279688e+04,21.749244,-8.421464e+00,5.486661e+00,-2.934803e+00,-2.039012e-20,-4.953380e+00,-2.476690e+00
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,300.00,1.0,7.0375,5.279688e+04,21.749244,-1.684293e+00,1.097332e+00,-5.869606e-01,-4.078024e-21,-9.845668e-01,-4.922834e-01
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,300.00,2.0,7.0375,5.279688e+04,21.749244,-3.368586e+00,2.194664e+00,-1.173921e+00,-8.156047e-21,-1.969134e+00,-9.845668e-01
singh_calibrated_si_mesh,plan1,13.00,111,co_oriented,300.00,5.0,7.0375,5.279688e+04,21.749244,-8.421464e+00,5.486661e+00,-2.934803e+00,-2.039012e-20,-4.922834e+00,-2.461417e+00
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,298.15,1.0,7.0375,1.835135e+05,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,1.269628e-19,3.084314e+01,1.542157e+01
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,298.15,2.0,7.0375,1.835135e+05,19.000000,-2.927271e+01,6.582090e+01,3.654819e+01,2.539257e-19,6.168627e+01,3.084314e+01
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,298.15,5.0,7.0375,1.835135e+05,19.000000,-7.318177e+01,1.645522e+02,9.137047e+01,6.348142e-19,1.542157e+02,7.710784e+01
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,300.00,1.0,7.0375,1.835135e+05,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,1.269628e-19,3.065294e+01,1.532647e+01
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,300.00,2.0,7.0375,1.835135e+05,19.000000,-2.927271e+01,6.582090e+01,3.654819e+01,2.539257e-19,6.130588e+01,3.065294e+01
singh_calibrated_si_mesh,plan1,16.00,100,co_oriented,300.00,5.0,7.0375,1.835135e+05,19.000000,-7.318177e+01,1.645522e+02,9.137047e+01,6.348142e-19,1.532647e+02,7.663234e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,298.15,1.0,7.0375,1.835135e+05,19.000000,-1.421893e+01,3.031930e+01,1.610037e+01,1.118605e-19,2.717431e+01,1.358716e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,298.15,2.0,7.0375,1.835135e+05,19.000000,-2.843786e+01,6.063861e+01,3.220074e+01,2.237210e-19,5.434863e+01,2.717431e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,298.15,5.0,7.0375,1.835135e+05,19.000000,-7.109466e+01,1.515965e+02,8.050186e+01,5.593024e-19,1.358716e+02,6.793578e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,300.00,1.0,7.0375,1.835135e+05,19.000000,-1.421893e+01,3.031930e+01,1.610037e+01,1.118605e-19,2.700674e+01,1.350337e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,300.00,2.0,7.0375,1.835135e+05,19.000000,-2.843786e+01,6.063861e+01,3.220074e+01,2.237210e-19,5.401348e+01,2.700674e+01
singh_calibrated_si_mesh,plan1,16.00,100,twist45_about_axis,300.00,5.0,7.0375,1.835135e+05,19.000000,-7.109466e+01,1.515965e+02,8.050186e+01,5.593024e-19,1.350337e+02,6.751685e+01
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,298.15,1.0,7.0375,1.835135e+05,20.019576,-9.909582e+00,1.944284e+01,9.533261e+00,6.623419e-20,1.609030e+01,8.045150e+00
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,298.15,2.0,7.0375,1.835135e+05,20.019576,-1.981916e+01,3.888569e+01,1.906652e+01,1.324684e-19,3.218060e+01,1.609030e+01
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,298.15,5.0,7.0375,1.835135e+05,20.019576,-4.954791e+01,9.721422e+01,4.766630e+01,3.311710e-19,8.045150e+01,4.022575e+01
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,300.00,1.0,7.0375,1.835135e+05,20.019576,-9.909582e+00,1.944284e+01,9.533261e+00,6.623419e-20,1.599108e+01,7.995538e+00
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,300.00,2.0,7.0375,1.835135e+05,20.019576,-1.981916e+01,3.888569e+01,1.906652e+01,1.324684e-19,3.198215e+01,1.599108e+01
singh_calibrated_si_mesh,plan1,16.00,100,tilt15_about_z,300.00,5.0,7.0375,1.835135e+05,20.019576,-4.954791e+01,9.721422e+01,4.766630e+01,3.311710e-19,7.995538e+01,3.997769e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,298.15,1.0,7.0375,1.835135e+05,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,1.269628e-19,3.084314e+01,1.542157e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,298.15,2.0,7.0375,1.835135e+05,19.000000,-2.927271e+01,6.582090e+01,3.654819e+01,2.539257e-19,6.168627e+01,3.084314e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,298.15,5.0,7.0375,1.835135e+05,19.000000,-7.318177e+01,1.645522e+02,9.137047e+01,6.348142e-19,1.542157e+02,7.710784e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,300.00,1.0,7.0375,1.835135e+05,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,1.269628e-19,3.065294e+01,1.532647e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,300.00,2.0,7.0375,1.835135e+05,19.000000,-2.927271e+01,6.582090e+01,3.654819e+01,2.539257e-19,6.130588e+01,3.065294e+01
singh_calibrated_si_mesh,plan1,16.00,100,rot90_about_z,300.00,5.0,7.0375,1.835135e+05,19.000000,-7.318177e+01,1.645522e+02,9.137047e+01,6.348142e-19,1.532647e+02,7.663234e+01
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,298.15,1.0,7.0375,1.835135e+05,23.158737,-5.225471e+00,1.059151e+01,5.366040e+00,3.728161e-20,9.056838e+00,4.528419e+00
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,298.15,2.0,7.0375,1.835135e+05,23.158737,-1.045094e+01,2.118302e+01,1.073208e+01,7.456323e-20,1.811368e+01,9.056838e+00
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,298.15,5.0,7.0375,1.835135e+05,23.158737,-2.612736e+01,5.295756e+01,2.683020e+01,1.864081e-19,4.528419e+01,2.264210e+01
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,300.00,1.0,7.0375,1.835135e+05,23.158737,-5.225471e+00,1.059151e+01,5.366040e+00,3.728161e-20,9.000988e+00,4.500494e+00
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,300.00,2.0,7.0375,1.835135e+05,23.158737,-1.045094e+01,2.118302e+01,1.073208e+01,7.456323e-20,1.800198e+01,9.000988e+00
singh_calibrated_si_mesh,plan1,16.00,110,co_oriented,300.00,5.0,7.0375,1.835135e+05,23.158737,-2.612736e+01,5.295756e+01,2.683020e+01,1.864081e-19,4.500494e+01,2.250247e+01
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,298.15,1.0,7.0375,1.835135e+05,26.075993,-2.380614e+00,4.099217e+00,1.718603e+00,1.194033e-20,2.900670e+00,1.450335e+00
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,298.15,2.0,7.0375,1.835135e+05,26.075993,-4.761227e+00,8.198434e+00,3.437206e+00,2.388066e-20,5.801339e+00,2.900670e+00
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,298.15,5.0,7.0375,1.835135e+05,26.075993,-1.190307e+01,2.049608e+01,8.593015e+00,5.970165e-20,1.450335e+01,7.251674e+00
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,300.00,1.0,7.0375,1.835135e+05,26.075993,-2.380614e+00,4.099217e+00,1.718603e+00,1.194033e-20,2.882782e+00,1.441391e+00
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,300.00,2.0,7.0375,1.835135e+05,26.075993,-4.761227e+00,8.198434e+00,3.437206e+00,2.388066e-20,5.765564e+00,2.882782e+00
singh_calibrated_si_mesh,plan1,16.00,111,co_oriented,300.00,5.0,7.0375,1.835135e+05,26.075993,-1.190307e+01,2.049608e+01,8.593015e+00,5.970165e-20,1.441391e+01,7.206955e+00
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,298.15,1.0,7.0375,6.013895e+05,22.500000,-1.961224e+01,1.451237e+02,1.255115e+02,8.720157e-19,2.118391e+02,1.059196e+02
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,298.15,2.0,7.0375,6.013895e+05,22.500000,-3.922447e+01,2.902475e+02,2.510230e+02,1.744031e-18,4.236783e+02,2.118391e+02
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,298.15,5.0,7.0375,6.013895e+05,22.500000,-9.806118e+01,7.256187e+02,6.275575e+02,4.360079e-18,1.059196e+03,5.295979e+02
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,300.00,1.0,7.0375,6.013895e+05,22.500000,-1.961224e+01,1.451237e+02,1.255115e+02,8.720157e-19,2.105328e+02,1.052664e+02
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,300.00,2.0,7.0375,6.013895e+05,22.500000,-3.922447e+01,2.902475e+02,2.510230e+02,1.744031e-18,4.210656e+02,2.105328e+02
singh_calibrated_si_mesh,plan1,19.50,100,co_oriented,300.00,5.0,7.0375,6.013895e+05,22.500000,-9.806118e+01,7.256187e+02,6.275575e+02,4.360079e-18,1.052664e+03,5.263320e+02
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,298.15,1.0,7.0375,6.013895e+05,22.500000,-1.886574e+01,1.295490e+02,1.106833e+02,7.689935e-19,1.868119e+02,9.340596e+01
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,298.15,2.0,7.0375,6.013895e+05,22.500000,-3.773148e+01,2.590980e+02,2.213665e+02,1.537987e-18,3.736238e+02,1.868119e+02
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,298.15,5.0,7.0375,6.013895e+05,22.500000,-9.432871e+01,6.477450e+02,5.534163e+02,3.844968e-18,9.340596e+02,4.670298e+02
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,300.00,1.0,7.0375,6.013895e+05,22.500000,-1.886574e+01,1.295490e+02,1.106833e+02,7.689935e-19,1.856599e+02,9.282996e+01
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,300.00,2.0,7.0375,6.013895e+05,22.500000,-3.773148e+01,2.590980e+02,2.213665e+02,1.537987e-18,3.713198e+02,1.856599e+02
singh_calibrated_si_mesh,plan1,19.50,100,twist45_about_axis,300.00,5.0,7.0375,6.013895e+05,22.500000,-9.432871e+01,6.477450e+02,5.534163e+02,3.844968e-18,9.282996e+02,4.641498e+02
singh_calibrated_si_mesh,plan1,19.50,100,tilt15_about_z,298.15,1.0,7.0375,6.013895e+05,23.742490,-1.302231e+01,7.839750e+01,6.537519e+01,4.542069e-19,1.103407e+02,5.517034e+01
singh_calibrated_si_mesh,plan1,19.50,100,tilt15_about_z,298.15,2.0,7.0375,6.013895e+05,23.742490,-2.604463e+01,1.567950e+02,1.307504e+02,9.084138e-19,2.206813e+02,1.103407e+02
singh_calibrated_si_mesh,plan1,19.50,100,tilt15_about_z,298.15,5.0,7.0375,6.013895e+05,23.742490,-6.511157e+01,3.919875e+02,3.268759e+02,2.271034e-18,5.517034e+02,2.758517e+02
