parameter_set,transfer_plan,edge_nm,beta_nm,well_gap_nm,well_gap_over_a,well_depth_U_pair_kcalmol,well_depth_per_particle_kcalmol,well_depth_U_pair_kBT_298p15,well_depth_U_pair_J
singh_calibrated_si_mesh,plan1,13.00,7.0375,none,,-11.64240,-5.82120,-19.65011,-8.08878e-20
singh_calibrated_si_mesh,plan1,16.00,7.0375,9.7273,0.6080,-0.34096,-0.17048,-0.57548,-2.36892e-21
singh_calibrated_si_mesh,plan1,19.50,7.0375,none,,-0.11943,-0.05971,-0.20157,-8.29760e-22
singh_calibrated_si_mesh,plan2,13.00,6.8427,2.9093,0.2238,-2.25148,-1.12574,-3.80006,-1.56426e-20
singh_calibrated_si_mesh,plan2,16.00,8.4218,3.5807,0.2238,-2.25148,-1.12574,-3.80006,-1.56426e-20
singh_calibrated_si_mesh,plan2,19.50,10.2641,4.3640,0.2238,-2.25148,-1.12574,-3.80006,-1.56426e-20
singh_calibrated_si_mesh,plan3,13.00,7.0375,3.3001,0.2539,-1.74945,-0.87473,-2.95274,-1.21547e-20
singh_calibrated_si_mesh,plan3,16.00,7.0375,3.6224,0.2264,-3.21876,-1.60938,-5.43265,-2.23630e-20
singh_calibrated_si_mesh,plan3,19.50,7.0375,3.9732,0.2038,-4.92141,-2.46070,-8.30639,-3.41925e-20
singh_calibrated_continuum,plan1,13.00,3.7296,none,,-12355.47748,-6177.73874,-20853.65626,-8.58421e-17
singh_calibrated_continuum,plan1,16.00,3.7296,none,,-23883.07655,-11941.53828,-40310.01389,-1.65932e-16
singh_calibrated_continuum,plan1,19.50,3.7296,none,,-41528.90692,-20764.45346,-70092.76259,-2.88530e-16
singh_calibrated_continuum,plan2,13.00,3.6264,none,,-12294.80299,-6147.40150,-20751.24946,-8.54205e-17
singh_calibrated_continuum,plan2,16.00,4.4632,none,,-24840.79759,-12420.39880,-41926.46177,-1.72586e-16
singh_calibrated_continuum,plan2,19.50,5.4396,none,,-47102.71089,-23551.35544,-79500.26564,-3.27255e-16
singh_calibrated_continuum,plan3,13.00,3.7296,none,,-12292.50397,-6146.25199,-20747.36916,-8.54046e-17
singh_calibrated_continuum,plan3,16.00,3.7296,none,,-24730.74638,-12365.37319,-41740.71660,-1.71822e-16
singh_calibrated_continuum,plan3,19.50,3.7296,none,,-46835.84510,-23417.92255,-79049.84779,-3.25401e-16
singh_literature,plan1,13.00,9.5600,none,,-246.84098,-123.42049,-416.61984,-1.71498e-18
singh_literature,plan1,16.00,9.5600,8.8254,0.5516,-1.12660,-0.56330,-1.90148,-7.82725e-21
singh_literature,plan1,19.50,9.5600,none,,0.02565,0.01283,0.04330,1.78232e-22
singh_literature,plan2,13.00,9.2954,none,,-224.71755,-112.35878,-379.27977,-1.56127e-18
singh_literature,plan2,16.00,11.4405,none,,-235.13228,-117.56614,-396.85781,-1.63363e-18
singh_literature,plan2,19.50,13.9432,none,,-243.65543,-121.82771,-411.24323,-1.69284e-18
singh_literature,plan3,13.00,9.5600,none,,-224.21745,-112.10872,-378.43568,-1.55779e-18
singh_literature,plan3,16.00,9.5600,none,,-194.71039,-97.35519,-328.63347,-1.35279e-18
singh_literature,plan3,19.50,9.5600,none,,-148.36327,-74.18164,-250.40851,-1.03078e-18
