parameter_set,transfer_plan,comparison_mode,edge_nm,gap_nm,gap_over_a,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_kBT_298p15
singh_calibrated_si_mesh,plan1,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-1.033139e+01,6.981540e+00,-3.349848e+00,-5.653896e+00
singh_calibrated_si_mesh,plan1,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-1.463635e+01,1.069399e+01,-3.942363e+00,-6.653946e+00
singh_calibrated_si_mesh,plan3,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-1.033139e+01,8.610167e+00,-1.721221e+00,-2.905088e+00
singh_calibrated_si_mesh,plan3,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-1.463635e+01,1.318864e+01,-1.447709e+00,-2.443453e+00
singh_calibrated_si_mesh,plan1,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,3.084314e+01
singh_calibrated_si_mesh,plan1,fixed_reduced_gap_D_over_a,16.00,3.0000,0.18750,19.000000,-1.463635e+01,3.291045e+01,1.827409e+01,3.084314e+01
singh_calibrated_si_mesh,plan3,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-1.463635e+01,1.167708e+01,-2.959270e+00,-4.994676e+00
singh_calibrated_si_mesh,plan3,fixed_reduced_gap_D_over_a,16.00,3.0000,0.18750,19.000000,-1.463635e+01,1.167708e+01,-2.959270e+00,-4.994676e+00
singh_calibrated_si_mesh,plan1,fixed_physical_gap_3nm,19.50,3.0000,0.15385,22.500000,-1.961224e+01,1.451237e+02,1.255115e+02,2.118391e+02
singh_calibrated_si_mesh,plan1,fixed_reduced_gap_D_over_a,19.50,3.6562,0.18750,23.156250,-1.463635e+01,9.045504e+01,7.581868e+01,1.279673e+02
singh_calibrated_si_mesh,plan3,fixed_physical_gap_3nm,19.50,3.0000,0.15385,22.500000,-1.961224e+01,1.571272e+01,-3.899520e+00,-6.581635e+00
singh_calibrated_si_mesh,plan3,fixed_reduced_gap_D_over_a,19.50,3.6562,0.18750,23.156250,-1.463635e+01,9.793672e+00,-4.842682e+00,-8.173510e+00
singh_calibrated_continuum,plan1,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-7.625725e+00,4.741936e+00,-2.883789e+00,-4.867278e+00
singh_calibrated_continuum,plan1,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-1.245461e+01,9.120532e+00,-3.334081e+00,-5.627284e+00
singh_calibrated_continuum,plan3,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-7.625725e+00,5.848117e+00,-1.777608e+00,-3.000259e+00
singh_calibrated_continuum,plan3,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-1.245461e+01,1.124813e+01,-1.206478e+00,-2.036301e+00
singh_calibrated_continuum,plan1,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-1.245461e+01,2.268854e+01,1.023392e+01,1.727288e+01
singh_calibrated_continuum,plan1,fixed_reduced_gap_D_over_a,16.00,3.0000,0.18750,19.000000,-1.245461e+01,2.268854e+01,1.023392e+01,1.727288e+01
singh_calibrated_continuum,plan3,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-1.245461e+01,8.050207e+00,-4.404405e+00,-7.433784e+00
singh_calibrated_continuum,plan3,fixed_reduced_gap_D_over_a,16.00,3.0000,0.18750,19.000000,-1.245461e+01,8.050207e+00,-4.404405e+00,-7.433784e+00
singh_calibrated_continuum,plan1,fixed_physical_gap_3nm,19.50,3.0000,0.15385,22.500000,-1.949733e+01,1.013286e+02,8.183129e+01,1.381154e+02
singh_calibrated_continuum,plan1,fixed_reduced_gap_D_over_a,19.50,3.6562,0.18750,23.156250,-1.245461e+01,5.023112e+01,3.777651e+01,6.375944e+01
singh_calibrated_continuum,plan3,fixed_physical_gap_3nm,19.50,3.0000,0.15385,22.500000,-1.949733e+01,1.097097e+01,-8.526362e+00,-1.439085e+01
singh_calibrated_continuum,plan3,fixed_reduced_gap_D_over_a,19.50,3.6562,0.18750,23.156250,-1.245461e+01,5.438582e+00,-7.016031e+00,-1.184170e+01
singh_literature,plan1,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-3.979246e+01,1.545823e+01,-2.433423e+01,-4.107148e+01
singh_literature,plan1,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-5.637351e+01,2.163712e+01,-3.473638e+01,-5.862830e+01
singh_literature,plan3,fixed_physical_gap_3nm,13.00,3.0000,0.23077,16.000000,-3.979246e+01,1.906427e+01,-2.072819e+01,-3.498518e+01
singh_literature,plan3,fixed_reduced_gap_D_over_a,13.00,2.4375,0.18750,15.437500,-5.637351e+01,2.668455e+01,-2.968896e+01,-5.010922e+01
singh_literature,plan1,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-5.637351e+01,7.233355e+01,1.596004e+01,2.693746e+01
singh_literature,plan1,fixed_reduced_gap_D_over_a,16.00,3.0000,0.18750,19.000000,-5.637351e+01,7.233355e+01,1.596004e+01,2.693746e+01
singh_literature,plan3,fixed_physical_gap_3nm,16.00,3.0000,0.18750,19.000000,-5.637351e+01,2.566495e+01,-3.070856e+01,-5.183011e+01
