R_nm,E_kcalmol_per_NC_axis,halfwidth_kcalmol
0.038153,12.419355,1.266428
0.057230,12.419355,1.266428
0.076307,12.419355,1.266428
0.095383,12.658303,0.788530
0.114460,12.658303,0.788530
0.133537,12.658303,0.788530
0.152614,12.658303,0.788530
0.171690,13.016726,0.023895
0.190767,13.016726,0.023895
0.209844,13.016726,0.023895
0.228920,10.304659,0.824373
0.247997,10.304659,0.824373
0.267074,10.304659,0.824373
0.286150,9.217443,0.621266
0.305227,9.217443,0.621266
0.324304,9.217443,0.621266
0.343380,9.217443,0.621266
0.362457,8.309438,0.740741
0.381534,8.309438,0.740741
0.400610,8.309438,0.740741
0.419687,7.353644,0.669056
0.438764,7.353644,0.669056
0.457841,7.353644,0.669056
0.476917,6.433692,0.633214
0.495994,6.433692,0.633214
0.515071,6.433692,0.633214
0.534147,6.433692,0.633214
0.553224,5.716846,0.537634
0.572301,5.716846,0.537634
0.591377,5.716846,0.537634
0.610454,5.000000,0.537634
0.629531,5.000000,0.537634
0.648607,5.000000,0.537634
0.667684,4.318996,0.501792
0.686761,4.318996,0.501792
0.705837,4.318996,0.501792
0.724914,4.318996,0.501792
0.743991,3.685783,0.418160
0.763068,3.685783,0.418160
0.782144,3.685783,0.418160
0.801221,3.124253,0.430108
0.820298,3.124253,0.430108
0.839374,3.124253,0.430108
0.858451,2.658303,0.346476
0.877528,2.658303,0.346476
0.896604,2.658303,0.346476
0.915681,2.658303,0.346476
0.934758,2.216249,0.310633
0.953834,2.216249,0.310633
0.972911,2.216249,0.310633
0.991988,1.738351,0.310633
1.011064,1.738351,0.310633
1.030141,1.738351,0.310633
1.049218,1.379928,0.262843
1.068295,1.379928,0.262843
1.087371,1.379928,0.262843
1.106448,1.379928,0.262843
1.125525,0.973716,0.262843
1.144601,0.973716,0.262843
1.163678,0.973716,0.262843
1.182755,0.663082,0.262843
1.201831,0.663082,0.262843
1.220908,0.663082,0.262843
1.239985,0.340502,0.179211
1.259061,0.340502,0.179211
1.278138,0.340502,0.179211
1.297215,0.340502,0.179211
1.316291,0.101553,0.179211
1.335368,0.101553,0.179211
1.354445,0.101553,0.179211
1.373522,-0.137395,0.179211
1.392598,-0.137395,0.179211
1.411675,-0.137395,0.179211
1.430752,-0.376344,0.179211
1.449828,-0.376344,0.179211
1.468905,-0.376344,0.179211
1.487982,-0.376344,0.179211
1.507058,-0.615293,0.179211
1.526135,-0.615293,0.179211
1.545212,-0.615293,0.179211
1.564288,-0.818399,0.143369
1.583365,-0.818399,0.143369
1.602442,-0.818399,0.143369
1.621519,-0.973716,0.155317
1.640595,-0.973716,0.155317
1.659672,-0.973716,0.155317
1.678749,-0.973716,0.155317
1.697825,-1.129032,0.143369
1.716902,-1.129032,0.143369
1.735979,-1.129032,0.143369
1.755055,-1.332139,0.107527
1.774132,-1.332139,0.107527
1.793209,-1.332139,0.107527
1.812285,-1.403823,0.107527
1.831362,-1.403823,0.107527
1.850439,-1.403823,0.107527
1.869515,-1.403823,0.107527
1.888592,-1.535245,0.071685
1.907669,-1.535245,0.071685
1.926746,-1.535245,0.071685
1.945822,-1.571087,0.035842
1.964899,-1.571087,0.035842
1.983976,-1.571087,0.035842
2.193819,-1.893668,0.023895
2.212896,-1.893668,0.023895
2.231973,-1.893668,0.023895
2.251049,-1.893668,0.023895
2.327356,-2.084827,0.071685
2.346433,-2.084827,0.071685
2.365509,-2.084827,0.071685
2.384586,-2.084827,0.071685
2.403663,-2.084827,0.071685
2.422739,-2.084827,0.071685
2.441816,-2.084827,0.071685
2.460893,-2.168459,0.059737
2.479969,-2.168459,0.059737
2.499046,-2.168459,0.059737
2.518123,-2.204301,0.023895
2.537200,-2.204301,0.023895
2.556276,-2.204301,0.023895
2.575353,-2.252091,0.071685
2.594430,-2.252091,0.071685
2.613506,-2.252091,0.071685
2.632583,-2.252091,0.071685
2.651660,-2.252091,0.071685
2.670736,-2.252091,0.071685
2.689813,-2.252091,0.071685
2.708890,-2.252091,0.071685
2.727966,-2.252091,0.071685
2.747043,-2.252091,0.071685
2.766120,-2.287933,0.035842
2.785196,-2.287933,0.035842
2.804273,-2.287933,0.035842
2.823350,-2.287933,0.035842
2.842427,-2.287933,0.035842
2.861503,-2.287933,0.035842
2.880580,-2.287933,0.035842
2.899657,-2.323775,0.071685
2.918733,-2.323775,0.071685
2.937810,-2.323775,0.071685
2.956887,-2.204301,0.023895
2.975963,-2.204301,0.023895
2.995040,-2.204301,0.023895
3.014117,-2.204301,0.023895
