gap_nm,centre_distance_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_J,U_pair_kBT_300K
0.2000,13.570000,-3.603982e+02,1.246446e+02,-2.357537e+02,-1.178768e+02,-1.637945e-18,-3.954528e+02
0.2500,13.620000,-3.426280e+02,1.201698e+02,-2.224581e+02,-1.112291e+02,-1.545571e-18,-3.731509e+02
0.3000,13.670000,-3.259673e+02,1.158716e+02,-2.100957e+02,-1.050478e+02,-1.459681e-18,-3.524142e+02
0.3500,13.720000,-3.103324e+02,1.117424e+02,-1.985900e+02,-9.929502e+01,-1.379743e-18,-3.331146e+02
0.4000,13.770000,-2.956472e+02,1.077752e+02,-1.878720e+02,-9.393599e+01,-1.305277e-18,-3.151362e+02
0.4500,13.820000,-2.818418e+02,1.039633e+02,-1.778785e+02,-8.893926e+01,-1.235846e-18,-2.983731e+02
0.5000,13.870000,-2.688524e+02,1.003001e+02,-1.685523e+02,-8.427617e+01,-1.171050e-18,-2.827294e+02
0.5500,13.920000,-2.566207e+02,9.677944e+01,-1.598412e+02,-7.992062e+01,-1.110528e-18,-2.681175e+02
0.6000,13.970000,-2.450931e+02,9.339544e+01,-1.516976e+02,-7.584880e+01,-1.053949e-18,-2.544573e+02
0.6500,14.020000,-2.342204e+02,9.014239e+01,-1.440780e+02,-7.203898e+01,-1.001010e-18,-2.416762e+02
0.7000,14.070000,-2.239575e+02,8.701486e+01,-1.369426e+02,-6.847131e+01,-9.514357e-19,-2.297073e+02
0.7500,14.120000,-2.142629e+02,8.400763e+01,-1.302553e+02,-6.512764e+01,-9.049740e-19,-2.184900e+02
0.8000,14.170000,-2.050984e+02,8.111572e+01,-1.239827e+02,-6.199135e+01,-8.613940e-19,-2.079684e+02
0.8500,14.220000,-1.964288e+02,7.833438e+01,-1.180944e+02,-5.904722e+01,-8.204842e-19,-1.980914e+02
0.9000,14.270000,-1.882216e+02,7.565903e+01,-1.125626e+02,-5.628130e+01,-7.820507e-19,-1.888123e+02
0.9500,14.320000,-1.804469e+02,7.308532e+01,-1.073616e+02,-5.368079e+01,-7.459156e-19,-1.800882e+02
1.0000,14.370000,-1.730769e+02,7.060905e+01,-1.024679e+02,-5.123394e+01,-7.119156e-19,-1.718794e+02
1.0500,14.420000,-1.660861e+02,6.822623e+01,-9.785984e+01,-4.892992e+01,-6.799004e-19,-1.641499e+02
1.1000,14.470000,-1.594506e+02,6.593304e+01,-9.351761e+01,-4.675880e+01,-6.497319e-19,-1.568663e+02
1.1500,14.520000,-1.531487e+02,6.372581e+01,-8.942287e+01,-4.471143e+01,-6.212829e-19,-1.499978e+02
1.2000,14.570000,-1.471598e+02,6.160103e+01,-8.555875e+01,-4.277938e+01,-5.944361e-19,-1.435161e+02
1.2500,14.620000,-1.414651e+02,5.955536e+01,-8.190970e+01,-4.095485e+01,-5.690837e-19,-1.373952e+02
1.3000,14.670000,-1.360469e+02,5.758557e+01,-7.846136e+01,-3.923068e+01,-5.451257e-19,-1.316110e+02
1.3500,14.720000,-1.308891e+02,5.568860e+01,-7.520048e+01,-3.760024e+01,-5.224700e-19,-1.261412e+02
1.4000,14.770000,-1.259763e+02,5.386152e+01,-7.211479e+01,-3.605739e+01,-5.010316e-19,-1.209652e+02
1.4500,14.820000,-1.212944e+02,5.210149e+01,-6.919295e+01,-3.459648e+01,-4.807316e-19,-1.160642e+02
1.5000,14.870000,-1.168303e+02,5.040584e+01,-6.642449e+01,-3.321224e+01,-4.614971e-19,-1.114203e+02
1.5500,14.920000,-1.125716e+02,4.877201e+01,-6.379964e+01,-3.189982e+01,-4.432605e-19,-1.070174e+02
