gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
0.2000,-1.446267e+04,3.483459e+02,-1.411433e+04,-7.057163e+03,-2.367535e+04,1.301673e+01
0.2500,-6.774979e+03,3.166709e+02,-6.458308e+03,-3.229154e+03,-1.083316e+04,1.030466e+01
0.3000,-3.628825e+03,2.882227e+02,-3.340602e+03,-1.670301e+03,-5.603521e+03,9.217443e+00
0.3500,-2.147720e+03,2.626384e+02,-1.885082e+03,-9.425409e+02,-3.162033e+03,8.902352e+00
0.4000,-1.373058e+03,2.395992e+02,-1.133458e+03,-5.667292e+02,-1.901261e+03,8.309438e+00
0.4500,-9.333692e+02,2.188254e+02,-7.145437e+02,-3.572719e+02,-1.198575e+03,7.353644e+00
0.5000,-6.669536e+02,2.000709e+02,-4.668827e+02,-2.334413e+02,-7.831483e+02,6.433692e+00
0.5500,-4.966411e+02,1.831186e+02,-3.135225e+02,-1.567613e+02,-5.259022e+02,5.837992e+00
0.6000,-3.827643e+02,1.677771e+02,-2.149872e+02,-1.074936e+02,-3.606193e+02,5.392824e+00
0.6500,-3.036485e+02,1.538771e+02,-1.497714e+02,-7.488570e+01,-2.512263e+02,4.950273e+00
0.7000,-2.468301e+02,1.412689e+02,-1.055612e+02,-5.278060e+01,-1.770682e+02,4.318996e+00
0.7500,-2.048245e+02,1.298196e+02,-7.500487e+01,-3.750244e+01,-1.258131e+02,3.685783e+00
0.8000,-1.729664e+02,1.194115e+02,-5.355492e+01,-2.677746e+01,-8.983293e+01,3.160193e+00
0.8500,-1.482517e+02,1.099398e+02,-3.831188e+01,-1.915594e+01,-6.426429e+01,2.864716e+00
0.9000,-1.286895e+02,1.013113e+02,-2.737821e+01,-1.368910e+01,-4.592416e+01,2.658303e+00
0.9500,-1.129265e+02,9.344294e+01,-1.948358e+01,-9.741789e+00,-3.268172e+01,2.216249e+00
1.0000,-1.000212e+02,8.626058e+01,-1.376063e+01,-6.880316e+00,-2.308206e+01,1.738351e+00
1.0500,-8.930486e+01,7.969803e+01,-9.606829e+00,-4.803415e+00,-1.611448e+01,1.379928e+00
1.1000,-8.029331e+01,7.369610e+01,-6.597214e+00,-3.298607e+00,-1.106616e+01,1.379928e+00
1.1500,-7.262982e+01,6.820176e+01,-4.428064e+00,-2.214032e+00,-7.427627e+00,9.737160e-01
1.2000,-6.604724e+01,6.316748e+01,-2.879764e+00,-1.439882e+00,-4.830511e+00,6.630820e-01
1.2500,-6.034250e+01,5.855061e+01,-1.791889e+00,-8.959443e-01,-3.005711e+00,3.405020e-01
1.3000,-5.535902e+01,5.431281e+01,-1.046210e+00,-5.231050e-01,-1.754911e+00,3.056166e-01
1.3500,-5.097456e+01,5.041963e+01,-5.549320e-01,-2.774660e-01,-9.308421e-01,1.015530e-01
1.4000,-4.709245e+01,4.684001e+01,-2.524370e-01,-1.262185e-01,-4.234375e-01,-1.373950e-01
1.4500,-4.363540e+01,4.354598e+01,-8.942157e-02,-4.471078e-02,-1.499956e-01,-3.763440e-01
1.5000,-4.054098e+01,4.051230e+01,-2.868447e-02,-1.434224e-02,-4.811529e-02,-5.268834e-01
1.5500,-3.775824e+01,3.771617e+01,-4.206953e-02,-2.103476e-02,-7.056736e-02,-6.662718e-01
1.6000,-3.524519e+01,3.513697e+01,-1.082257e-01,-5.411285e-02,-1.815376e-01,-8.183990e-01
1.6500,-3.296701e+01,3.275606e+01,-2.109519e-01,-1.054760e-01,-3.538505e-01,-9.737160e-01
1.7000,-3.089450e+01,3.055653e+01,-3.379643e-01,-1.689822e-01,-5.669009e-01,-1.129032e+00
1.7500,-2.900306e+01,2.852308e+01,-4.799713e-01,-2.399856e-01,-8.051031e-01,-1.278317e+00
1.8000,-2.727178e+01,2.664181e+01,-6.299750e-01,-3.149875e-01,-1.056719e+00,-1.357658e+00
1.8500,-2.568282e+01,2.490008e+01,-7.827413e-01,-3.913707e-01,-1.312969e+00,-1.403823e+00
1.9000,-2.422081e+01,2.328642e+01,-9.343941e-01,-4.671970e-01,-1.567351e+00,-1.535245e+00
1.9500,-2.287250e+01,2.179039e+01,-1.082105e+00,-5.410523e-01,-1.815120e+00,-1.571087e+00
2.0000,-2.162634e+01,2.040249e+01,-1.223852e+00,-6.119258e-01,-2.052887e+00,-1.595720e+00
2.0500,-2.047227e+01,1.911404e+01,-1.358237e+00,-6.791183e-01,-2.278304e+00,-1.672582e+00
2.1000,-1.940147e+01,1.791714e+01,-1.484340e+00,-7.421698e-01,-2.489829e+00,-1.749445e+00
2.1500,-1.840618e+01,1.680457e+01,-1.601607e+00,-8.008034e-01,-2.686533e+00,-1.826307e+00
2.2000,-1.747952e+01,1.576975e+01,-1.709764e+00,-8.548821e-01,-2.867956e+00,-1.893668e+00
2.2500,-1.661540e+01,1.480665e+01,-1.808749e+00,-9.043745e-01,-3.033993e+00,-1.893668e+00
2.3000,-1.580841e+01,1.390975e+01,-1.898657e+00,-9.493283e-01,-3.184804e+00,-2.016297e+00
2.3500,-1.505370e+01,1.307400e+01,-1.979699e+00,-9.898493e-01,-3.320743e+00,-2.084827e+00
2.4000,-1.434696e+01,1.229479e+01,-2.052171e+00,-1.026086e+00,-3.442309e+00,-2.084827e+00
2.4500,-1.368428e+01,1.156785e+01,-2.116428e+00,-1.058214e+00,-3.550094e+00,-2.120705e+00
2.5000,-1.306218e+01,1.088931e+01,-2.172864e+00,-1.086432e+00,-3.644759e+00,-2.170251e+00
2.5500,-1.247748e+01,1.025558e+01,-2.221896e+00,-1.110948e+00,-3.727005e+00,-2.204301e+00
2.6000,-1.192734e+01,9.663390e+00,-2.263953e+00,-1.131977e+00,-3.797552e+00,-2.252091e+00
2.6500,-1.140917e+01,9.109704e+00,-2.299469e+00,-1.149734e+00,-3.857125e+00,-2.252091e+00
2.7000,-1.092062e+01,8.591748e+00,-2.328871e+00,-1.164435e+00,-3.906444e+00,-2.252091e+00
2.7500,-1.045954e+01,8.106962e+00,-2.352580e+00,-1.176290e+00,-3.946214e+00,-2.257647e+00
