gap_nm,U_attr_kcalmol,U_rep_kcalmol,U_pair_kcalmol,U_pair_per_particle_kcalmol,U_pair_kBT_300K,figure_kcalmol
0.2000,-9.357083e+01,9.993176e+01,6.360931e+00,3.180466e+00,1.066982e+01,1.301673e+01
0.2500,-8.895711e+01,9.503086e+01,6.073751e+00,3.036875e+00,1.018810e+01,1.030466e+01
0.3000,-8.463145e+01,9.039848e+01,5.767026e+00,2.883513e+00,9.673600e+00,9.217443e+00
0.3500,-8.057216e+01,8.601843e+01,5.446270e+00,2.723135e+00,9.135565e+00,8.902352e+00
0.4000,-7.675940e+01,8.187557e+01,5.116171e+00,2.558086e+00,8.581857e+00,8.309438e+00
0.4500,-7.317508e+01,7.795578e+01,4.780700e+00,2.390350e+00,8.019138e+00,7.353644e+00
0.5000,-6.980263e+01,7.424583e+01,4.443203e+00,2.221601e+00,7.453021e+00,6.433692e+00
0.5500,-6.662688e+01,7.073337e+01,4.106484e+00,2.053242e+00,6.888210e+00,5.837992e+00
0.6000,-6.363394e+01,6.740682e+01,3.772879e+00,1.886439e+00,6.328621e+00,5.392824e+00
0.6500,-6.081105e+01,6.425536e+01,3.444315e+00,1.722157e+00,5.777489e+00,4.950273e+00
0.7000,-5.814648e+01,6.126885e+01,3.122369e+00,1.561184e+00,5.237457e+00,4.318996e+00
0.7500,-5.562946e+01,5.843777e+01,2.808313e+00,1.404156e+00,4.710659e+00,3.685783e+00
0.8000,-5.325006e+01,5.575322e+01,2.503158e+00,1.251579e+00,4.198793e+00,3.160193e+00
0.8500,-5.099916e+01,5.320685e+01,2.207691e+00,1.103846e+00,3.703178e+00,2.864716e+00
0.9000,-4.886832e+01,5.079082e+01,1.922506e+00,9.612529e-01,3.224808e+00,2.658303e+00
0.9500,-4.684975e+01,4.849778e+01,1.648031e+00,8.240157e-01,2.764405e+00,2.216249e+00
1.0000,-4.493627e+01,4.632082e+01,1.384557e+00,6.922784e-01,2.322453e+00,1.738351e+00
1.0500,-4.312122e+01,4.425347e+01,1.132252e+00,5.661259e-01,1.899238e+00,1.379928e+00
1.1000,-4.139845e+01,4.228964e+01,8.911861e-01,4.455931e-01,1.494874e+00,1.379928e+00
1.1500,-3.976226e+01,4.042361e+01,6.613444e-01,3.306722e-01,1.109338e+00,9.737160e-01
1.2000,-3.820735e+01,3.865000e+01,4.426411e-01,2.213205e-01,7.424854e-01,6.630820e-01
1.2500,-3.672882e+01,3.696375e+01,2.349319e-01,1.174660e-01,3.940745e-01,3.405020e-01
1.3000,-3.532211e+01,3.536013e+01,3.802488e-02,1.901244e-02,6.378287e-02,3.056166e-01
1.3500,-3.398296e+01,3.383465e+01,-1.483113e-01,-7.415566e-02,-2.487772e-01,1.015530e-01
1.4000,-3.270745e+01,3.238311e+01,-3.243390e-01,-1.621695e-01,-5.440458e-01,-1.373950e-01
1.4500,-3.149189e+01,3.100155e+01,-4.903451e-01,-2.451726e-01,-8.225041e-01,-3.763440e-01
1.5000,-3.033286e+01,2.968623e+01,-6.466352e-01,-3.233176e-01,-1.084665e+00,-5.268834e-01
1.5500,-2.922718e+01,2.843366e+01,-7.935196e-01,-3.967598e-01,-1.331049e+00,-6.662718e-01
1.6000,-2.817184e+01,2.724051e+01,-9.313343e-01,-4.656672e-01,-1.562219e+00,-8.183990e-01
1.6500,-2.716408e+01,2.610367e+01,-1.060417e+00,-5.302085e-01,-1.778742e+00,-9.737160e-01
1.7000,-2.620130e+01,2.502019e+01,-1.181105e+00,-5.905527e-01,-1.981184e+00,-1.129032e+00
1.7500,-2.528104e+01,2.398731e+01,-1.293738e+00,-6.468690e-01,-2.170114e+00,-1.278317e+00
1.8000,-2.440105e+01,2.300240e+01,-1.398651e+00,-6.993255e-01,-2.346095e+00,-1.357658e+00
1.8500,-2.355918e+01,2.206300e+01,-1.496177e+00,-7.480887e-01,-2.509686e+00,-1.403823e+00
1.9000,-2.275342e+01,2.116678e+01,-1.586645e+00,-7.933225e-01,-2.661436e+00,-1.535245e+00
1.9500,-2.198192e+01,2.031154e+01,-1.670375e+00,-8.351877e-01,-2.801885e+00,-1.571087e+00
2.0000,-2.124289e+01,1.949521e+01,-1.747683e+00,-8.738416e-01,-2.931561e+00,-1.595720e+00
2.0500,-2.053469e+01,1.871582e+01,-1.818874e+00,-9.094372e-01,-3.050977e+00,-1.672582e+00
2.1000,-1.985577e+01,1.797152e+01,-1.884247e+00,-9.421236e-01,-3.160633e+00,-1.749445e+00
2.1500,-1.920465e+01,1.726056e+01,-1.944090e+00,-9.720451e-01,-3.261014e+00,-1.826307e+00
2.2000,-1.857996e+01,1.658128e+01,-1.998683e+00,-9.993414e-01,-3.352587e+00,-1.893668e+00
2.2500,-1.798042e+01,1.593212e+01,-2.048295e+00,-1.024147e+00,-3.435806e+00,-1.893668e+00
